Class,Axioms,Coverage
http://scai.fraunhofer.de/AlzheimerOntology#Clinical_interview_based_impression,1,0.0004
http://scai.fraunhofer.de/AlzheimerOntology#Enquiry_about_Diet_and_Nutrition,1,0.0004
http://scai.fraunhofer.de/NDDUO#Proportion,3,0.0012
http://scai.fraunhofer.de/AlzheimerOntology#Endothelium,1,0.0004
http://scai.fraunhofer.de/AlzheimerOntology#IRS1,2,0.0008
http://scai.fraunhofer.de/AlzheimerOntology#Problems_recognizing_family_and_friends,1,0.0004
http://scai.fraunhofer.de/NDDUO#Rat,1,0.0004
http://scai.fraunhofer.de/AlzheimerOntology#nortriptyline,2,0.0008
http://scai.fraunhofer.de/AlzheimerOntology#neurotrophic_signalling,1,0.0004
http://scai.fraunhofer.de/AlzheimerOntology#Family_history,2,0.0008
http://scai.fraunhofer.de/AlzheimerOntology#Bapineuzumab,1,0.0004
http://scai.fraunhofer.de/NDDUO#Exposure,1,0.0004
http://scai.fraunhofer.de/AlzheimerOntology#lipoic_acid,1,0.0004
http://scai.fraunhofer.de/NDDUO#Etiology,2,0.0008
http://scai.fraunhofer.de/AlzheimerOntology#Cerebospinal_fluid_biomarker,3,0.0012
http://scai.fraunhofer.de/AlzheimerOntology#Vesicular_recycling,1,0.0004
http://scai.fraunhofer.de/NDDUO#neurodegenerative_disease,9,0.0037
http://scai.fraunhofer.de/NDDUO#Gender,5,0.0021
http://scai.fraunhofer.de/AlzheimerOntology#apoE4_BBB_model,1,0.0004
http://scai.fraunhofer.de/AlzheimerOntology#CDH2,2,0.0008
http://scai.fraunhofer.de/AlzheimerOntology#amitriptyline,2,0.0008
http://scai.fraunhofer.de/AlzheimerOntology#Gingko_biloba,1,0.0004
http://scai.fraunhofer.de/AlzheimerOntology#Placebo_controlled_study,1,0.0004
http://scai.fraunhofer.de/AlzheimerOntology#mirtazapine,2,0.0008
http://scai.fraunhofer.de/AlzheimerOntology#catechin,1,0.0004
http://scai.fraunhofer.de/AlzheimerOntology#placebo,1,0.0004
