Class,Axioms,Coverage
http://www.owl-ontologies.com/unnamed.owl#Embryonic_diapause,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Forest,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Body_Symmetry,3,0.0048
http://www.owl-ontologies.com/unnamed.owl#Habitat_type,4,0.0064
http://www.owl-ontologies.com/unnamed.owl#Bites_or_stings,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Habitat_text,3,0.0048
http://www.owl-ontologies.com/unnamed.owl#Stores_or_caches_food,1,0.0016
http://www.w3.org/2002/07/owl#Class,5,0.0080
http://www.owl-ontologies.com/unnamed.owl#Physical_description,3,0.0048
http://www.owl-ontologies.com/unnamed.owl#Expected_captive_lifespan,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Color_dimorphism,4,0.0064
http://www.owl-ontologies.com/unnamed.owl#Wingspan,3,0.0048
http://www.owl-ontologies.com/unnamed.owl#Taiga,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Longest_captive_lifespan,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#cm,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Sap_or_other_plant_fluids,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Body_fluids,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Male_sexual_maturity,3,0.0048
http://www.owl-ontologies.com/unnamed.owl#Atlantic_Ocean,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Body_parts_are_source_of_valuable_material,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Eats_terrestrial_vertebrates,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Polar,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#g,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Behavior_text,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Protecting,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Acoustic_signals,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Ecosystem_role,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#m,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Anti-predator_adaptations_keyword,5,0.0080
http://www.owl-ontologies.com/unnamed.owl#Brackish_water,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Mating_system_text,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Dominance_hierarchies,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Broadcast__group__spawning,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Fertilization,3,0.0048
http://www.owl-ontologies.com/unnamed.owl#Coprophage,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Research_and_education,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Hibernation,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Months,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Nectarivore,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Other_food,6,0.0096
http://www.owl-ontologies.com/unnamed.owl#Bryophytes,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Holarctic,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Commensal,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Economic_importance_positive_text,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Behavior,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Tactile,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Biogeographic_region,18,0.0287
http://www.owl-ontologies.com/unnamed.owl#Insects,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Caves,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Sex,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Glides,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Parental_investment_keyword,9,0.0143
http://www.owl-ontologies.com/unnamed.owl#Area_unit,4,0.0064
http://www.owl-ontologies.com/unnamed.owl#Years,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Polyandrous,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Latitude_information,4,0.0064
http://www.owl-ontologies.com/unnamed.owl#Vibrations,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Ultraviolet,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Molluscs,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Reptiles,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Eats_marine_invertebrates,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Roots_and_tubers,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Aposematic,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Field_text,5,0.0080
http://www.owl-ontologies.com/unnamed.owl#Injures_humans,6,0.0096
http://www.owl-ontologies.com/unnamed.owl#Ovoviviparous,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Inherits_maternal_paternal_territory,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Omnivore,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Parental_investment_text,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Female,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Known_food,4,0.0064
http://www.owl-ontologies.com/unnamed.owl#Habitat,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Colonial_growth,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Lifespan_range,7,0.0111
http://www.owl-ontologies.com/unnamed.owl#Indian_Ocean,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Gonochoric,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Primary__Other,5,0.0080
http://www.owl-ontologies.com/unnamed.owl#Induced_ovulation,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Abyssal,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Taxon_account_section,16,0.0255
http://www.owl-ontologies.com/unnamed.owl#Eusocial,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Ecosystem_role_text,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Soil_aeration,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Palearctic,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Mimic,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Temperate,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Australian,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Communication_text,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Fish,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Days,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Locomotion,9,0.0143
http://www.owl-ontologies.com/unnamed.owl#Crepuscular,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Folivore,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Fossorial,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Food,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Chaparral,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Pelagic,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Tundra,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Female_sexual_maturity,3,0.0048
http://www.owl-ontologies.com/unnamed.owl#Terrestrial_biomes,10,0.0159
http://www.owl-ontologies.com/unnamed.owl#Daily_torpor,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Birds,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Mutualist_species,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Sessile,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Time_to_weaning_fledging,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Aquatic_or_marine_worms,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Photic_Bioluminescent,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Aquatic_biomes,11,0.0175
http://www.owl-ontologies.com/unnamed.owl#Keystone_species,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Geographic_range_text,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Pollinates_crops,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Communication_other_keyword,8,0.0127
http://www.owl-ontologies.com/unnamed.owl#Pheromones,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Controls_pest_population,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Dimorphism,4,0.0064
http://www.owl-ontologies.com/unnamed.owl#Swamp,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Time_unit,5,0.0080
http://www.owl-ontologies.com/unnamed.owl#Causes_or_carries_domestic_animal_disease,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Piscivore,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Migratory,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Sexual,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Mycophage,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Other_geographic_keyword,5,0.0080
http://www.owl-ontologies.com/unnamed.owl#Neotenic_or_paedomorphic,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Scavenger,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Geographic_range,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Precocial,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Mass,3,0.0048
http://www.owl-ontologies.com/unnamed.owl#Habitat_keyword,8,0.0127
http://www.owl-ontologies.com/unnamed.owl#Known_predator,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Sanguivore,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Animal_foods,19,0.0303
http://www.owl-ontologies.com/unnamed.owl#Planktivore,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Metabolism,5,0.0080
http://www.owl-ontologies.com/unnamed.owl#Food_item,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Primary__Herbivore,8,0.0127
http://www.owl-ontologies.com/unnamed.owl#Terrestrial_worms,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Mimicry,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Other_habitat,8,0.0127
http://www.owl-ontologies.com/unnamed.owl#Suburban,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Number_of_offspring,3,0.0048
http://www.owl-ontologies.com/unnamed.owl#Conservation_status,22,0.0350
http://www.owl-ontologies.com/unnamed.owl#Zooplankton,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Ultrasound,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Food_habits_text,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#m_2,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Cnidarians,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Commensal_species,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Radial_symmetry,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Food_habits,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Parental_investment,8,0.0127
http://www.owl-ontologies.com/unnamed.owl#Frugivore,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Temperature_sex_determination,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Terrestrial_non-insect_arthropods,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Freshwater,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Eggs,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Granivore,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Diurnal,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Reproduction_general,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Oviparous,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Insectivore,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Motile,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Phytoplankton,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Bilateral_symmetry,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Internal_fertilization,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Arboreal,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Seeds__grains__and_nuts,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Other_comments_text,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Vermivore,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Oceanic_Islands,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Sedentary,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Extended_period_of_juvenile_learning,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Wetlands_habitat,4,0.0064
http://www.owl-ontologies.com/unnamed.owl#Natatorial,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Flowers,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Reproduction,4,0.0064
http://www.owl-ontologies.com/unnamed.owl#Maternal_position_affects_young,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Asexual,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Viviparous,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#BreedingSeason,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Perception_channel,12,0.0191
http://www.owl-ontologies.com/unnamed.owl#Rainforest,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Parthenogenic,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Development_keyword,8,0.0127
http://www.owl-ontologies.com/unnamed.owl#Development,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Simultaneous_hermaphrodite,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Colonial,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Ornamentation,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Indeterminate_growth,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Parasite,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Economic_importance,3,0.0048
http://www.owl-ontologies.com/unnamed.owl#Echolocation,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Nearctic,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Agricultural,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Aquatic_crustaceans,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Gestation_Period,3,0.0048
http://www.owl-ontologies.com/unnamed.owl#Eats_body_fluids,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Venomous,2,0.0032
http://www.owl-ontologies.com/unnamed.owl#Sexes_shaped_or_patterned_differently,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Endothermic,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Territorial,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Urban,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Protandrous,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Economic_importance_negative,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Aestivation,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Saltwater_or_marine,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Sequential_hermaphrodite,3,0.0048
http://www.owl-ontologies.com/unnamed.owl#Economic_importance_positive_keyword,10,0.0159
http://www.owl-ontologies.com/unnamed.owl#Estuarine,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Creates_habitat,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Fungus,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Plant_foods,15,0.0239
http://www.owl-ontologies.com/unnamed.owl#Causes_disease_in_humans,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Filter-feeding,1,0.0016
http://www.owl-ontologies.com/unnamed.owl#Pacific_Ocean,1,0.0016
