Class,Axioms,Coverage
http://purl.allotrope.org/ontologies/process#AFP_0003637,3,0.0015
http://purl.allotrope.org/ontologies/process#AFP_0001457,1,0.0005
http://purl.allotrope.org/ontologies/process#AFP_0003638,1,0.0005
http://purl.allotrope.org/ontologies/equipment#AFE_0000231,1,0.0005
http://purl.allotrope.org/ontologies/process#AFP_0003639,1,0.0005
http://purl.allotrope.org/ontologies/material#AFM_0000442,2,0.0010
http://purl.allotrope.org/ontologies/process#AFP_0001698,1,0.0005
http://purl.allotrope.org/ontologies/equipment#AFE_0000471,1,0.0005
http://purl.allotrope.org/ontologies/process#AFP_0002309,1,0.0005
http://purl.allotrope.org/ontologies/process#AFP_0003634,3,0.0015
http://purl.allotrope.org/ontologies/process#AFP_0002788,1,0.0005
http://purl.allotrope.org/ontologies/process#AFP_0003635,1,0.0005
http://purl.allotrope.org/ontologies/process#AFP_0002305,1,0.0005
http://purl.allotrope.org/ontologies/process#AFP_0003636,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000221,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000463,3,0.0015
http://purl.allotrope.org/ontologies/process#AFP_0002541,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000220,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000462,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000461,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000225,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000224,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000466,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000223,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000465,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000464,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000229,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000228,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000226,1,0.0005
http://purl.obolibrary.org/obo/IAO_0000017,1,0.0005
http://purl.obolibrary.org/obo/IAO_0000010,2,0.0010
http://purl.allotrope.org/ontologies/equipment#AFE_0001799,1,0.0005
http://purl.allotrope.org/ontologies/equipment#AFE_0001798,1,0.0005
http://purl.allotrope.org/ontologies/process#AFP_0003627,2,0.0010
http://purl.allotrope.org/ontologies/process#AFP_0003628,1,0.0005
http://purl.allotrope.org/ontologies/process#AFP_0003629,1,0.0005
http://purl.allotrope.org/ontologies/equipment#AFE_0001797,1,0.0005
http://purl.allotrope.org/ontologies/process#AFP_0003623,1,0.0005
http://purl.allotrope.org/ontologies/equipment#AFE_0000224,2,0.0010
http://purl.allotrope.org/ontologies/equipment#AFE_0000466,2,0.0010
http://purl.allotrope.org/ontologies/role#AFRL_0000474,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000232,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000231,2,0.0010
http://purl.allotrope.org/ontologies/role#AFRL_0000230,2,0.0010
http://purl.allotrope.org/ontologies/process#AFP_0003620,9,0.0044
http://purl.allotrope.org/ontologies/role#AFRL_0000472,3,0.0015
http://purl.allotrope.org/ontologies/role#AFRL_0000471,3,0.0015
http://purl.allotrope.org/ontologies/process#AFP_0000112,1,0.0005
http://purl.obolibrary.org/obo/IAO_0000009,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000233,1,0.0005
http://purl.obolibrary.org/obo/IAO_0000005,1,0.0005
http://purl.allotrope.org/ontologies/equipment#AFE_0000217,11,0.0054
http://purl.allotrope.org/ontologies/process#AFP_0002328,2,0.0010
http://purl.allotrope.org/ontologies/process#AFP_0001478,1,0.0005
http://purl.allotrope.org/ontologies/process#AFP_0003419,1,0.0005
http://purl.allotrope.org/ontologies/equipment#AFE_0000014,1,0.0005
http://purl.allotrope.org/ontologies/process#AFP_0003655,3,0.0015
http://purl.allotrope.org/ontologies/equipment#AFE_0000499,1,0.0005
http://purl.allotrope.org/ontologies/process#AFP_0003656,2,0.0010
http://purl.allotrope.org/ontologies/process#AFP_0003657,2,0.0010
http://purl.allotrope.org/ontologies/process#AFP_0003416,2,0.0010
http://purl.allotrope.org/ontologies/role#AFRL_0000441,2,0.0010
http://purl.allotrope.org/ontologies/process#AFP_0003654,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000444,1,0.0005
http://purl.allotrope.org/ontologies/role#AFRL_0000443,2,0.0010
http://purl.allotrope.org/ontologies/role#AFRL_0000442,4,0.0020
http://purl.allotrope.org/ontologies/role#AFRL_0000449,2,0.0010
http://purl.allotrope.org/ontologies/role#AFRL_0000448,3,0.0015
http://purl.allotrope.org/ontologies/role#AFRL_0000446,2,0.0010
http://purl.allotrope.org/ontologies/process#AFP_0001227,1,0.0005
http://purl.obolibrary.org/obo/OBI_0000086,5,0.0025
