Class,Axioms,Coverage
http://purl.obolibrary.org/obo/ENVO_00000194,6,0.0013
http://purl.obolibrary.org/obo/AGRO_00000367,2,0.0004
http://purl.obolibrary.org/obo/ENVO_01000840,2,0.0004
http://purl.obolibrary.org/obo/AGRO_00000368,2,0.0004
http://purl.obolibrary.org/obo/AGRO_00000369,3,0.0006
http://purl.obolibrary.org/obo/ENVO_00000191,9,0.0019
http://purl.obolibrary.org/obo/OBI_0002232,11,0.0023
http://purl.obolibrary.org/obo/IAO_0000015,2,0.0004
http://purl.obolibrary.org/obo/NCBITaxon_314295,2,0.0004
http://purl.obolibrary.org/obo/NCBITaxon_314293,2,0.0004
http://purl.obolibrary.org/obo/IAO_0000010,2,0.0004
http://purl.obolibrary.org/obo/AGRO_00000373,1,0.0002
http://purl.obolibrary.org/obo/AGRO_00000374,1,0.0002
http://purl.obolibrary.org/obo/CHEBI_29337,6,0.0013
http://purl.obolibrary.org/obo/AGRO_00000375,1,0.0002
http://purl.obolibrary.org/obo/AGRO_00000376,1,0.0002
http://purl.obolibrary.org/obo/AGRO_00000370,5,0.0011
http://purl.obolibrary.org/obo/AGRO_00000372,1,0.0002
http://purl.obolibrary.org/obo/CHEBI_39142,4,0.0008
http://purl.obolibrary.org/obo/CHEBI_39141,6,0.0013
http://purl.obolibrary.org/obo/AGRO_00000377,1,0.0002
http://purl.obolibrary.org/obo/ENVO_00000184,1,0.0002
http://purl.obolibrary.org/obo/AGRO_00000378,11,0.0023
http://purl.obolibrary.org/obo/AGRO_00000379,1,0.0002
http://purl.obolibrary.org/obo/CHEBI_39144,3,0.0006
http://purl.obolibrary.org/obo/ENVO_00000182,4,0.0008
http://purl.obolibrary.org/obo/CHEBI_33839,2,0.0004
http://purl.obolibrary.org/obo/ENVO_01000839,4,0.0008
http://purl.obolibrary.org/obo/ENVO_01000838,6,0.0013
http://purl.obolibrary.org/obo/IAO_0000007,2,0.0004
http://purl.obolibrary.org/obo/CHEBI_32988,2,0.0004
http://purl.obolibrary.org/obo/IAO_0000009,3,0.0006
http://purl.obolibrary.org/obo/OBI_0000067,6,0.0013
http://purl.obolibrary.org/obo/OBI_0002243,13,0.0027
http://purl.obolibrary.org/obo/OBI_0000066,7,0.0015
http://purl.obolibrary.org/obo/CHEBI_33832,3,0.0006
http://purl.obolibrary.org/obo/IAO_0000003,12,0.0025
http://purl.obolibrary.org/obo/CHEBI_29340,4,0.0008
http://purl.obolibrary.org/obo/IAO_0000005,12,0.0025
http://purl.obolibrary.org/obo/AGRO_00000384,3,0.0006
http://purl.obolibrary.org/obo/AGRO_00000385,2,0.0004
http://purl.obolibrary.org/obo/CHEBI_29347,2,0.0004
http://purl.obolibrary.org/obo/AGRO_00000387,4,0.0008
http://purl.obolibrary.org/obo/AGRO_00000380,1,0.0002
http://purl.obolibrary.org/obo/AGRO_00000381,1,0.0002
http://purl.obolibrary.org/obo/ENVO_00000178,4,0.0008
http://purl.obolibrary.org/obo/AGRO_00000382,1,0.0002
http://purl.obolibrary.org/obo/AGRO_00000383,3,0.0006
http://purl.obolibrary.org/obo/ENVO_00000176,10,0.0021
http://purl.obolibrary.org/obo/OBI_0002256,14,0.0030
http://purl.obolibrary.org/obo/AGRO_00000388,1,0.0002
http://purl.obolibrary.org/obo/AGRO_00000389,1,0.0002
http://purl.obolibrary.org/obo/ENVO_00000170,5,0.0011
http://purl.obolibrary.org/obo/OBI_0000070,11,0.0023
http://purl.obolibrary.org/obo/CHEBI_18219,3,0.0006
http://purl.obolibrary.org/obo/GO_0008150,7,0.0015
http://purl.obolibrary.org/obo/AGRO_00000390,1,0.0002
http://purl.obolibrary.org/obo/CHEBI_29310,3,0.0006
http://purl.obolibrary.org/obo/AGRO_00000395,1,0.0002
http://purl.obolibrary.org/obo/AGRO_00000396,3,0.0006
http://purl.obolibrary.org/obo/AGRO_00000397,2,0.0004
http://purl.obolibrary.org/obo/AGRO_00000398,2,0.0004
http://purl.obolibrary.org/obo/AGRO_00000391,2,0.0004
http://purl.obolibrary.org/obo/AGRO_00000392,2,0.0004
http://purl.obolibrary.org/obo/AGRO_00000393,2,0.0004
http://purl.obolibrary.org/obo/AGRO_00000394,1,0.0002
http://purl.obolibrary.org/obo/CHEBI_36093,4,0.0008
http://purl.obolibrary.org/obo/ENVO_00000166,1,0.0002
http://purl.obolibrary.org/obo/AGRO_00000399,1,0.0002
http://purl.obolibrary.org/obo/CHEBI_39124,3,0.0006
http://purl.obolibrary.org/obo/CHEBI_39123,3,0.0006
http://purl.obolibrary.org/obo/ENVO_01000817,5,0.0011
http://purl.obolibrary.org/obo/ENVO_01000819,3,0.0006
http://purl.obolibrary.org/obo/ENVO_01000813,9,0.0019
http://purl.obolibrary.org/obo/ENVO_01000815,6,0.0013
http://purl.obolibrary.org/obo/ENVO_01000814,8,0.0017
http://purl.obolibrary.org/obo/UO_0000105,5,0.0011
http://purl.obolibrary.org/obo/ENVO_00000156,3,0.0006
http://purl.obolibrary.org/obo/CARO_0000007,1,0.0002
http://purl.obolibrary.org/obo/ENVO_01000403,4,0.0008
http://purl.obolibrary.org/obo/CARO_0000003,13,0.0027
http://purl.obolibrary.org/obo/CARO_0000006,6,0.0013
http://purl.obolibrary.org/obo/OBI_0000018,2,0.0004
http://purl.obolibrary.org/obo/OBI_0000017,2,0.0004
http://purl.obolibrary.org/obo/OBI_0000015,2,0.0004
http://purl.obolibrary.org/obo/OBI_0000014,3,0.0006
http://purl.obolibrary.org/obo/ENVO_01000406,10,0.0021
http://purl.obolibrary.org/obo/UO_0000111,5,0.0011
http://purl.obolibrary.org/obo/ENVO_01000408,13,0.0027
http://purl.obolibrary.org/obo/OBI_0000011,44,0.0093
http://purl.obolibrary.org/obo/CHEBI_27594,4,0.0008
http://purl.obolibrary.org/obo/ENVO_01000875,2,0.0004
http://purl.obolibrary.org/obo/OBI_0002205,5,0.0011
http://purl.obolibrary.org/obo/OBI_0000023,3,0.0006
http://purl.obolibrary.org/obo/UO_0000121,3,0.0006
http://purl.obolibrary.org/obo/UO_0000122,2,0.0004
http://purl.obolibrary.org/obo/BFO_0000040,83,0.0175
http://purl.obolibrary.org/obo/OBI_0002215,3,0.0006
http://purl.obolibrary.org/obo/OBI_0002216,3,0.0006
http://purl.obolibrary.org/obo/OBI_0002210,5,0.0011
http://purl.obolibrary.org/obo/IAO_0000037,2,0.0004
http://purl.obolibrary.org/obo/IAO_0000038,8,0.0017
http://purl.obolibrary.org/obo/IAO_0000032,9,0.0019
