Class,Axioms,Coverage
http://purl.obolibrary.org/obo/ARO_3004030,7,0.0008
http://purl.obolibrary.org/obo/ARO_3004031,4,0.0005
http://purl.obolibrary.org/obo/ARO_3004032,2,0.0002
http://purl.obolibrary.org/obo/ARO_3004033,2,0.0002
http://purl.obolibrary.org/obo/ARO_3004038,2,0.0002
http://purl.obolibrary.org/obo/ARO_3004039,2,0.0002
http://purl.obolibrary.org/obo/ARO_3004034,4,0.0005
http://purl.obolibrary.org/obo/ARO_3004035,2,0.0002
http://purl.obolibrary.org/obo/ARO_3004036,2,0.0002
http://purl.obolibrary.org/obo/ARO_3004020,3,0.0004
http://purl.obolibrary.org/obo/ARO_3004021,8,0.0009
http://purl.obolibrary.org/obo/ARO_3004022,4,0.0005
http://purl.obolibrary.org/obo/ARO_3004027,5,0.0006
http://purl.obolibrary.org/obo/ARO_3004028,3,0.0004
http://purl.obolibrary.org/obo/ARO_3004023,4,0.0005
http://purl.obolibrary.org/obo/ARO_3004024,8,0.0009
http://purl.obolibrary.org/obo/ARO_3004025,1,0.0001
http://purl.obolibrary.org/obo/ARO_3004026,1,0.0001
http://purl.obolibrary.org/obo/ARO_3004010,3,0.0004
http://purl.obolibrary.org/obo/ARO_3004011,3,0.0004
http://purl.obolibrary.org/obo/ARO_3004016,2,0.0002
http://purl.obolibrary.org/obo/ARO_3004017,3,0.0004
http://purl.obolibrary.org/obo/ARO_3004018,1,0.0001
http://purl.obolibrary.org/obo/ARO_3004019,8,0.0009
http://purl.obolibrary.org/obo/ARO_3004012,3,0.0004
http://purl.obolibrary.org/obo/ARO_3004013,3,0.0004
http://purl.obolibrary.org/obo/ARO_3004014,2,0.0002
http://purl.obolibrary.org/obo/ARO_3004015,2,0.0002
http://purl.obolibrary.org/obo/ARO_3004000,1,0.0001
http://purl.obolibrary.org/obo/ARO_3004009,2,0.0002
http://purl.obolibrary.org/obo/ARO_3004005,2,0.0002
http://purl.obolibrary.org/obo/ARO_3004006,2,0.0002
http://purl.obolibrary.org/obo/ARO_3004007,2,0.0002
http://purl.obolibrary.org/obo/ARO_3004008,2,0.0002
http://purl.obolibrary.org/obo/ARO_3004001,3,0.0004
http://purl.obolibrary.org/obo/ARO_3004002,2,0.0002
http://purl.obolibrary.org/obo/ARO_3004003,1,0.0001
http://purl.obolibrary.org/obo/ARO_3004004,2,0.0002
http://purl.obolibrary.org/obo/ARO_3002291,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002290,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002295,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002294,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002293,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002292,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002299,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002298,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002297,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002296,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002280,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002284,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002283,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002282,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002281,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002288,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002287,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002286,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002285,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002289,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002273,1,0.0001
http://purl.obolibrary.org/obo/ARO_3002272,1,0.0001
