Class,Axioms,Coverage
http://purl.bioontology.org/ontology/UATC/R03AA,2,0.0001
http://purl.bioontology.org/ontology/UATC/R03AC,19,0.0006
http://purl.bioontology.org/ontology/UATC/R03AB,3,0.0001
http://purl.bioontology.org/ontology/UATC/M03BA53,1,0.0000
http://purl.bioontology.org/ontology/UATC/M03BA52,1,0.0000
http://purl.bioontology.org/ontology/UATC/G04BE30,1,0.0000
http://purl.bioontology.org/ontology/UATC/C03BA13,1,0.0000
http://purl.bioontology.org/ontology/UATC/C03BA12,1,0.0000
http://purl.bioontology.org/ontology/UATC/C03BA11,1,0.0000
http://purl.bioontology.org/ontology/UATC/C03BA10,1,0.0000
http://purl.bioontology.org/ontology/UATC/M03BA51,1,0.0000
http://purl.bioontology.org/ontology/UATC/N05BD01,1,0.0000
http://purl.bioontology.org/ontology/UATC/C03BA09,1,0.0000
http://purl.bioontology.org/ontology/UATC/C03BA08,1,0.0000
http://purl.bioontology.org/ontology/UATC/C03BA07,1,0.0000
http://purl.bioontology.org/ontology/UATC/C03BA02,1,0.0000
http://purl.bioontology.org/ontology/UATC/H01AB01,1,0.0000
http://purl.bioontology.org/ontology/UATC/C03BA05,1,0.0000
http://purl.bioontology.org/ontology/UATC/C03BA04,1,0.0000
http://purl.bioontology.org/ontology/UATC/C03BA03,1,0.0000
http://purl.bioontology.org/ontology/UATC/N05AA04,1,0.0000
http://purl.bioontology.org/ontology/UATC/N05AA03,1,0.0000
http://purl.bioontology.org/ontology/UATC/N05AA02,1,0.0000
http://purl.bioontology.org/ontology/UATC/J01XX,12,0.0004
http://purl.bioontology.org/ontology/UATC/N05AA01,1,0.0000
http://purl.bioontology.org/ontology/UATC/R03CC,16,0.0005
http://purl.bioontology.org/ontology/UATC/N05AA07,1,0.0000
http://purl.bioontology.org/ontology/UATC/C07AG02,1,0.0000
http://purl.bioontology.org/ontology/UATC/R03CB,6,0.0002
http://purl.bioontology.org/ontology/UATC/C07AG01,1,0.0000
http://purl.bioontology.org/ontology/UATC/N05AA06,1,0.0000
http://purl.bioontology.org/ontology/UATC/N05AA05,1,0.0000
http://purl.bioontology.org/ontology/UATC/R03CA,2,0.0001
http://purl.bioontology.org/ontology/UATC/G04BE11,1,0.0000
http://purl.bioontology.org/ontology/UATC/R03BX,2,0.0001
http://purl.bioontology.org/ontology/UATC/G04BE10,1,0.0000
http://purl.bioontology.org/ontology/UATC/M03BA71,1,0.0000
http://purl.bioontology.org/ontology/UATC/M03BA73,1,0.0000
http://purl.bioontology.org/ontology/UATC/M03BA72,1,0.0000
http://purl.bioontology.org/ontology/UATC/R03BB,9,0.0003
http://purl.bioontology.org/ontology/UATC/R03BA,10,0.0003
http://purl.bioontology.org/ontology/UATC/R03BC,3,0.0001
http://purl.bioontology.org/ontology/UATC/C03XA02,1,0.0000
http://purl.bioontology.org/ontology/UATC/C03XA01,1,0.0000
http://purl.bioontology.org/ontology/UATC/G04BE01,1,0.0000
http://purl.bioontology.org/ontology/UATC/G04BE04,1,0.0000
http://purl.bioontology.org/ontology/UATC/G04BE02,1,0.0000
http://purl.bioontology.org/ontology/UATC/G04BE03,1,0.0000
http://purl.bioontology.org/ontology/UATC/G04BE08,1,0.0000
http://purl.bioontology.org/ontology/UATC/G04BE09,1,0.0000
http://purl.bioontology.org/ontology/UATC/R03AL,10,0.0003
http://purl.bioontology.org/ontology/UATC/G04BE06,1,0.0000
http://purl.bioontology.org/ontology/UATC/G04BE07,1,0.0000
http://purl.bioontology.org/ontology/UATC/R03AH,1,0.0000
http://purl.bioontology.org/ontology/UATC/R03AK,13,0.0004
http://purl.bioontology.org/ontology/UATC/A07BB,1,0.0000
http://purl.bioontology.org/ontology/UATC/A07BC,8,0.0003
http://purl.bioontology.org/ontology/UATC/A07BA,3,0.0001
http://purl.bioontology.org/ontology/UATC/A07AX,5,0.0002
http://purl.bioontology.org/ontology/UATC/R03DX,10,0.0003
http://purl.bioontology.org/ontology/UATC/C03CD01,1,0.0000
http://purl.bioontology.org/ontology/UATC/M03BA05,1,0.0000
http://purl.bioontology.org/ontology/UATC/A07CA,1,0.0000
http://purl.bioontology.org/ontology/UATC/R03DC,6,0.0002
http://purl.bioontology.org/ontology/UATC/R03DB,7,0.0002
http://purl.bioontology.org/ontology/UATC/R03DA,19,0.0006
http://purl.bioontology.org/ontology/UATC/N05CX04,1,0.0000
http://purl.bioontology.org/ontology/UATC/M03BA02,1,0.0000
http://purl.bioontology.org/ontology/UATC/M03BA01,1,0.0000
http://purl.bioontology.org/ontology/UATC/N05CX05,1,0.0000
http://purl.bioontology.org/ontology/UATC/M03BA04,1,0.0000
http://purl.bioontology.org/ontology/UATC/N05CX06,1,0.0000
http://purl.bioontology.org/ontology/UATC/M03BA03,1,0.0000
http://purl.bioontology.org/ontology/UATC/J01XE,5,0.0002
http://purl.bioontology.org/ontology/UATC/N05CX01,1,0.0000
http://purl.bioontology.org/ontology/UATC/N05CX02,1,0.0000
http://purl.bioontology.org/ontology/UATC/N05CX03,1,0.0000
http://purl.bioontology.org/ontology/UATC/J01XB,3,0.0001
http://purl.bioontology.org/ontology/UATC/J01XA,6,0.0002
http://purl.bioontology.org/ontology/UATC/J01XD,4,0.0001
http://purl.bioontology.org/ontology/UATC/J01XC,2,0.0001
http://purl.bioontology.org/ontology/UATC/R03CK,1,0.0000
http://purl.bioontology.org/ontology/UATC/G04BE52,1,0.0000
http://purl.bioontology.org/ontology/UATC/C02KA01,1,0.0000
http://purl.bioontology.org/ontology/UATC/C09CA02,1,0.0000
http://purl.bioontology.org/ontology/UATC/A07AC,2,0.0001
http://purl.bioontology.org/ontology/UATC/R06AE03,1,0.0000
http://purl.bioontology.org/ontology/UATC/C09CA03,1,0.0000
http://purl.bioontology.org/ontology/UATC/C09CA04,1,0.0000
