Class,Axioms,Coverage
http://www.projecthalo.com/aura#Phytoplankton,2,0.0001
http://www.projecthalo.com/aura#S-J-Singer,2,0.0001
http://www.projecthalo.com/aura#ID-20581,2,0.0001
http://www.projecthalo.com/aura#ID-20580,2,0.0001
http://www.projecthalo.com/aura#Potassium-Ion,6,0.0002
http://www.projecthalo.com/aura#ID-5059,2,0.0001
http://www.projecthalo.com/aura#ID-5057,2,0.0001
http://www.projecthalo.com/aura#ID-5058,2,0.0001
http://www.projecthalo.com/aura#ID-5055,2,0.0001
http://www.projecthalo.com/aura#ID-5056,2,0.0001
http://www.projecthalo.com/aura#ID-20579,2,0.0001
http://www.projecthalo.com/aura#ID-5053,2,0.0001
http://www.projecthalo.com/aura#ID-19599,2,0.0001
http://www.projecthalo.com/aura#ID-5054,2,0.0001
http://www.projecthalo.com/aura#Carbon-Monoxide,11,0.0003
http://www.projecthalo.com/aura#ID-19598,2,0.0001
http://www.projecthalo.com/aura#ID-5051,2,0.0001
http://www.projecthalo.com/aura#ID-5052,2,0.0001
http://www.projecthalo.com/aura#ID-19597,2,0.0001
http://www.projecthalo.com/aura#ID-19596,2,0.0001
http://www.projecthalo.com/aura#ID-19595,2,0.0001
http://www.projecthalo.com/aura#ID-5050,2,0.0001
http://www.projecthalo.com/aura#ID-19594,2,0.0001
http://www.projecthalo.com/aura#ID-20572,2,0.0001
http://www.projecthalo.com/aura#ID-19593,2,0.0001
http://www.projecthalo.com/aura#ID-20571,2,0.0001
http://www.projecthalo.com/aura#ID-19592,2,0.0001
http://www.projecthalo.com/aura#ID-20574,2,0.0001
http://www.projecthalo.com/aura#ID-19591,2,0.0001
http://www.projecthalo.com/aura#ID-20573,2,0.0001
http://www.projecthalo.com/aura#ID-19590,2,0.0001
http://www.projecthalo.com/aura#ID-20576,2,0.0001
http://www.projecthalo.com/aura#ID-20575,2,0.0001
http://www.projecthalo.com/aura#ID-20578,2,0.0001
http://www.projecthalo.com/aura#ID-20577,2,0.0001
http://www.projecthalo.com/aura#ID-20570,2,0.0001
http://www.projecthalo.com/aura#Provirus,1,0.0000
http://www.projecthalo.com/aura#ID-5048,2,0.0001
http://www.projecthalo.com/aura#ID-5049,2,0.0001
http://www.projecthalo.com/aura#ID-5046,2,0.0001
http://www.projecthalo.com/aura#ID-5047,2,0.0001
http://www.projecthalo.com/aura#ID-5044,2,0.0001
http://www.projecthalo.com/aura#ID-20569,2,0.0001
http://www.projecthalo.com/aura#ID-20568,2,0.0001
