Class,Axioms,Coverage
http://www.bioassayontology.org/bao#BAO_0000956,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000835,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000955,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000834,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000954,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000833,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000832,1,0.0012
http://www.bioassayontology.org/bao#BAO_0110001,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000952,1,0.0012
http://www.bioassayontology.org/bao#BAO_0110002,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000830,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000950,1,0.0012
http://www.bioassayontology.org/bao#BAO_0110000,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000709,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000829,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000949,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000827,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000826,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000947,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000946,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000825,1,0.0012
http://purl.obolibrary.org/obo/GO_0007049,1,0.0012
http://purl.obolibrary.org/obo/GO_0043484,1,0.0012
http://purl.obolibrary.org/obo/GO_0048812,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000967,1,0.0012
http://purl.obolibrary.org/obo/GO_0030168,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000846,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000845,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000966,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000965,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000844,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000964,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000843,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000963,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000842,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000721,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000720,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000962,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000840,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000960,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000719,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000718,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000838,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000837,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000836,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000934,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000933,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000811,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000932,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000931,1,0.0012
http://purl.obolibrary.org/obo/GO_0010467,1,0.0012
http://purl.obolibrary.org/obo/GO_0010468,2,0.0024
http://purl.obolibrary.org/obo/GO_0008150,2,0.0024
http://purl.obolibrary.org/obo/GO_0031175,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000929,1,0.0012
http://purl.obolibrary.org/obo/GO_0007186,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000928,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000927,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000926,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000925,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000924,1,0.0012
http://purl.obolibrary.org/obo/CHEBI_51121,8,0.0097
http://www.bioassayontology.org/bao#BAO_0000824,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000945,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000823,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000822,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000821,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000820,1,0.0012
http://purl.obolibrary.org/obo/GO_0009372,1,0.0012
http://purl.obolibrary.org/obo/GO_0008283,1,0.0012
http://purl.obolibrary.org/obo/UO_0000105,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000818,2,0.0024
http://www.bioassayontology.org/bao#BAO_0000935,1,0.0012
http://purl.obolibrary.org/obo/ERO_0002176,2,0.0024
http://www.bioassayontology.org/bao#BAO_0000750,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000992,1,0.0012
http://www.bioassayontology.org/bao#BAO_0002930,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000991,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000870,1,0.0012
http://www.bioassayontology.org/bao#BAO_0002931,1,0.0012
http://purl.obolibrary.org/obo/GO_0050821,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000879,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000758,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000999,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000998,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000877,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000755,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000876,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000997,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000754,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000995,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000874,2,0.0024
http://www.bioassayontology.org/bao#BAO_0000994,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000751,2,0.0024
http://www.bioassayontology.org/bao#BAO_0000872,1,0.0012
http://www.bioassayontology.org/bao#BAO_0040017,1,0.0012
http://www.bioassayontology.org/bao#BAO_0040014,5,0.0061
http://www.bioassayontology.org/bao#BAO_0190002,1,0.0012
http://www.bioassayontology.org/bao#BAO_0190001,1,0.0012
http://www.bioassayontology.org/bao#BAO_0190000,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000749,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000748,1,0.0012
http://www.bioassayontology.org/bao#BAO_0002927,2,0.0024
http://www.bioassayontology.org/bao#BAO_0002807,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000882,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000761,2,0.0024
http://www.bioassayontology.org/bao#BAO_0000760,1,0.0012
http://www.bioassayontology.org/bao#BAO_0000880,1,0.0012
http://www.bioassayontology.org/bao#BAO_0002700,1,0.0012
http://purl.obolibrary.org/obo/GO_0019077,1,0.0012
