Class,Axioms,Coverage
http://purl.oclc.org/BIOMO/resource/BIOMO_000013,2,0.0444
http://semanticscience.org/resource/SIO_001107,1,0.0222
http://purl.oclc.org/BIOMO/resource/BIOMO_000011,4,0.0889
http://semanticscience.org/resource/SIO_000017,1,0.0222
http://purl.oclc.org/BIOMO/resource/BIOMO_000010,4,0.0889
http://purl.obolibrary.org/obo/CDAO_0000138,1,0.0222
http://purl.oclc.org/BIOMO/resource/BIOMO_000006,4,0.0889
http://purl.oclc.org/BIOMO/resource/BIOMO_000005,4,0.0889
http://purl.oclc.org/BIOMO/resource/BIOMO_000004,21,0.4667
http://purl.uniprot.org/core/Taxon,1,0.0222
http://purl.oclc.org/BIOMO/resource/BIOMO_000009,4,0.0889
http://purl.oclc.org/BIOMO/resource/BIOMO_000008,4,0.0889
http://purl.oclc.org/BIOMO/resource/BIOMO_000007,4,0.0889
http://semanticscience.org/resource/SIO_010035,2,0.0444
http://semanticscience.org/resource/SIO_010532,1,0.0222
