Class,Axioms,Coverage
http://purl.obolibrary.org/obo/GO_0070992,5,0.0012
http://purl.obolibrary.org/obo/CHEBI_17345,4,0.0009
http://purl.obolibrary.org/obo/GO_0070993,6,0.0014
http://www.semanticweb.org/BiPON/BiPON_00001273,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00001277,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00001280,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00001281,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00001283,4,0.0009
http://purl.obolibrary.org/obo/CHEBI_33839,17,0.0040
http://www.semanticweb.org/BiPON/BiPON_00002594,14,0.0033
http://www.semanticweb.org/BiPON/BiPON_00002593,3,0.0007
http://purl.obolibrary.org/obo/CHEBI_33838,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00002596,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00001264,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00002598,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00001267,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00001271,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00001272,3,0.0007
http://purl.obolibrary.org/obo/GO_0044207,6,0.0014
http://www.semanticweb.org/BiPON/BiPON_00001296,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00001299,1,0.0002
http://purl.obolibrary.org/obo/GO_0010467,3,0.0007
http://purl.obolibrary.org/obo/GO_0010468,4,0.0009
http://purl.obolibrary.org/obo/GO_0008150,17,0.0040
http://purl.obolibrary.org/obo/SO_0001271,4,0.0009
http://purl.obolibrary.org/obo/SO_0001272,4,0.0009
http://purl.obolibrary.org/obo/CHEBI_36080,7,0.0016
http://www.semanticweb.org/BiPON/BiPON_00001284,5,0.0012
http://purl.obolibrary.org/obo/CHEBI_39127,11,0.0026
http://www.semanticweb.org/BiPON/BiPON_00001287,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00001289,5,0.0012
http://purl.obolibrary.org/obo/CHEBI_16027,33,0.0077
http://www.semanticweb.org/BiPON/BiPON_00001293,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00001294,5,0.0012
http://purl.obolibrary.org/obo/SO_0001263,9,0.0021
http://www.semanticweb.org/BiPON/BiPON_00002569,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00001237,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00002568,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00001239,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00000382,6,0.0014
http://www.semanticweb.org/BiPON/BiPON_00001230,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00000383,8,0.0019
http://www.semanticweb.org/BiPON/BiPON_00000384,8,0.0019
http://www.semanticweb.org/BiPON/BiPON_00002563,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00001232,6,0.0014
http://www.semanticweb.org/BiPON/BiPON_00002562,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00001233,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00002565,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00000386,9,0.0021
http://www.semanticweb.org/BiPON/BiPON_00002564,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00001235,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00002567,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00000388,6,0.0014
http://www.semanticweb.org/BiPON/BiPON_00002566,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00000390,8,0.0019
http://www.semanticweb.org/BiPON/BiPON_00002570,3,0.0007
http://purl.obolibrary.org/obo/CHEBI_7757,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00000392,6,0.0014
http://www.semanticweb.org/BiPON/BiPON_00002558,7,0.0016
http://www.semanticweb.org/BiPON/BiPON_00000379,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00002557,15,0.0035
http://www.semanticweb.org/BiPON/BiPON_00001228,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00000371,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00002550,3,0.0007
http://purl.obolibrary.org/obo/CHEBI_16449,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00001220,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00000373,12,0.0028
http://www.semanticweb.org/BiPON/BiPON_00000374,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00000376,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00001223,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00002556,7,0.0016
http://www.semanticweb.org/BiPON/BiPON_00000378,8,0.0019
http://www.semanticweb.org/BiPON/BiPON_00001225,3,0.0007
http://purl.obolibrary.org/obo/CHEBI_26271,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00000380,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00002106,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00002583,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00002582,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00002101,6,0.0014
http://www.semanticweb.org/BiPON/BiPON_00002585,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00002584,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00002103,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00002587,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00002586,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00001256,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00001257,5,0.0012
http://purl.obolibrary.org/obo/CHEBI_50347,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00002589,3,0.0007
http://purl.obolibrary.org/obo/CHEBI_17326,14,0.0033
http://www.semanticweb.org/BiPON/BiPON_00001258,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00002588,3,0.0007
http://purl.obolibrary.org/obo/CHEBI_27570,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00002590,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00001261,8,0.0019
http://www.semanticweb.org/BiPON/BiPON_00002591,6,0.0014
http://www.semanticweb.org/BiPON/BiPON_00002579,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00000393,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00002572,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00001240,8,0.0019
http://www.semanticweb.org/BiPON/BiPON_00000394,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00002571,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00000395,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00001242,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00002574,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00001243,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00002573,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00002576,8,0.0019
http://www.semanticweb.org/BiPON/BiPON_00000397,8,0.0019
http://www.semanticweb.org/BiPON/BiPON_00002575,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00000398,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00002578,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00000399,9,0.0021
http://www.semanticweb.org/BiPON/BiPON_00002577,2,0.0005
http://purl.obolibrary.org/obo/CHEBI_50342,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00002581,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00002580,7,0.0016
http://purl.obolibrary.org/obo/GO_0034470,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00002525,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00002524,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00002527,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00000348,7,0.0016
http://www.semanticweb.org/BiPON/BiPON_00002526,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00000349,7,0.0016
http://purl.obolibrary.org/obo/SO_0000360,9,0.0021
http://purl.obolibrary.org/obo/SO_0001217,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00002528,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00001670,4,0.0009
http://purl.obolibrary.org/obo/CHEBI_17748,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00001674,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00002520,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00002523,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00002522,2,0.0005
http://biomodels.net/SBO/SBO_0000053,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00002514,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00001666,8,0.0019
http://www.semanticweb.org/BiPON/BiPON_00000335,12,0.0028
http://biomodels.net/SBO/SBO_0000044,9,0.0021
http://www.semanticweb.org/BiPON/BiPON_00000336,6,0.0014
http://www.semanticweb.org/BiPON/BiPON_00002513,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00001668,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00002516,5,0.0012
http://purl.obolibrary.org/obo/SO_0001203,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00002515,2,0.0005
http://biomodels.net/SBO/SBO_0000045,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00002518,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00002517,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00002519,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00001660,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00001661,5,0.0012
http://purl.obolibrary.org/obo/CHEBI_17732,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00000331,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00002510,6,0.0014
http://www.semanticweb.org/BiPON/BiPON_00001664,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00002512,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00000333,7,0.0016
http://www.semanticweb.org/BiPON/BiPON_00001665,6,0.0014
http://www.semanticweb.org/BiPON/BiPON_00002511,7,0.0016
http://purl.obolibrary.org/obo/SO_0001680,3,0.0007
http://biomodels.net/SBO/SBO_0000042,9,0.0021
http://biomodels.net/SBO/SBO_0000041,6,0.0014
http://www.semanticweb.org/BiPON/BiPON_00001215,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00002547,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00002546,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00002549,3,0.0007
http://biomodels.net/SBO/SBO_0000078,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00002548,4,0.0009
http://purl.obolibrary.org/obo/SO_0001679,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00001692,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00000361,13,0.0030
http://www.semanticweb.org/BiPON/BiPON_00002541,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00000362,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00002540,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00001211,6,0.0014
http://www.semanticweb.org/BiPON/BiPON_00002543,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00002542,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00000365,8,0.0019
http://www.semanticweb.org/BiPON/BiPON_00001697,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00002545,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00000367,7,0.0016
http://www.semanticweb.org/BiPON/BiPON_00002544,1,0.0002
http://purl.obolibrary.org/obo/CHEBI_28862,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00000370,8,0.0019
http://www.semanticweb.org/BiPON/BiPON_00002536,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00001204,7,0.0016
http://www.semanticweb.org/BiPON/BiPON_00001689,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00000358,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00002535,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00000359,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00002538,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00001206,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00002537,4,0.0009
http://www.semanticweb.org/BiPON/BiPON_00002539,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00001681,2,0.0005
http://www.semanticweb.org/BiPON/BiPON_00002530,7,0.0016
http://www.semanticweb.org/BiPON/BiPON_00000352,7,0.0016
http://www.semanticweb.org/BiPON/BiPON_00001200,7,0.0016
http://www.semanticweb.org/BiPON/BiPON_00002532,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00001201,1,0.0002
http://www.semanticweb.org/BiPON/BiPON_00000354,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00002531,5,0.0012
http://www.semanticweb.org/BiPON/BiPON_00000355,3,0.0007
http://www.semanticweb.org/BiPON/BiPON_00002534,3,0.0007
