Class,Axioms,Coverage
http://bioontology.org/projects/ontologies/birnlex#birnlex_2350,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_476,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2351,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_475,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_478,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_2352,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_2353,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_477,3,0.0008
http://bioontology.org/projects/ontologies/birnlex#birnlex_2354,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2355,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_479,5,0.0014
http://bioontology.org/projects/ontologies/birnlex#birnlex_2356,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2357,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_1026,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_1025,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_1024,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_470,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_1023,3,0.0008
http://bioontology.org/projects/ontologies/birnlex#birnlex_472,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_1022,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_471,4,0.0011
http://bioontology.org/projects/ontologies/birnlex#birnlex_1021,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_474,4,0.0011
http://bioontology.org/projects/ontologies/birnlex#birnlex_1020,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_473,8,0.0022
http://bioontology.org/projects/ontologies/birnlex#birnlex_1019,4,0.0011
http://bioontology.org/projects/ontologies/birnlex#birnlex_1018,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_1017,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_1016,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2347,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2348,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2349,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_487,3,0.0008
http://bioontology.org/projects/ontologies/birnlex#birnlex_486,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_2340,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2341,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_489,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_488,4,0.0011
http://bioontology.org/projects/ontologies/birnlex#birnlex_2342,3,0.0008
http://bioontology.org/projects/ontologies/birnlex#birnlex_2343,7,0.0020
http://bioontology.org/projects/ontologies/birnlex#birnlex_2344,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2345,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2346,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_1015,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_1014,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_481,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_1013,4,0.0011
http://bioontology.org/projects/ontologies/birnlex#birnlex_1012,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_480,4,0.0011
http://bioontology.org/projects/ontologies/birnlex#birnlex_1011,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_483,3,0.0008
http://bioontology.org/projects/ontologies/birnlex#birnlex_1010,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_482,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_485,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_484,36,0.0101
http://bioontology.org/projects/ontologies/birnlex#birnlex_1009,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_1008,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_1007,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_1006,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_1005,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2336,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2337,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2338,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2339,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_454,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_453,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_456,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_2330,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_2331,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_455,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_2332,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_458,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_2333,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_457,3,0.0008
http://bioontology.org/projects/ontologies/birnlex#birnlex_2334,8,0.0022
http://bioontology.org/projects/ontologies/birnlex#birnlex_2335,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_459,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_1004,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_1003,6,0.0017
http://bioontology.org/projects/ontologies/birnlex#birnlex_1002,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_1001,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_1000,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_450,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_452,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_451,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_2325,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2327,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_2328,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2329,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_465,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_464,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_467,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_2320,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_466,4,0.0011
http://bioontology.org/projects/ontologies/birnlex#birnlex_469,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2321,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_2322,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_468,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_2323,4,0.0011
http://bioontology.org/projects/ontologies/birnlex#birnlex_2324,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_461,5,0.0014
http://bioontology.org/projects/ontologies/birnlex#birnlex_460,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_463,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_462,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2314,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2315,4,0.0011
http://bioontology.org/projects/ontologies/birnlex#birnlex_2316,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2317,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2318,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2319,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2310,4,0.0011
http://bioontology.org/projects/ontologies/birnlex#birnlex_2311,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2312,2,0.0006
http://bioontology.org/projects/ontologies/birnlex#birnlex_2313,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2303,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2304,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2305,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2306,3,0.0008
http://bioontology.org/projects/ontologies/birnlex#birnlex_2307,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2308,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2309,5,0.0014
http://bioontology.org/projects/ontologies/birnlex#birnlex_2300,6,0.0017
http://bioontology.org/projects/ontologies/birnlex#birnlex_2301,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#birnlex_2302,1,0.0003
http://bioontology.org/projects/ontologies/birnlex#DependentContinuant,4,0.0011
