Class,Axioms,Coverage
http://edamontology.org/topic_0140,1,0.0035
http://edamontology.org/topic_3411,1,0.0035
http://edamontology.org/topic_3410,1,0.0035
http://edamontology.org/topic_3415,1,0.0035
http://edamontology.org/topic_3414,1,0.0035
http://edamontology.org/topic_3413,1,0.0035
http://edamontology.org/topic_3412,1,0.0035
http://edamontology.org/topic_3419,1,0.0035
http://edamontology.org/topic_3418,1,0.0035
http://edamontology.org/topic_3417,1,0.0035
http://edamontology.org/topic_0820,1,0.0035
http://edamontology.org/topic_0821,1,0.0035
http://edamontology.org/topic_3416,1,0.0035
http://edamontology.org/topic_3422,1,0.0035
http://edamontology.org/topic_3301,1,0.0035
http://edamontology.org/topic_0154,5,0.0177
http://edamontology.org/topic_3300,1,0.0035
http://edamontology.org/topic_3421,1,0.0035
http://edamontology.org/topic_0152,1,0.0035
http://edamontology.org/topic_3420,1,0.0035
http://edamontology.org/topic_0153,1,0.0035
http://edamontology.org/topic_3305,1,0.0035
http://edamontology.org/topic_3426,2,0.0071
http://edamontology.org/topic_3425,1,0.0035
http://edamontology.org/topic_3304,1,0.0035
http://edamontology.org/topic_0159,4,0.0142
http://edamontology.org/topic_3424,1,0.0035
http://edamontology.org/topic_3303,35,0.1241
http://edamontology.org/topic_3302,1,0.0035
http://edamontology.org/topic_0157,1,0.0035
http://edamontology.org/topic_3423,1,0.0035
http://edamontology.org/topic_3429,1,0.0035
http://edamontology.org/topic_3308,2,0.0071
http://edamontology.org/topic_3428,1,0.0035
http://edamontology.org/topic_3307,5,0.0177
http://edamontology.org/topic_3427,1,0.0035
http://edamontology.org/topic_3306,2,0.0071
http://edamontology.org/topic_0160,1,0.0035
http://edamontology.org/topic_3433,1,0.0035
http://edamontology.org/topic_0166,1,0.0035
http://edamontology.org/topic_3432,1,0.0035
http://edamontology.org/topic_3431,1,0.0035
http://edamontology.org/topic_3430,1,0.0035
http://edamontology.org/topic_0164,1,0.0035
http://edamontology.org/topic_0607,1,0.0035
http://edamontology.org/topic_3437,1,0.0035
http://edamontology.org/topic_3316,6,0.0213
http://edamontology.org/topic_3315,1,0.0035
http://edamontology.org/topic_3436,6,0.0213
http://edamontology.org/topic_3435,1,0.0035
http://edamontology.org/topic_3314,6,0.0213
http://edamontology.org/topic_3434,1,0.0035
http://edamontology.org/topic_0602,5,0.0177
http://edamontology.org/topic_0724,6,0.0213
http://edamontology.org/topic_3318,1,0.0035
http://edamontology.org/topic_2229,1,0.0035
http://edamontology.org/topic_3439,2,0.0071
