Class,Axioms,Coverage
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000056,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000177,1,0.0036
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000055,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000054,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000053,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000059,12,0.0430
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000058,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000179,1,0.0036
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000057,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000178,1,0.0036
http://purl.obolibrary.org/obo/CHEBI_25094,2,0.0072
http://purl.obolibrary.org/obo/CHEBI_6104,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000180,1,0.0036
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000184,1,0.0036
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000063,1,0.0036
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000183,1,0.0036
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000062,5,0.0179
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000182,1,0.0036
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000061,5,0.0179
http://purl.obolibrary.org/obo/CHEBI_26986,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000060,3,0.0108
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000181,1,0.0036
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000045,2,0.0072
http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:5931,1,0.0036
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000044,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000043,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000042,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000049,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000048,2,0.0072
http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:27666,1,0.0036
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000047,13,0.0466
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000046,2,0.0072
http://www.ifomis.org/bfo/1.1/snap#Role,3,0.0108
http://purl.obolibrary.org/obo/CHEBI_168396,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000052,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000051,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000050,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000034,2,0.0072
http://purl.org/obo/owl/NCBITaxon#NCBITaxon_10239,6,0.0215
http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:24127,3,0.0108
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000036,2,0.0072
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000035,2,0.0072
http://www.ebi.ac.uk/efo/EFO_0002694,1,0.0036
http://livercancer.imbi.uni-heidelberg.de/ccont#CCONT_0000039,2,0.0072
http://www.ebi.ac.uk/efo/EFO_0003787,1,0.0036
