Class,Axioms,Coverage
http://purl.obolibrary.org/obo/CHMO_0001309,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001308,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001307,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001306,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000459,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000458,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001305,6,0.0017
http://purl.obolibrary.org/obo/CHMO_0002636,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001789,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002637,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002638,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002639,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001792,2,0.0006
http://purl.obolibrary.org/obo/CHMO_0000460,2,0.0006
http://purl.obolibrary.org/obo/CHMO_0002640,4,0.0012
http://purl.obolibrary.org/obo/CHMO_0001793,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002641,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001794,3,0.0009
http://purl.obolibrary.org/obo/CHMO_0002642,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001795,3,0.0009
http://purl.obolibrary.org/obo/CHMO_0002643,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001796,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002644,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001797,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002645,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001798,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001799,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002646,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001315,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000468,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001314,12,0.0035
http://purl.obolibrary.org/obo/CHMO_0000467,2,0.0006
http://purl.obolibrary.org/obo/CHMO_0001313,2,0.0006
http://purl.obolibrary.org/obo/CHMO_0000466,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001312,3,0.0009
http://purl.obolibrary.org/obo/CHMO_0000465,2,0.0006
http://purl.obolibrary.org/obo/CHMO_0001311,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000464,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001310,18,0.0052
http://purl.obolibrary.org/obo/CHMO_0000463,2,0.0006
http://purl.obolibrary.org/obo/CHMO_0001790,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000462,3,0.0009
http://purl.obolibrary.org/obo/CHMO_0001791,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000461,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001319,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001318,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001317,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001316,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000469,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002647,3,0.0009
http://purl.obolibrary.org/obo/CHMO_0002648,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002649,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000471,2,0.0006
http://purl.obolibrary.org/obo/CHMO_0002650,2,0.0006
http://purl.obolibrary.org/obo/CHMO_0002651,2,0.0006
http://purl.obolibrary.org/obo/CHMO_0000470,55,0.0160
http://purl.obolibrary.org/obo/CHMO_0002652,2,0.0006
http://purl.obolibrary.org/obo/IAO_0000005,3,0.0009
http://purl.obolibrary.org/obo/CHMO_0002653,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002654,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002655,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002656,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002657,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001326,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001325,3,0.0009
http://purl.obolibrary.org/obo/CHMO_0000478,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000477,3,0.0009
http://purl.obolibrary.org/obo/CHMO_0001324,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001323,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000476,2,0.0006
http://purl.obolibrary.org/obo/CHMO_0001322,2,0.0006
http://purl.obolibrary.org/obo/CHMO_0000475,2,0.0006
http://purl.obolibrary.org/obo/CHMO_0001321,2,0.0006
http://purl.obolibrary.org/obo/CHMO_0000474,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000473,3,0.0009
http://purl.obolibrary.org/obo/CHMO_0001320,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000472,8,0.0023
http://purl.obolibrary.org/obo/CHMO_0001329,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001328,1,0.0003
http://purl.obolibrary.org/obo/OBI_0000070,37,0.0107
http://purl.obolibrary.org/obo/CHMO_0001327,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002658,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002659,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000482,18,0.0052
http://purl.obolibrary.org/obo/CHMO_0002661,3,0.0009
http://purl.obolibrary.org/obo/CHMO_0000481,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002662,3,0.0009
http://purl.obolibrary.org/obo/CHMO_0002663,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000480,2,0.0006
http://purl.obolibrary.org/obo/CHMO_0002664,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002665,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002666,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002667,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0002668,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000006,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0001337,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000005,3,0.0009
http://purl.obolibrary.org/obo/CHMO_0000489,5,0.0015
http://purl.obolibrary.org/obo/CHMO_0001336,8,0.0023
http://purl.obolibrary.org/obo/CHMO_0000488,3,0.0009
http://purl.obolibrary.org/obo/CHMO_0001335,1,0.0003
http://purl.obolibrary.org/obo/CHMO_0000004,5,0.0015
http://purl.obolibrary.org/obo/CHMO_0000487,1,0.0003
