Class,Axioms,Coverage
http://purl.obolibrary.org/obo/GO_0071840,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0002439,1,0.0000
http://purl.obolibrary.org/obo/GO_0007283,3,0.0000
http://purl.obolibrary.org/obo/NCBITaxon_314295,4,0.0000
http://purl.obolibrary.org/obo/NCBITaxon_314294,4,0.0000
http://purl.obolibrary.org/obo/NCBITaxon_314293,3,0.0000
http://purl.obolibrary.org/obo/GO_0046879,5,0.0000
http://purl.obolibrary.org/obo/UBERON_0002440,3,0.0000
http://purl.obolibrary.org/obo/GO_0044237,9,0.0001
http://purl.obolibrary.org/obo/GO_0044238,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0002465,4,0.0000
http://purl.obolibrary.org/obo/CARO_0000003,17,0.0001
http://purl.obolibrary.org/obo/CARO_0000006,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051369,4,0.0000
http://purl.obolibrary.org/obo/GO_0044260,3,0.0000
http://purl.obolibrary.org/obo/CLO_0051368,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051367,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051377,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051376,4,0.0000
http://purl.obolibrary.org/obo/CLO_0051375,4,0.0000
http://purl.obolibrary.org/obo/CLO_0051374,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051373,4,0.0000
http://purl.obolibrary.org/obo/CLO_0051372,4,0.0000
http://purl.obolibrary.org/obo/CLO_0051371,4,0.0000
http://purl.obolibrary.org/obo/CLO_0051370,4,0.0000
http://purl.obolibrary.org/obo/UBERON_0002409,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0002405,8,0.0001
http://sig.uw.edu/fma#Amnion,6,0.0000
http://purl.obolibrary.org/obo/CLO_0051379,4,0.0000
http://purl.obolibrary.org/obo/CLO_0051378,2,0.0000
http://purl.obolibrary.org/obo/DOID_6713,5,0.0000
http://purl.obolibrary.org/obo/CLO_0051388,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051387,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051386,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051385,2,0.0000
http://purl.obolibrary.org/obo/BFO_0000040,33,0.0003
http://purl.obolibrary.org/obo/CLO_0051384,4,0.0000
http://purl.obolibrary.org/obo/CLO_0051383,4,0.0000
http://purl.obolibrary.org/obo/CLO_0051382,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051381,4,0.0000
http://purl.obolibrary.org/obo/CLO_0051380,4,0.0000
http://purl.obolibrary.org/obo/GO_0044249,3,0.0000
http://purl.obolibrary.org/obo/UBERON_0002401,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0002418,1,0.0000
http://sig.uw.edu/fma#External_genitalia,5,0.0000
http://purl.obolibrary.org/obo/UBERON_0002415,3,0.0000
http://purl.obolibrary.org/obo/UBERON_0002416,8,0.0001
http://purl.obolibrary.org/obo/UBERON_0002417,3,0.0000
http://purl.obolibrary.org/obo/GO_0044281,3,0.0000
http://purl.obolibrary.org/obo/CLO_0051389,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051399,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051398,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051397,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051396,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051395,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051394,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051393,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051392,2,0.0000
http://purl.obolibrary.org/obo/CLO_0051391,4,0.0000
http://purl.obolibrary.org/obo/CLO_0051390,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0002429,1,0.0000
http://purl.obolibrary.org/obo/CARO_0000014,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0002428,5,0.0000
http://purl.obolibrary.org/obo/GO_0044272,3,0.0000
http://purl.obolibrary.org/obo/UBERON_0002424,3,0.0000
http://purl.obolibrary.org/obo/CLO_0014388,3,0.0000
http://purl.obolibrary.org/obo/CLO_0014389,3,0.0000
http://purl.obolibrary.org/obo/CLO_0014380,3,0.0000
http://purl.obolibrary.org/obo/CLO_0051329,2,0.0000
http://purl.obolibrary.org/obo/CLO_0014381,4,0.0000
http://purl.obolibrary.org/obo/CLO_0053990,1,0.0000
http://purl.obolibrary.org/obo/CLO_0014382,4,0.0000
http://purl.obolibrary.org/obo/CLO_0051328,2,0.0000
