Class,Axioms,Coverage
http://purl.obolibrary.org/obo/GO_0046883,14,0.0004
http://purl.obolibrary.org/obo/GO_0046885,6,0.0002
http://purl.obolibrary.org/obo/UBERON_0001105,27,0.0008
http://purl.obolibrary.org/obo/GO_0071840,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0002437,5,0.0001
http://purl.obolibrary.org/obo/GO_0046887,12,0.0003
http://purl.obolibrary.org/obo/GO_0046886,5,0.0001
http://purl.obolibrary.org/obo/GO_0007281,6,0.0002
http://purl.obolibrary.org/obo/GO_0007283,5,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_314295,2,0.0001
http://purl.obolibrary.org/obo/GO_0007286,6,0.0002
http://purl.obolibrary.org/obo/NCBITaxon_314294,2,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_314293,3,0.0001
http://purl.obolibrary.org/obo/GO_0007288,7,0.0002
http://purl.obolibrary.org/obo/UBERON_0015757,2,0.0001
http://purl.obolibrary.org/obo/GO_0007289,11,0.0003
http://purl.obolibrary.org/obo/UBERON_0002435,7,0.0002
http://purl.obolibrary.org/obo/GO_0046879,17,0.0005
http://purl.obolibrary.org/obo/UBERON_0001100,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0001118,9,0.0003
http://purl.obolibrary.org/obo/UBERON_0001119,3,0.0001
http://purl.obolibrary.org/obo/GO_0032226,4,0.0001
http://purl.obolibrary.org/obo/GO_0032225,5,0.0001
http://purl.obolibrary.org/obo/GO_0032228,5,0.0001
http://purl.obolibrary.org/obo/GO_0032227,4,0.0001
http://purl.obolibrary.org/obo/GO_0070507,4,0.0001
http://purl.obolibrary.org/obo/GO_0032229,4,0.0001
http://purl.obolibrary.org/obo/GO_0007292,5,0.0001
http://purl.obolibrary.org/obo/PR_000048531,3,0.0001
http://purl.obolibrary.org/obo/GO_0032230,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0001112,16,0.0004
http://purl.obolibrary.org/obo/UBERON_0002443,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0001113,6,0.0002
http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=9832,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0001114,12,0.0003
http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=9831,3,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_infraclass,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0001115,12,0.0003
http://purl.obolibrary.org/obo/UBERON_0002446,13,0.0004
http://purl.obolibrary.org/obo/UBERON_0002442,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0002458,3,0.0001
http://purl.obolibrary.org/obo/GO_0045577,6,0.0002
http://purl.obolibrary.org/obo/GO_0045578,5,0.0001
http://www.informatics.jax.org/marker/MGI:96616,3,0.0001
http://purl.obolibrary.org/obo/GO_0032268,7,0.0002
