Class,Axioms,Coverage
http://purl.bioontology.org/ontology/CST/BEI%20DEC,2,0.0003
http://purl.bioontology.org/ontology/CST/EMB%20PULM,4,0.0006
http://purl.bioontology.org/ontology/CST/HYPERCALCEM,2,0.0003
http://purl.bioontology.org/ontology/CST/LYMPHANGITIS,1,0.0001
http://purl.bioontology.org/ontology/CST/HAL/PLAT/GEN,5,0.0007
http://purl.bioontology.org/ontology/CST/RE%20BLOCK,2,0.0003
http://purl.bioontology.org/ontology/CST/HYPERPLASIA%20ENDOMETR,1,0.0001
http://purl.bioontology.org/ontology/CST/MONILIA%20AXILLA,2,0.0003
http://purl.bioontology.org/ontology/CST/FIBRILLAT%20VENT,3,0.0004
http://purl.bioontology.org/ontology/CST/HAL/COAG/CT,3,0.0004
http://purl.bioontology.org/ontology/CST/HAL/COAG/CR,3,0.0004
http://purl.bioontology.org/ontology/CST/CARDIOMEGALY,2,0.0003
http://purl.bioontology.org/ontology/CST/VIRILISM,2,0.0003
http://purl.bioontology.org/ontology/CST/HEART%20ARREST,3,0.0004
http://purl.bioontology.org/ontology/CST/HAL/COAG/CF,13,0.0019
http://purl.bioontology.org/ontology/CST/PAIN%20KIDNEY,2,0.0003
http://purl.bioontology.org/ontology/CST/HEPATOMA,2,0.0003
http://purl.bioontology.org/ontology/CST/VERTIGO,1,0.0001
http://purl.bioontology.org/ontology/CST/CARCINOMA%20THYR,2,0.0003
http://purl.bioontology.org/ontology/CST/ARRHYTHMIA%20NOD,2,0.0003
http://purl.bioontology.org/ontology/CST/PUPIL%20DIS,1,0.0001
http://purl.bioontology.org/ontology/CST/SPINA%20BIFIDA,3,0.0004
http://purl.bioontology.org/ontology/CST/PHENYLKETONURIA,2,0.0003
http://purl.bioontology.org/ontology/CST/HAL/COAG/BT,3,0.0004
http://purl.bioontology.org/ontology/CST/PROCTITIS%20HEM,2,0.0003
http://purl.bioontology.org/ontology/CST/DIG/GD,6,0.0009
http://purl.bioontology.org/ontology/CST/MYOPATHY,2,0.0003
http://purl.bioontology.org/ontology/CST/EUPHORIA,1,0.0001
http://purl.bioontology.org/ontology/CST/LACRIMATION%20DIS,2,0.0003
http://purl.bioontology.org/ontology/CST/MEGAKARYO%20DEC,2,0.0003
http://purl.bioontology.org/ontology/CST/ARTERITIS,2,0.0003
http://purl.bioontology.org/ontology/CST/EJACULAT%20ABNORM,2,0.0003
http://purl.bioontology.org/ontology/CST/FLATUL,2,0.0003
http://purl.bioontology.org/ontology/CST/LEUKEMIA%20CHRON,2,0.0003
http://purl.bioontology.org/ontology/CST/NYSTAGMUS,1,0.0001
http://purl.bioontology.org/ontology/CST/STOMATITIS%20ULCER,2,0.0003
http://purl.bioontology.org/ontology/CST/PULMVASC,8,0.0011
http://purl.bioontology.org/ontology/CST/PATH,23,0.0033
http://purl.bioontology.org/ontology/CST/SOMNOLENCE,1,0.0001
http://purl.bioontology.org/ontology/CST/GUSTRUCT,6,0.0009
http://purl.bioontology.org/ontology/CST/EPIDIDYMITIS,1,0.0001
http://purl.bioontology.org/ontology/CST/EMB,3,0.0004
http://purl.bioontology.org/ontology/CST/HAL/MAR/INC,6,0.0009
http://purl.bioontology.org/ontology/CST/FACIES%20MASK,1,0.0001
http://purl.bioontology.org/ontology/CST/EMB%20LEG,3,0.0004
http://purl.bioontology.org/ontology/CST/SS/TST,3,0.0004
http://purl.bioontology.org/ontology/CST/OPHIOP,2,0.0003
http://purl.bioontology.org/ontology/CST/CHOLINERG%20SYND,3,0.0004
http://purl.bioontology.org/ontology/CST/CARCINOMA%20ENDOMETR,1,0.0001
http://purl.bioontology.org/ontology/CST/DIG/EC,17,0.0024
http://purl.bioontology.org/ontology/CST/EPIPHYS%20CLOS%20DELAY,2,0.0003
http://purl.bioontology.org/ontology/CST/SKIN%20DISCOLOR,2,0.0003
http://purl.bioontology.org/ontology/CST/HEMCLOTDEC,20,0.0029
http://purl.bioontology.org/ontology/CST/HEM%20JEJUNUM,2,0.0003
http://purl.bioontology.org/ontology/CST/RES,5,0.0007
http://purl.bioontology.org/ontology/CST/HICCUP,1,0.0001
http://purl.bioontology.org/ontology/CST/STENO%20INTEST%20COLON,1,0.0001
http://purl.bioontology.org/ontology/CST/OPHVIS,10,0.0014
http://purl.bioontology.org/ontology/CST/PATHMYOSITIC,9,0.0013
http://purl.bioontology.org/ontology/CST/PRURITUS,4,0.0006
http://purl.bioontology.org/ontology/CST/SCREAMING%20SYND,2,0.0003
http://purl.bioontology.org/ontology/CST/GUILLAIN%20BARRE%20SYND,2,0.0003
http://purl.bioontology.org/ontology/CST/AMYLASE%20INC,2,0.0003
http://purl.bioontology.org/ontology/CST/RASH%20PURPUR,3,0.0004
http://purl.bioontology.org/ontology/CST/SEX%20MAT%20FEM%20ACCEL,4,0.0006
http://purl.bioontology.org/ontology/CST/GROWTH%20ACCELER,2,0.0003
http://purl.bioontology.org/ontology/CST/SCLEROSIS%20MULT,2,0.0003
http://purl.bioontology.org/ontology/CST/HAL/RBC/GEN,8,0.0011
http://purl.bioontology.org/ontology/CST/SKINTUMOR,7,0.0010
http://purl.bioontology.org/ontology/CST/DIARRHEA%20BLOODY,3,0.0004
http://purl.bioontology.org/ontology/CST/NEOPL%20UG,2,0.0003
http://purl.bioontology.org/ontology/CST/ANTISOCIAL%20REACT,1,0.0001
http://purl.bioontology.org/ontology/CST/SKIN/DERM/ATR,3,0.0004
http://purl.bioontology.org/ontology/CST/CRYSTALLURIA%20SULFA,3,0.0004
http://purl.bioontology.org/ontology/CST/HIRSUTISM,2,0.0003
http://purl.bioontology.org/ontology/CST/NOCTURIA,2,0.0003
http://purl.bioontology.org/ontology/CST/THROMBOPLASTIN%20DEC,2,0.0003
http://purl.bioontology.org/ontology/CST/HEMOCHROMATO,2,0.0003
http://purl.bioontology.org/ontology/CST/RASH%20MAC%20PAP,3,0.0004
http://purl.bioontology.org/ontology/CST/AKINESIA,1,0.0001
http://purl.bioontology.org/ontology/CST/MYELITIS,1,0.0001
http://purl.bioontology.org/ontology/CST/DYSPNEA,3,0.0004
http://purl.bioontology.org/ontology/CST/NECRO%20BONE,2,0.0003
http://purl.bioontology.org/ontology/CST/CHROMOSOME%20ABNORM,2,0.0003
http://purl.bioontology.org/ontology/CST/HOSTILITY,2,0.0003
http://purl.bioontology.org/ontology/CST/HEMWBCABN,8,0.0011
http://purl.bioontology.org/ontology/CST/REFLEXES%20DEC,2,0.0003
http://purl.bioontology.org/ontology/CST/EXTRAPYR%20SYND,1,0.0001
http://purl.bioontology.org/ontology/CST/DEAF%20TRANS%20TOTAL,2,0.0003
