Class,Axioms,Coverage
http://purl.bioontology.org/ontology/CSP/2483-6132,1,0.0000
http://purl.bioontology.org/ontology/CSP/2446-1850,2,0.0000
http://purl.bioontology.org/ontology/CSP/2292-5520,1,0.0000
http://purl.bioontology.org/ontology/CSP/0170-5244,2,0.0000
http://purl.bioontology.org/ontology/CSP/1992-7925,3,0.0000
http://purl.bioontology.org/ontology/CSP/0962-6149,1,0.0000
http://purl.bioontology.org/ontology/CSP/3131-1353,2,0.0000
http://purl.bioontology.org/ontology/CSP/1270-8304,1,0.0000
http://purl.bioontology.org/ontology/CSP/0192-1885,3,0.0000
http://purl.bioontology.org/ontology/CSP/0321-7812,1,0.0000
http://purl.bioontology.org/ontology/CSP/2058-8460,1,0.0000
http://purl.bioontology.org/ontology/CSP/1385-4850,6,0.0000
http://purl.bioontology.org/ontology/CSP/1114-8721,2,0.0000
http://purl.bioontology.org/ontology/CSP/0059-7979,1,0.0000
http://purl.bioontology.org/ontology/CSP/1330-6269,1,0.0000
http://purl.bioontology.org/ontology/CSP/1852-8386,1,0.0000
http://purl.bioontology.org/ontology/CSP/2074-8853,2,0.0000
http://purl.bioontology.org/ontology/CSP/2517-6492,2,0.0000
http://purl.bioontology.org/ontology/CSP/1039-1404,1,0.0000
http://purl.bioontology.org/ontology/CSP/1849-5422,2,0.0000
http://purl.bioontology.org/ontology/CSP/0479-2221,1,0.0000
http://purl.bioontology.org/ontology/CSP/1110-6890,1,0.0000
http://purl.bioontology.org/ontology/CSP/2517-5155,3,0.0000
http://purl.bioontology.org/ontology/CSP/2573-1300,2,0.0000
http://purl.bioontology.org/ontology/CSP/0634-7135,2,0.0000
http://purl.bioontology.org/ontology/CSP/1114-8714,1,0.0000
http://purl.bioontology.org/ontology/CSP/2484-8182,6,0.0000
http://purl.bioontology.org/ontology/CSP/2390-8845,1,0.0000
http://purl.bioontology.org/ontology/CSP/0485-8982,1,0.0000
http://purl.bioontology.org/ontology/CSP/1754-7677,1,0.0000
http://purl.bioontology.org/ontology/CSP/2323-2089,3,0.0000
http://purl.bioontology.org/ontology/CSP/0866-4608,3,0.0000
http://purl.bioontology.org/ontology/CSP/2184-8539,3,0.0000
http://purl.bioontology.org/ontology/CSP/1354-4287,1,0.0000
http://purl.bioontology.org/ontology/CSP/1982-1959,3,0.0000
http://purl.bioontology.org/ontology/CSP/2192-4379,1,0.0000
http://purl.bioontology.org/ontology/CSP/2928-6836,4,0.0000
http://purl.bioontology.org/ontology/CSP/0070-1817,1,0.0000
http://purl.bioontology.org/ontology/CSP/2484-5912,9,0.0001
http://purl.bioontology.org/ontology/CSP/2024-3178,1,0.0000
http://purl.bioontology.org/ontology/CSP/1042-6991,1,0.0000
http://purl.bioontology.org/ontology/CSP/1524-9334,6,0.0000
http://purl.bioontology.org/ontology/CSP/2058-8480,1,0.0000
http://purl.bioontology.org/ontology/CSP/2608-1052,4,0.0000
http://purl.bioontology.org/ontology/CSP/0437-1102,1,0.0000
http://purl.bioontology.org/ontology/CSP/1372-3845,4,0.0000
http://purl.bioontology.org/ontology/CSP/2483-6119,1,0.0000
http://purl.bioontology.org/ontology/CSP/1114-8704,1,0.0000
http://purl.bioontology.org/ontology/CSP/2483-8765,1,0.0000
http://purl.bioontology.org/ontology/CSP/1754-7689,2,0.0000
http://purl.bioontology.org/ontology/CSP/0989-4022,1,0.0000
http://purl.bioontology.org/ontology/CSP/2876-3405,1,0.0000
http://purl.bioontology.org/ontology/CSP/0831-9603,2,0.0000
http://purl.bioontology.org/ontology/CSP/0576-3516,2,0.0000
http://purl.bioontology.org/ontology/CSP/2342-3616,1,0.0000
http://purl.bioontology.org/ontology/CSP/1557-2995,2,0.0000
http://purl.bioontology.org/ontology/CSP/0944-6988,6,0.0000
http://purl.bioontology.org/ontology/CSP/1254-9200,1,0.0000
http://purl.bioontology.org/ontology/CSP/0548-4144,1,0.0000
http://purl.bioontology.org/ontology/CSP/0355-3081,4,0.0000
http://purl.bioontology.org/ontology/CSP/0977-6312,1,0.0000
http://purl.bioontology.org/ontology/CSP/1385-2212,1,0.0000
http://purl.bioontology.org/ontology/CSP/1114-8709,1,0.0000
http://purl.bioontology.org/ontology/CSP/2058-8470,1,0.0000
http://purl.bioontology.org/ontology/CSP/0808-5741,7,0.0000
http://purl.bioontology.org/ontology/CSP/1255-0224,1,0.0000
http://purl.bioontology.org/ontology/CSP/2517-5195,3,0.0000
http://purl.bioontology.org/ontology/CSP/2558-6898,2,0.0000
http://purl.bioontology.org/ontology/CSP/2607-1697,12,0.0001
http://purl.bioontology.org/ontology/CSP/1249-9777,2,0.0000
http://purl.bioontology.org/ontology/CSP/3157-3390,1,0.0000
http://purl.bioontology.org/ontology/CSP/1129-2797,2,0.0000
http://purl.bioontology.org/ontology/CSP/2715-2192,1,0.0000
http://purl.bioontology.org/ontology/CSP/2214-4352,1,0.0000
http://purl.bioontology.org/ontology/CSP/1524-9312,5,0.0000
http://purl.bioontology.org/ontology/CSP/2683-4954,1,0.0000
http://purl.bioontology.org/ontology/CSP/2349-0507,4,0.0000
http://purl.bioontology.org/ontology/CSP/1976-6252,1,0.0000
http://purl.bioontology.org/ontology/CSP/2024-5767,1,0.0000
http://purl.bioontology.org/ontology/CSP/3099-8150,22,0.0001
http://purl.bioontology.org/ontology/CSP/0314-7897,3,0.0000
http://purl.bioontology.org/ontology/CSP/0435-9400,1,0.0000
http://purl.bioontology.org/ontology/CSP/0432-9563,1,0.0000
http://purl.bioontology.org/ontology/CSP/2102-0690,14,0.0001
http://purl.bioontology.org/ontology/CSP/1849-6719,2,0.0000
http://purl.bioontology.org/ontology/CSP/2058-8490,3,0.0000
http://purl.bioontology.org/ontology/CSP/2111-9477,1,0.0000
http://purl.bioontology.org/ontology/CSP/2594-5619,1,0.0000
http://purl.bioontology.org/ontology/CSP/1256-9706,1,0.0000
http://purl.bioontology.org/ontology/CSP/1852-8319,1,0.0000
http://purl.bioontology.org/ontology/CSP/1138-5497,1,0.0000
http://purl.bioontology.org/ontology/CSP/2928-6883,2,0.0000
http://purl.bioontology.org/ontology/CSP/2323-2046,3,0.0000
http://purl.bioontology.org/ontology/CSP/1129-2773,1,0.0000
http://purl.bioontology.org/ontology/CSP/2587-4357,1,0.0000
http://purl.bioontology.org/ontology/CSP/0480-1168,2,0.0000
http://purl.bioontology.org/ontology/CSP/1554-0489,3,0.0000
http://purl.bioontology.org/ontology/CSP/0316-4420,1,0.0000
http://purl.bioontology.org/ontology/CSP/0497-4084,2,0.0000
http://purl.bioontology.org/ontology/CSP/2683-4975,1,0.0000
http://purl.bioontology.org/ontology/CSP/1114-8742,3,0.0000
http://purl.bioontology.org/ontology/CSP/0081-8501,6,0.0000
http://purl.bioontology.org/ontology/CSP/2013-1302,4,0.0000
http://purl.bioontology.org/ontology/CSP/0617-6007,1,0.0000
http://purl.bioontology.org/ontology/CSP/1129-2785,1,0.0000
http://purl.bioontology.org/ontology/CSP/2573-3900,1,0.0000
http://purl.bioontology.org/ontology/CSP/1560-4597,3,0.0000
http://purl.bioontology.org/ontology/CSP/1682-3281,1,0.0000
http://purl.bioontology.org/ontology/CSP/0547-4779,1,0.0000
http://purl.bioontology.org/ontology/CSP/1682-3284,1,0.0000
http://purl.bioontology.org/ontology/CSP/0427-7406,1,0.0000
http://purl.bioontology.org/ontology/CSP/1682-3282,1,0.0000
http://purl.bioontology.org/ontology/CSP/2956-7178,1,0.0000
http://purl.bioontology.org/ontology/CSP/3099-9437,1,0.0000
http://purl.bioontology.org/ontology/CSP/0723-7794,1,0.0000
