Class,Axioms,Coverage
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nevoid_Melanoma,1,0.0000
http://scai.fraunhofer.de/CSEO#CSEO_00000882,1,0.0000
http://scai.fraunhofer.de/CSEO#CSEO_00000881,1,0.0000
http://scai.fraunhofer.de/CSEO#CSEO_00000880,1,0.0000
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Net_Weight,1,0.0000
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Kernicterus,2,0.0001
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Gram_per_Cage,1,0.0000
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Parabacteroides_distasonis,1,0.0000
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Recurrent_Non-Small_Cell_Lung_Cancer,5,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Stage_III_Lung_Adenocarcinoma,4,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Original_Unit,12,0.0005
http://scai.fraunhofer.de/CSEO#Cystadenocarcinoma,1,0.0000
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Malignant_Lymphoma_Non-Cleaved_Cell_Type,4,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Lone_Pine,1,0.0000
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Granuloma_Inguinale,1,0.0000
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Stage_II_Nasopharyngeal_Squamous_Cell_Carcinoma,2,0.0001
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Refractory_Burkitt_s_Lymphoma,2,0.0001
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Myolipoma,2,0.0001
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Radiation-Recall_Dermatitis,1,0.0000
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nonalcoholic_Steatohepatitis,2,0.0001
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Endocrine_Hypertension,1,0.0000
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Stage_IIIB_Hodgkin_s_Lymphoma,1,0.0000
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Stage_IV_Breast_Cancer,8,0.0003
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Histiocytic_Necrotizing_Lymphadenitis,1,0.0000
http://scai.fraunhofer.de/CSEO#CSEO_00000879,10,0.0004
http://scai.fraunhofer.de/CSEO#CSEO_00000878,3,0.0001
http://scai.fraunhofer.de/CSEO#CSEO_00000877,2,0.0001
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hairy_Cell_Leukemia_Variant,3,0.0001
http://scai.fraunhofer.de/CSEO#CSEO_00000876,2,0.0001
http://scai.fraunhofer.de/CSEO#CSEO_00000875,2,0.0001
http://scai.fraunhofer.de/CSEO#CSEO_00000874,1,0.0000
http://scai.fraunhofer.de/CSEO#CSEO_00000873,1,0.0000
http://scai.fraunhofer.de/CSEO#CSEO_00000872,3,0.0001
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Rete_Ovarii_Neoplasm,4,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Macrococcus_caseolyticus,1,0.0000
http://scai.fraunhofer.de/CSEO#CSEO_00000871,1,0.0000
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mitral_Stenosis,1,0.0000
http://scai.fraunhofer.de/CSEO#CSEO_00000870,2,0.0001
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Intracranial_Hemangioma,4,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Childhood_Acute_Monoblastic_Leukemia_without_Differentiation,2,0.0001
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Beta_Amyloid_Measurement,2,0.0001
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Tillamook,1,0.0000
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Paroxysmal_Tachycardia,3,0.0001
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Stage_IB_Testicular_Cancer,1,0.0000
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#XYY_Syndrome,1,0.0000
http://scai.fraunhofer.de/CSEO#CSEO_00000869,1,0.0000
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#McGill_Pain_Questionnaire,1,0.0000
http://scai.fraunhofer.de/CSEO#CSEO_00000867,1,0.0000
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Endemic_Typhus_Fever,1,0.0000
http://scai.fraunhofer.de/CSEO#CSEO_00000866,1,0.0000
http://scai.fraunhofer.de/CSEO#CSEO_00000865,3,0.0001
http://scai.fraunhofer.de/CSEO#Lymph_Node__Submaxillary,1,0.0000
http://scai.fraunhofer.de/CSEO#CSEO_00000864,4,0.0002
http://scai.fraunhofer.de/CSEO#CSEO_00000863,3,0.0001
http://scai.fraunhofer.de/CSEO#CSEO_00000862,2,0.0001
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Small_Intestinal_Wall_Tissue,5,0.0002
http://scai.fraunhofer.de/CSEO#CSEO_00000861,2,0.0001
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mediastinal_Melanocytic_Schwannoma,2,0.0001
http://scai.fraunhofer.de/CSEO#CSEO_00000860,2,0.0001
