Class,Axioms,Coverage
http://purl.jp/bio/11/csso/CSSO_000109,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000108,2,0.0066
http://purl.jp/bio/11/csso/CSSO_000229,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000226,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000105,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000225,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000104,2,0.0066
http://purl.jp/bio/11/csso/CSSO_000107,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000228,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000106,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000227,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000222,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000101,3,0.0099
http://purl.jp/bio/11/csso/CSSO_000100,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000221,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000224,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000103,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000223,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000102,3,0.0099
http://purl.jp/bio/11/csso/CSSO_000220,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000219,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000218,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000215,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000214,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000217,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000216,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000211,2,0.0066
http://purl.jp/bio/11/csso/CSSO_000210,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000213,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000212,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000208,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000207,2,0.0066
http://purl.jp/bio/11/csso/CSSO_000209,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000204,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000203,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000206,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000205,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000200,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000202,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000201,1,0.0033
http://purl.jp/bio/11/csso/CSSO_000303,1,0.0033
