Class,Axioms,Coverage
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145510,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145512,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145511,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145513,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C57008,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145516,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C57003,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145518,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C58334,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145517,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145519,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C58333,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C55292,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145501,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145500,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145502,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C55299,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145505,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145504,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C55298,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145507,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C58323,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C58324,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145506,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145509,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145508,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C55294,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145530,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145532,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C144201,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145531,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C144200,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C145534,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C144203,1,0.0002
http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl#C144202,1,0.0002
