Class,Axioms,Coverage
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_9ac2cb69_7bb7_45a8_b2c6_7056454c1e92,2,0.0005
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_d1584c8e_d5da_4b39_8bb9_1d39f330364e,2,0.0005
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_c248dd09_e1f8_4c97_8c6d_ad562760f0a4,32,0.0079
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_7d827901_d467_4467_9bd6_2bb523dff29a,6,0.0015
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_9291c88b_ed60_4e51_8960_fcf49ae1743f,2,0.0005
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_c5db3a7b_d1a0_492a_9e89_51ca9a3d7e6a,2,0.0005
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_2f556314_8bb7_4d07_b30f_af9d1d542032,2,0.0005
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_edbdfee5_c025_40a0_aeef_2da3785b4b1a,4,0.0010
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_5142c68f_a827_4c13_ab31_b0f906531a4e,6,0.0015
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_dd3dd2ab_eee6_481a_b26f_1f9fd7b389a6,2,0.0005
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_265feac0_2227_4f58_b3af_db6aa1ef2d0d,9,0.0022
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_e8f62163_c2ea_4868_bb57_ef3e2af904c3,8,0.0020
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_060af1c3_0815_4817_b5c2_122792e7ce3f,4,0.0010
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_821e0095_ee32_4988_81e4_0d1976c8b2fc,4,0.0010
http://www.semanticweb.org/ontologies/STO.owl#da3dd52_3d33_49fd_bfef_141635801b77,2,0.0005
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_6ddd5e74_1f39_4983_8b3a_4e3cccfd6503,2,0.0005
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_e5d3cbe1_e261_46ad_bd08_a5039db8116c,2,0.0005
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_8afa73f5_db48_4b5b_9dac_76a0a30ff835,6,0.0015
http://www.semanticweb.org/ontologies/STO.owl#OWLClass_8df84c1c_d5d4_497a_9b97_adc13019d250,4,0.0010
