Ontology,is ALC,Average concepts in axiom,No. Concepts,No. Axioms,50%,100%,150%,200%,50% rate,100% rate,150% rate,200% rate
ADO,TRUE,2.015,1565,2401,27,153,600,1535,1.73%,9.78%,38.34%,98.08%
ADW,TRUE,1.7171,362,628,22,128,362,362,6.08%,35.36%,100.00%,100.00%
AFO,TRUE,1.9941,1466,2035,90,372,1136,1466,6.14%,25.38%,77.49%,100.00%
AGRO,TRUE,1.962,1685,4744,150,568,1577,1685,8.90%,33.71%,93.59%,100.00%
ARO,FALSE,2,4498,8533,65,317,1188,4498,1.45%,7.05%,26.41%,100.00%
ATC,TRUE,2,6359,31986,6359,6359,6359,6359,100.00%,100.00%,100.00%,100.00%
AURA,TRUE,3.5472,27396,38380,1,68,381,1467,0.00%,0.25%,1.39%,5.35%
BAO,TRUE,2.135,722,822,16,72,212,611,2.22%,9.97%,29.36%,84.63%
BIOMO,TRUE,1.9333,15,45,2,7,15,15,13.33%,46.67%,100.00%,100.00%
BIPON,TRUE,1.8864,1746,4265,204,575,1042,1746,11.68%,32.93%,59.68%,100.00%
BIRNLEX,FALSE,2,3580,3572,167,640,1794,3580,4.66%,17.88%,50.11%,100.00%
BMT,TRUE,2,252,282,12,42,123,252,4.76%,16.67%,48.81%,100.00%
CCONT,FALSE,2,225,279,6,30,95,225,2.67%,13.33%,42.22%,100.00%
CHMO,TRUE,2.0268,2963,3444,113,460,1184,2885,3.81%,15.52%,39.96%,97.37%
CL,TRUE,2.2189,10582,35841,338,1571,3844,7734,3.19%,14.85%,36.33%,73.09%
CLO,TRUE,2.5295,44874,123779,3,7,1125,17665,0.01%,0.02%,2.51%,39.37%
COSTART,TRUE,2,1685,7009,404,1685,1685,1685,23.98%,100.00%,100.00%,100.00%
CRISP,TRUE,2,9040,161348,9040,9040,9040,9040,100.00%,100.00%,100.00%,100.00%
CSEO,TRUE,2.0005,20085,26540,614,2772,7884,20081,3.06%,13.80%,39.25%,99.98%
CSSO,FALSE,2,303,303,12,42,151,303,3.96%,13.86%,49.83%,100.00%
CTCAE,FALSE,2,4049,4048,214,611,2025,4049,5.29%,15.09%,50.01%,100.00%
CVAO,TRUE,1.9723,1712,4074,62,228,751,1712,3.62%,13.32%,43.87%,100.00%
DERMLEX,TRUE,1.501,6106,24452,595,6106,6106,6106,9.74%,100.00%,100.00%,100.00%
DMTO,TRUE,2.1376,10700,12227,256,1197,3506,9464,2.39%,11.19%,32.77%,88.45%
ECOCORE,TRUE,2.1213,2097,6610,117,442,1013,2097,5.58%,21.08%,48.31%,100.00%
EDAM,TRUE,1.9961,3421,5082,34,361,1292,3421,0.99%,10.55%,37.77%,100.00%
EFO,TRUE,2.0714,36760,73065,284,3229,10867,31652,0.77%,8.78%,29.56%,86.10%
ENVO,TRUE,2.0943,8962,14602,271,1379,3473,7659,3.02%,15.39%,38.75%,85.46%
EPILONT,TRUE,2,138,145,6,20,81,138,4.35%,14.49%,58.70%,100.00%
ERO,TRUE,1.9992,4049,4893,48,457,1916,4049,1.19%,11.29%,47.32%,100.00%
FAST-TOPICAL,TRUE,1,3,583313,1,3,3,3,33.33%,100.00%,100.00%,100.00%
FB-CV,TRUE,1.9955,2167,4223,117,418,966,2167,5.40%,19.29%,44.58%,100.00%
FMA,TRUE,2.1173,104721,296460,5581,19047,42634,87077,5.33%,18.19%,40.71%,83.15%
FOODON,TRUE,2.019,9044,9339,193,1328,4215,8885,2.13%,14.68%,46.61%,98.24%
GENEPIO,TRUE,2.1846,1826,2739,37,164,455,1375,2.03%,8.98%,24.92%,75.30%
GEXO,FALSE,2,166254,1052276,166254,166254,166254,166254,100.00%,100.00%,100.00%,100.00%
GO-PLUS,TRUE,2.1125,75058,271617,2619,11927,26198,55679,3.49%,15.89%,34.90%,74.18%
HAO,TRUE,1.4661,2444,10358,48,510,2444,2444,1.96%,20.87%,100.00%,100.00%
HCPCS,TRUE,2,127,73435,127,127,127,127,100.00%,100.00%,100.00%,100.00%
HINO,FALSE,2,36239,133290,455,6631,17280,36239,1.26%,18.30%,47.68%,100.00%
HL7,TRUE,1.9981,8929,72525,8929,8929,8929,8929,100.00%,100.00%,100.00%,100.00%
HRDO,TRUE,1.9996,13538,85030,199,1041,2954,13538,1.47%,7.69%,21.82%,100.00%
IOBC,TRUE,1.9999,126841,316869,3292,78886,126841,126841,2.60%,62.19%,100.00%,100.00%
KTAO,TRUE,2.0893,5593,10817,216,879,2164,5580,3.86%,15.72%,38.69%,99.77%
LOINC,TRUE,2,114308,4886727,114308,114308,114308,114308,100.00%,100.00%,100.00%,100.00%
MCO,TRUE,2.1093,3384,6831,198,710,1493,2824,5.85%,20.98%,44.12%,83.45%
