Class,Axioms,Coverage
http://purl.obolibrary.org/obo/OAE_0001129,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002457,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002456,1,0.0001
http://purl.obolibrary.org/obo/OAE_0001126,1,0.0001
http://purl.obolibrary.org/obo/OAE_0001127,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002459,1,0.0001
http://purl.obolibrary.org/obo/OAE_0001128,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002453,1,0.0001
http://purl.obolibrary.org/obo/OAE_0001121,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002452,1,0.0001
http://purl.obolibrary.org/obo/OAE_0001122,1,0.0001
http://www.owl-ontologies.com/OntoFood.owl#Vitamin_A,1,0.0001
http://purl.obolibrary.org/obo/OAE_0001123,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002455,1,0.0001
http://www.owl-ontologies.com/OntoFood.owl#Vitamin_B,5,0.0004
http://purl.obolibrary.org/obo/OAE_0001124,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002454,1,0.0001
http://www.owl-ontologies.com/OntoFood.owl#Vitamin_C,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002451,1,0.0001
http://purl.obolibrary.org/obo/OAE_0001120,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002450,1,0.0001
https://bioportal.bioontology.org/ontologies/DMTO.owl#DMTO_0001189,1,0.0001
https://bioportal.bioontology.org/ontologies/DMTO.owl#DMTO_0001188,1,0.0001
https://bioportal.bioontology.org/ontologies/DMTO.owl#DMTO_0001185,1,0.0001
https://bioportal.bioontology.org/ontologies/DMTO.owl#DMTO_0001184,1,0.0001
https://bioportal.bioontology.org/ontologies/DMTO.owl#DMTO_0001187,1,0.0001
https://bioportal.bioontology.org/ontologies/DMTO.owl#DMTO_0001186,1,0.0001
https://bioportal.bioontology.org/ontologies/DMTO.owl#DMTO_0001181,1,0.0001
https://bioportal.bioontology.org/ontologies/DMTO.owl#DMTO_0001180,1,0.0001
https://bioportal.bioontology.org/ontologies/DMTO.owl#DMTO_0001183,1,0.0001
https://bioportal.bioontology.org/ontologies/DMTO.owl#DMTO_0001182,1,0.0001
