Class,Axioms,Coverage
http://purl.obolibrary.org/obo/ENVO_00000191,4,0.0006
http://purl.obolibrary.org/obo/CHEBI_33822,3,0.0005
http://purl.obolibrary.org/obo/UBERON_0036215,10,0.0015
http://purl.obolibrary.org/obo/UBERON_0036217,4,0.0006
http://purl.obolibrary.org/obo/NCBITaxon_314295,2,0.0003
http://purl.obolibrary.org/obo/NCBITaxon_314293,3,0.0005
http://purl.obolibrary.org/obo/GO_0044699,3,0.0005
http://purl.obolibrary.org/obo/UBERON_0005944,9,0.0014
http://purl.obolibrary.org/obo/UBERON_0001586,5,0.0008
http://purl.obolibrary.org/obo/CHEBI_39142,3,0.0005
http://purl.obolibrary.org/obo/CHEBI_39141,6,0.0009
http://purl.obolibrary.org/obo/CHEBI_33839,3,0.0005
http://purl.obolibrary.org/obo/UBERON_0036225,4,0.0006
http://purl.obolibrary.org/obo/CHEBI_33833,3,0.0005
http://purl.obolibrary.org/obo/CHEBI_33832,4,0.0006
http://purl.obolibrary.org/obo/UBERON_0002443,4,0.0006
http://purl.obolibrary.org/obo/GO_0043393,6,0.0009
http://purl.obolibrary.org/obo/ENVO_00000176,3,0.0005
http://purl.obolibrary.org/obo/UBERON_0002458,3,0.0005
http://purl.obolibrary.org/obo/FOODON_03401270,4,0.0006
http://purl.obolibrary.org/obo/UBERON_0010083,8,0.0012
http://purl.obolibrary.org/obo/UBERON_0004638,11,0.0017
http://purl.obolibrary.org/obo/GO_0010469,7,0.0011
http://purl.obolibrary.org/obo/GO_0008150,179,0.0271
http://purl.obolibrary.org/obo/GO_0008152,16,0.0024
http://purl.obolibrary.org/obo/CHEBI_29793,3,0.0005
http://purl.obolibrary.org/obo/GO_0044237,16,0.0024
http://purl.obolibrary.org/obo/GO_0044238,4,0.0006
http://purl.obolibrary.org/obo/UBERON_0003304,7,0.0011
http://purl.obolibrary.org/obo/CHEBI_36093,3,0.0005
http://purl.obolibrary.org/obo/ENVO_01000817,6,0.0009
http://purl.obolibrary.org/obo/ENVO_01000819,3,0.0005
http://purl.obolibrary.org/obo/ENVO_01000818,4,0.0006
http://purl.obolibrary.org/obo/ENVO_01000813,16,0.0024
http://purl.obolibrary.org/obo/UBERON_0010077,2,0.0003
http://purl.obolibrary.org/obo/ENVO_01000815,10,0.0015
http://purl.obolibrary.org/obo/ENVO_01000814,11,0.0017
http://purl.obolibrary.org/obo/UBERON_0009097,3,0.0005
http://purl.obolibrary.org/obo/UBERON_0001135,23,0.0035
http://purl.obolibrary.org/obo/UBERON_0001136,5,0.0008
http://purl.obolibrary.org/obo/UBERON_0003314,7,0.0011
http://purl.obolibrary.org/obo/UBERON_0001137,11,0.0017
http://purl.obolibrary.org/obo/GO_0044262,10,0.0015
http://purl.obolibrary.org/obo/CARO_0000007,3,0.0005
http://purl.obolibrary.org/obo/GO_0044264,5,0.0008
http://purl.obolibrary.org/obo/FOODON_03301444,5,0.0008
http://purl.obolibrary.org/obo/UBERON_0003729,13,0.0020
http://purl.obolibrary.org/obo/UBERON_0005906,8,0.0012
http://purl.obolibrary.org/obo/CARO_0000003,33,0.0050
http://purl.obolibrary.org/obo/CARO_0000006,12,0.0018
http://purl.obolibrary.org/obo/UBERON_0009030,3,0.0005
http://purl.obolibrary.org/obo/ENVO_01000406,10,0.0015
http://purl.obolibrary.org/obo/GO_0044260,4,0.0006
http://purl.obolibrary.org/obo/ENVO_01000408,9,0.0014
http://purl.obolibrary.org/obo/CHEBI_27594,11,0.0017
http://purl.obolibrary.org/obo/CARO_0000000,134,0.0203
http://purl.obolibrary.org/obo/GO_1901856,4,0.0006
http://purl.obolibrary.org/obo/GO_1901857,4,0.0006
http://purl.obolibrary.org/obo/ENVO_01000875,2,0.0003
http://purl.obolibrary.org/obo/CHEBI_38251,3,0.0005
http://purl.obolibrary.org/obo/UBERON_0001558,9,0.0014
http://purl.obolibrary.org/obo/UBERON_0013522,12,0.0018
http://purl.obolibrary.org/obo/UBERON_0010498,2,0.0003
http://purl.obolibrary.org/obo/UBERON_0010499,3,0.0005
http://purl.obolibrary.org/obo/BFO_0000040,107,0.0162
