Class,Axioms,Coverage
http://edamontology.org/operation_0345,1,0.0002
http://edamontology.org/operation_0346,3,0.0006
http://edamontology.org/operation_0343,1,0.0002
http://edamontology.org/operation_0344,1,0.0002
http://edamontology.org/operation_0349,1,0.0002
http://edamontology.org/operation_0347,1,0.0002
http://edamontology.org/operation_0348,1,0.0002
http://edamontology.org/operation_0341,1,0.0002
http://edamontology.org/operation_0342,1,0.0002
http://edamontology.org/operation_0340,1,0.0002
http://edamontology.org/operation_0356,1,0.0002
http://edamontology.org/data_2308,1,0.0002
http://edamontology.org/data_2309,3,0.0006
http://edamontology.org/operation_0357,1,0.0002
http://edamontology.org/operation_0354,1,0.0002
http://edamontology.org/operation_0355,1,0.0002
http://edamontology.org/operation_0358,1,0.0002
http://edamontology.org/data_2307,1,0.0002
http://edamontology.org/operation_0359,1,0.0002
http://edamontology.org/data_2300,1,0.0002
http://edamontology.org/data_2301,1,0.0002
http://edamontology.org/data_2302,2,0.0004
http://edamontology.org/operation_0352,1,0.0002
http://edamontology.org/operation_0353,1,0.0002
http://edamontology.org/operation_0350,1,0.0002
http://edamontology.org/operation_0351,1,0.0002
http://edamontology.org/format_1370,4,0.0008
http://edamontology.org/data_2319,1,0.0002
http://edamontology.org/operation_0323,11,0.0022
http://edamontology.org/operation_0324,11,0.0022
http://edamontology.org/operation_0321,8,0.0016
http://edamontology.org/operation_0322,4,0.0008
http://edamontology.org/data_2315,2,0.0004
http://edamontology.org/operation_0327,2,0.0004
http://edamontology.org/operation_0328,1,0.0002
http://edamontology.org/data_2316,5,0.0010
http://edamontology.org/operation_0325,6,0.0012
http://edamontology.org/data_2317,1,0.0002
http://edamontology.org/data_2318,1,0.0002
http://edamontology.org/operation_0326,4,0.0008
http://edamontology.org/data_2313,2,0.0004
http://edamontology.org/data_2314,3,0.0006
http://edamontology.org/operation_0320,6,0.0012
http://edamontology.org/format_3100,1,0.0002
http://edamontology.org/operation_0318,1,0.0002
http://edamontology.org/operation_0319,3,0.0006
http://edamontology.org/operation_2997,8,0.0016
http://edamontology.org/operation_0334,3,0.0006
http://edamontology.org/operation_0335,1,0.0002
http://edamontology.org/operation_2996,3,0.0006
http://edamontology.org/operation_0332,1,0.0002
http://edamontology.org/operation_2995,4,0.0008
http://edamontology.org/operation_0333,1,0.0002
http://edamontology.org/operation_0338,5,0.0010
http://edamontology.org/data_2326,2,0.0004
http://edamontology.org/data_2327,1,0.0002
http://edamontology.org/operation_0339,4,0.0008
http://edamontology.org/operation_0336,1,0.0002
http://edamontology.org/operation_2998,4,0.0008
http://edamontology.org/operation_0337,23,0.0045
http://edamontology.org/data_2325,2,0.0004
http://edamontology.org/operation_2993,1,0.0002
http://edamontology.org/operation_0330,1,0.0002
http://edamontology.org/operation_0331,3,0.0006
http://edamontology.org/data_2320,1,0.0002
http://edamontology.org/data_2321,7,0.0014
http://edamontology.org/operation_2990,4,0.0008
http://edamontology.org/format_1391,3,0.0006
http://edamontology.org/format_1392,2,0.0004
http://edamontology.org/format_1393,2,0.0004
http://edamontology.org/operation_0329,1,0.0002
http://edamontology.org/data_1009,6,0.0012
http://edamontology.org/operation_0389,4,0.0008
http://edamontology.org/data_1008,2,0.0004
http://edamontology.org/data_1007,2,0.0004
http://edamontology.org/operation_0387,1,0.0002
http://edamontology.org/data_1006,4,0.0008
http://edamontology.org/operation_0388,1,0.0002
http://edamontology.org/data_3668,2,0.0004
http://edamontology.org/data_2337,9,0.0018
http://edamontology.org/data_3669,2,0.0004
http://edamontology.org/data_2338,3,0.0006
http://edamontology.org/data_2339,2,0.0004
http://edamontology.org/data_1001,1,0.0002
http://edamontology.org/data_1000,1,0.0002
http://edamontology.org/data_2335,1,0.0002
http://edamontology.org/operation_0380,2,0.0004
http://edamontology.org/data_3667,4,0.0008
http://edamontology.org/data_2336,1,0.0002
http://edamontology.org/operation_0385,1,0.0002
http://edamontology.org/data_1005,1,0.0002
http://edamontology.org/operation_0386,2,0.0004
http://edamontology.org/data_1004,2,0.0004
http://edamontology.org/data_1003,2,0.0004
http://edamontology.org/operation_0383,1,0.0002
http://edamontology.org/operation_0384,2,0.0004
http://edamontology.org/data_1002,3,0.0006
http://edamontology.org/format_1341,4,0.0008
http://edamontology.org/format_1342,1,0.0002
http://edamontology.org/format_1343,1,0.0002
http://edamontology.org/format_1349,2,0.0004
http://edamontology.org/data_1019,1,0.0002
http://edamontology.org/data_1018,1,0.0002
http://edamontology.org/operation_0398,4,0.0008
http://edamontology.org/data_1017,3,0.0006
http://edamontology.org/operation_0399,2,0.0004
http://edamontology.org/data_2348,1,0.0002
http://edamontology.org/data_2349,1,0.0002
http://edamontology.org/operation_3429,17,0.0033
http://edamontology.org/data_1012,3,0.0006
http://edamontology.org/operation_0392,2,0.0004
http://edamontology.org/data_2344,2,0.0004
http://edamontology.org/data_1011,2,0.0004
http://edamontology.org/data_2345,3,0.0006
http://edamontology.org/operation_0393,2,0.0004
http://edamontology.org/data_1010,3,0.0006
http://edamontology.org/data_2346,5,0.0010
http://edamontology.org/operation_0390,1,0.0002
http://edamontology.org/data_2347,1,0.0002
http://edamontology.org/operation_0391,3,0.0006
http://edamontology.org/operation_0396,2,0.0004
http://edamontology.org/data_1016,5,0.0010
http://edamontology.org/data_2340,1,0.0002
http://edamontology.org/data_3671,5,0.0010
http://edamontology.org/operation_0397,1,0.0002
http://edamontology.org/data_1015,2,0.0004
http://edamontology.org/data_2342,1,0.0002
http://edamontology.org/data_1014,1,0.0002
http://edamontology.org/operation_0394,2,0.0004
http://edamontology.org/data_1013,1,0.0002
http://edamontology.org/operation_0395,1,0.0002
http://edamontology.org/data_2343,3,0.0006
