Class,Axioms,Coverage
http://purl.obolibrary.org/obo/GO_0046883,3,0.0000
http://purl.obolibrary.org/obo/UBERON_0002436,2,0.0000
http://www.orpha.net/ORDO/Orphanet_309178,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0002439,1,0.0000
http://www.ebi.ac.uk/efo/EFO_1000224,3,0.0000
http://www.ebi.ac.uk/efo/EFO_1000225,5,0.0001
http://www.ebi.ac.uk/efo/EFO_1000222,4,0.0001
http://www.ebi.ac.uk/efo/EFO_1000223,5,0.0001
http://www.ebi.ac.uk/efo/EFO_1000220,6,0.0001
http://www.ebi.ac.uk/efo/EFO_1000221,5,0.0001
http://www.orpha.net/ORDO/Orphanet_397709,4,0.0001
http://www.ebi.ac.uk/efo/EFO_1000228,4,0.0001
http://www.ebi.ac.uk/efo/EFO_1000229,3,0.0000
http://www.ebi.ac.uk/efo/EFO_1000226,2,0.0000
http://www.ebi.ac.uk/efo/EFO_1000227,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0002432,2,0.0000
http://purl.obolibrary.org/obo/GO_0046878,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0002433,2,0.0000
http://purl.obolibrary.org/obo/GO_0046877,3,0.0000
http://purl.obolibrary.org/obo/UBERON_0002434,2,0.0000
http://purl.obolibrary.org/obo/GO_0044217,3,0.0000
http://purl.obolibrary.org/obo/GO_0046879,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0002430,1,0.0000
http://www.orpha.net/ORDO/Orphanet_309185,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0002447,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0002448,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0014410,1,0.0000
http://www.ebi.ac.uk/efo/EFO_1000235,2,0.0000
http://www.orpha.net/ORDO/Orphanet_397715,2,0.0000
http://www.ebi.ac.uk/efo/EFO_1000236,4,0.0001
http://www.ebi.ac.uk/efo/EFO_1000233,4,0.0001
http://www.ebi.ac.uk/efo/EFO_1000234,4,0.0001
http://www.ebi.ac.uk/efo/EFO_1000231,5,0.0001
http://www.ebi.ac.uk/efo/EFO_1000232,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0014411,1,0.0000
