Class,Axioms,Coverage
http://purl.obolibrary.org/obo/ENVO_00000198,2,0.0001
http://purl.obolibrary.org/obo/ENVO_00000199,5,0.0003
http://purl.obolibrary.org/obo/ENVO_00000196,3,0.0002
http://purl.obolibrary.org/obo/ENVO_00000197,2,0.0001
http://purl.obolibrary.org/obo/ENVO_00000194,8,0.0005
http://purl.obolibrary.org/obo/UBERON_0002437,2,0.0001
http://purl.obolibrary.org/obo/ENVO_00000195,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000192,3,0.0002
http://purl.obolibrary.org/obo/ENVO_00000193,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000190,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000191,35,0.0024
http://purl.obolibrary.org/obo/NCBITaxon_314295,2,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_314293,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0015757,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0002435,1,0.0001
http://purl.obolibrary.org/obo/FOODON_00001626,2,0.0001
http://purl.obolibrary.org/obo/ENVO_00000189,2,0.0001
http://purl.obolibrary.org/obo/ENVO_00000187,3,0.0002
http://purl.obolibrary.org/obo/ENVO_00000188,2,0.0001
http://purl.obolibrary.org/obo/ENVO_00000185,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000186,3,0.0002
http://purl.obolibrary.org/obo/CHEBI_38295,3,0.0002
http://purl.obolibrary.org/obo/ENVO_00000183,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000184,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001118,3,0.0002
http://purl.obolibrary.org/obo/ENVO_00000181,3,0.0002
http://purl.obolibrary.org/obo/ENVO_00000182,6,0.0004
http://purl.obolibrary.org/obo/ENVO_00000180,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_147537,2,0.0001
http://purl.obolibrary.org/obo/FOODON_00001632,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0002443,2,0.0001
http://purl.obolibrary.org/obo/FOODON_00001635,20,0.0014
http://purl.obolibrary.org/obo/FOODON_00001633,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0002446,3,0.0002
http://purl.obolibrary.org/obo/ENVO_00000178,3,0.0002
http://purl.obolibrary.org/obo/ENVO_00000179,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000176,27,0.0018
http://purl.obolibrary.org/obo/ENVO_00000177,6,0.0004
http://purl.obolibrary.org/obo/CHEBI_38263,2,0.0001
http://purl.obolibrary.org/obo/ENVO_00000174,2,0.0001
http://purl.obolibrary.org/obo/ENVO_00000175,14,0.0010
http://purl.obolibrary.org/obo/ENVO_00000172,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000173,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000170,6,0.0004
http://purl.obolibrary.org/obo/ENVO_00000171,2,0.0001
http://purl.obolibrary.org/obo/FOODON_00001640,2,0.0001
http://purl.obolibrary.org/obo/GO_0044237,7,0.0005
http://purl.obolibrary.org/obo/UBERON_0002456,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0002457,2,0.0001
http://purl.obolibrary.org/obo/ENVO_00000169,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0002450,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0002451,5,0.0003
http://purl.obolibrary.org/obo/ENVO_00000167,5,0.0003
http://purl.obolibrary.org/obo/ENVO_00000168,2,0.0001
http://purl.obolibrary.org/obo/ENVO_00000165,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000166,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000163,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000164,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000161,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0002469,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000162,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000160,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0015766,3,0.0002
http://purl.obolibrary.org/obo/FOODON_00001654,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0002465,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001134,7,0.0005
http://purl.obolibrary.org/obo/UBERON_0001135,27,0.0018
http://purl.obolibrary.org/obo/UBERON_0001136,4,0.0003
http://purl.obolibrary.org/obo/UBERON_0001137,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000158,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001130,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000159,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001132,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000156,3,0.0002
http://purl.obolibrary.org/obo/UBERON_0001133,5,0.0003
http://purl.obolibrary.org/obo/UBERON_0002464,3,0.0002
http://purl.obolibrary.org/obo/ENVO_00000157,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0003729,4,0.0003
http://purl.obolibrary.org/obo/CARO_0000003,1,0.0001
http://purl.obolibrary.org/obo/CARO_0000006,4,0.0003
http://purl.obolibrary.org/obo/ENVO_2000046,3,0.0002
http://purl.obolibrary.org/obo/CHEBI_27594,28,0.0019
http://purl.obolibrary.org/obo/UBERON_0015716,2,0.0001
http://purl.obolibrary.org/obo/ENVO_2000040,3,0.0002
http://purl.obolibrary.org/obo/ENVO_2000041,3,0.0002
http://purl.obolibrary.org/obo/ENVO_2000042,3,0.0002
http://purl.obolibrary.org/obo/ENVO_2000043,3,0.0002
http://purl.obolibrary.org/obo/ENVO_2000044,1,0.0001
http://purl.obolibrary.org/obo/ENVO_2000045,13,0.0009
http://purl.obolibrary.org/obo/UBERON_0002407,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0002408,1,0.0001
http://purl.obolibrary.org/obo/CHEBI_38252,2,0.0001
http://purl.obolibrary.org/obo/CHEBI_38251,3,0.0002
http://purl.obolibrary.org/obo/UBERON_0002405,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_466552,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0002406,2,0.0001
http://purl.obolibrary.org/obo/BFO_0000038,1,0.0001
http://purl.obolibrary.org/obo/ENVO_2000035,3,0.0002
http://purl.obolibrary.org/obo/ENVO_2000037,5,0.0003
http://purl.obolibrary.org/obo/ENVO_2000038,4,0.0003
http://purl.obolibrary.org/obo/BFO_0000040,37,0.0025
http://purl.obolibrary.org/obo/ENVO_2000039,3,0.0002
http://purl.obolibrary.org/obo/GO_0044249,3,0.0002
http://purl.obolibrary.org/obo/UBERON_0002400,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0002401,2,0.0001
http://purl.obolibrary.org/obo/ENVO_2000030,5,0.0003
http://purl.obolibrary.org/obo/UBERON_0002402,1,0.0001
http://purl.obolibrary.org/obo/ENVO_2000031,1,0.0001
http://purl.obolibrary.org/obo/ENVO_2000032,4,0.0003
http://purl.obolibrary.org/obo/ENVO_2000033,3,0.0002
http://purl.obolibrary.org/obo/ENVO_2000034,3,0.0002
http://purl.obolibrary.org/obo/UBERON_0002418,7,0.0005
http://purl.obolibrary.org/obo/UBERON_0002419,6,0.0004
http://purl.obolibrary.org/obo/UBERON_0002416,3,0.0002
http://purl.obolibrary.org/obo/UBERON_0002417,2,0.0001
http://purl.obolibrary.org/obo/CHEBI_38222,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0014403,1,0.0001
http://purl.obolibrary.org/obo/GO_0044281,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0014402,4,0.0003
http://purl.obolibrary.org/obo/UBERON_0014401,7,0.0005
http://purl.obolibrary.org/obo/UBERON_0014404,1,0.0001
http://purl.obolibrary.org/obo/CHEBI_27573,4,0.0003
http://purl.obolibrary.org/obo/UBERON_0002410,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0002412,3,0.0002
http://purl.obolibrary.org/obo/NCBITaxon_78536,2,0.0001
http://purl.obolibrary.org/obo/FOODON_00001605,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0002429,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0002425,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0002426,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0002427,4,0.0003
http://purl.obolibrary.org/obo/UBERON_0002428,7,0.0005
http://purl.obolibrary.org/obo/FOODON_00001610,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0002421,2,0.0001
http://purl.obolibrary.org/obo/FOODON_00001613,5,0.0003
http://purl.obolibrary.org/obo/UBERON_0002422,2,0.0001
http://purl.obolibrary.org/obo/FOODON_00001611,4,0.0003
http://purl.obolibrary.org/obo/UBERON_0002423,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0002424,5,0.0003
http://purl.obolibrary.org/obo/UBERON_0002420,2,0.0001
http://purl.obolibrary.org/obo/OBI_0000450,1,0.0001
http://purl.obolibrary.org/obo/FOODON_03411454,1,0.0001
http://purl.obolibrary.org/obo/FOODON_03411452,5,0.0003
http://purl.obolibrary.org/obo/CHEBI_38201,2,0.0001
http://purl.obolibrary.org/obo/OBI_0000458,1,0.0001
http://purl.obolibrary.org/obo/OBI_0000457,1,0.0001
http://purl.obolibrary.org/obo/OBI_0000456,2,0.0001
http://purl.obolibrary.org/obo/PATO_0000125,5,0.0003
http://purl.obolibrary.org/obo/PATO_0001456,12,0.0008
http://purl.obolibrary.org/obo/CHEBI_38206,2,0.0001
http://purl.obolibrary.org/obo/PATO_0001454,3,0.0002
http://purl.obolibrary.org/obo/FOODON_03411457,2,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_2836,2,0.0001
http://purl.obolibrary.org/obo/PATO_0001455,3,0.0002
http://purl.obolibrary.org/obo/NCBITaxon_71000,1,0.0001
http://purl.obolibrary.org/obo/PATO_0000133,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0009916,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0009918,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0009919,1,0.0001
http://purl.obolibrary.org/obo/PATO_0000136,3,0.0002
http://purl.obolibrary.org/obo/CHEBI_27560,3,0.0002
http://purl.obolibrary.org/obo/UBERON_0001193,1,0.0001
http://purl.obolibrary.org/obo/PATO_0001475,4,0.0003
http://purl.obolibrary.org/obo/PATO_0001472,2,0.0001
http://purl.obolibrary.org/obo/PATO_0000141,15,0.0010
http://purl.obolibrary.org/obo/UBERON_0009911,5,0.0003
http://purl.obolibrary.org/obo/UBERON_0009912,5,0.0003
http://purl.obolibrary.org/obo/UBERON_0009913,1,0.0001
http://purl.obolibrary.org/obo/CHEBI_27563,4,0.0003
http://purl.obolibrary.org/obo/PATO_0000140,40,0.0027
http://purl.obolibrary.org/obo/UBERON_0001190,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0009914,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001191,2,0.0001
http://purl.obolibrary.org/obo/FOODON_03309761,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001199,6,0.0004
http://purl.obolibrary.org/obo/UBERON_0013192,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0013191,2,0.0001
http://purl.obolibrary.org/obo/FOODON_03411471,1,0.0001
http://purl.obolibrary.org/obo/PATO_0001432,1,0.0001
http://purl.obolibrary.org/obo/PATO_0001442,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0009920,2,0.0001
http://purl.obolibrary.org/obo/CHEBI_28868,4,0.0003
http://purl.obolibrary.org/obo/PATO_0001447,1,0.0001
http://purl.obolibrary.org/obo/PATO_0000117,7,0.0005
http://purl.obolibrary.org/obo/PATO_0001444,4,0.0003
http://purl.obolibrary.org/obo/PATO_0000122,5,0.0003
http://purl.obolibrary.org/obo/UBERON_0010912,14,0.0010
http://purl.obolibrary.org/obo/UBERON_0010913,4,0.0003
http://purl.obolibrary.org/obo/NCBITaxon_1316646,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0010911,4,0.0003
http://purl.obolibrary.org/obo/CHEBI_26214,2,0.0001
http://purl.obolibrary.org/obo/CHEBI_26216,1,0.0001
http://purl.obolibrary.org/obo/CHEBI_27547,3,0.0002
http://purl.obolibrary.org/obo/UBERON_0015790,5,0.0003
http://purl.obolibrary.org/obo/UBERON_0015791,3,0.0002
http://purl.obolibrary.org/obo/CHEBI_28838,4,0.0003
http://purl.obolibrary.org/obo/PATO_0000169,3,0.0002
http://purl.obolibrary.org/obo/UBERON_0015796,3,0.0002
http://purl.obolibrary.org/obo/UBERON_0002470,3,0.0002
http://purl.obolibrary.org/obo/CHEBI_3311,5,0.0003
http://purl.obolibrary.org/obo/UBERON_0002471,3,0.0002
http://purl.obolibrary.org/obo/UBERON_0013139,4,0.0003
http://purl.obolibrary.org/obo/UBERON_0001140,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0002472,3,0.0002
http://purl.obolibrary.org/obo/NCBITaxon_2864,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0015787,3,0.0002
http://purl.obolibrary.org/obo/UBERON_0013121,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0015788,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0014452,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0015789,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0015783,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0013126,7,0.0005
http://purl.obolibrary.org/obo/UBERON_0014455,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0002481,3,0.0002
http://purl.obolibrary.org/obo/PATO_0000186,3,0.0002
http://purl.obolibrary.org/obo/FOODON_03310784,3,0.0002
http://purl.obolibrary.org/obo/UBERON_0001156,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001157,1,0.0001
http://purl.obolibrary.org/obo/FOODON_03310788,8,0.0005
http://purl.obolibrary.org/obo/UBERON_0001158,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001159,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001152,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001153,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001154,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0002485,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0001155,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0013150,4,0.0003
http://purl.obolibrary.org/obo/UBERON_0013158,1,0.0001
http://purl.obolibrary.org/obo/PATO_0001476,4,0.0003
http://purl.obolibrary.org/obo/PATO_0000146,11,0.0008
http://purl.obolibrary.org/obo/PATO_0001485,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0001160,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001162,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0002493,4,0.0003
http://purl.obolibrary.org/obo/PATO_0001481,3,0.0002
http://purl.obolibrary.org/obo/UBERON_0001167,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001168,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0002499,3,0.0002
http://purl.obolibrary.org/obo/UBERON_0001169,1,0.0001
http://purl.obolibrary.org/obo/FOODON_03307130,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0002495,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0001165,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001166,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0013140,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0013149,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0014477,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001170,6,0.0004
http://purl.obolibrary.org/obo/PATO_0000165,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0001172,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0001173,2,0.0001
http://purl.obolibrary.org/obo/PATO_0000161,5,0.0003
http://purl.obolibrary.org/obo/UBERON_0001178,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001179,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001174,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01000049,2,0.0001
http://purl.obolibrary.org/obo/ENVO_01000045,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01001377,2,0.0001
http://purl.obolibrary.org/obo/ENVO_01000046,3,0.0002
http://purl.obolibrary.org/obo/ENVO_01001376,4,0.0003
http://purl.obolibrary.org/obo/ENVO_01001379,6,0.0004
http://purl.obolibrary.org/obo/ENVO_01000047,5,0.0003
http://purl.obolibrary.org/obo/ENVO_01000048,2,0.0001
http://purl.obolibrary.org/obo/ENVO_01001378,6,0.0004
http://purl.obolibrary.org/obo/UBERON_0019319,7,0.0005
http://purl.obolibrary.org/obo/UBERON_0034953,2,0.0001
http://purl.obolibrary.org/obo/ENVO_01000052,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01001384,3,0.0002
http://purl.obolibrary.org/obo/ENVO_01000053,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01001383,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0007329,3,0.0002
http://purl.obolibrary.org/obo/ENVO_01000054,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01001386,9,0.0006
http://purl.obolibrary.org/obo/ENVO_01000055,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01001385,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01001380,2,0.0001
http://purl.obolibrary.org/obo/ENVO_01000050,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0007324,2,0.0001
http://purl.obolibrary.org/obo/ENVO_01001382,5,0.0003
http://purl.obolibrary.org/obo/ENVO_01001381,4,0.0003
http://purl.obolibrary.org/obo/ENVO_01000051,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01000038,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01000039,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01001369,5,0.0003
http://purl.obolibrary.org/obo/ENVO_01000034,2,0.0001
http://purl.obolibrary.org/obo/ENVO_01001366,7,0.0005
http://purl.obolibrary.org/obo/ENVO_01000035,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01001365,3,0.0002
http://purl.obolibrary.org/obo/FOODON_03302287,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01000036,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01001368,6,0.0004
http://purl.obolibrary.org/obo/ENVO_01001367,6,0.0004
http://purl.obolibrary.org/obo/ENVO_01000037,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0019306,7,0.0005
http://purl.obolibrary.org/obo/UBERON_0019307,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0019304,5,0.0003
http://purl.obolibrary.org/obo/FOODON_03400842,2,0.0001
http://purl.obolibrary.org/obo/FOODON_03400845,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0034969,9,0.0006
http://purl.obolibrary.org/obo/ENVO_01001373,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01000041,2,0.0001
http://purl.obolibrary.org/obo/ENVO_01000042,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01001372,5,0.0003
http://purl.obolibrary.org/obo/ENVO_01001375,3,0.0002
http://purl.obolibrary.org/obo/ENVO_01000043,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01001374,2,0.0001
http://purl.obolibrary.org/obo/UBERON_0006008,3,0.0002
http://purl.obolibrary.org/obo/ENVO_01000044,17,0.0012
http://purl.obolibrary.org/obo/FOODON_03302290,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0006003,3,0.0002
http://purl.obolibrary.org/obo/FOODON_03400840,2,0.0001
http://purl.obolibrary.org/obo/ENVO_01001371,3,0.0002
http://purl.obolibrary.org/obo/ENVO_01000040,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0006004,2,0.0001
http://purl.obolibrary.org/obo/ENVO_01001370,6,0.0004
http://purl.obolibrary.org/obo/ENVO_01001359,3,0.0002
http://purl.obolibrary.org/obo/ENVO_01000027,7,0.0005
http://purl.obolibrary.org/obo/FOODON_03302279,1,0.0001
http://purl.obolibrary.org/obo/ENVO_01001358,2,0.0001
http://purl.obolibrary.org/obo/ENVO_01000028,7,0.0005
http://purl.obolibrary.org/obo/ENVO_01000029,4,0.0003
http://purl.obolibrary.org/obo/ENVO_01001355,3,0.0002
