Class,Axioms,Coverage
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Other_types_defined_by_location_and_etiology_1,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Neocortical_epilepsies,4,0.0276
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Startle_epilepsy,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Clonic_Seizure_with_Tonic_Features,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Reflex_seizures,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Reflex_Seizure_(in_focal_epilepsy_syndromes),1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Massive_Bilateral_Myoclonus,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Autosomal_dominant_nocturnal_frontal_lobe_epilepsy,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Focal_Sensory_Seizure,3,0.0207
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Other_types_defined_by_location_and_etiology_2,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Absence_Status_Epilepticus,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Mesial_temporal_lobe_epilepsy_defined_by_specific_etiologies,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Epileptologist,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Focal_Sensory_Seizure_With_Experiential_Sensory_Symptoms,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Focal_Motor_Seizure_With_Hyperkinetic_Automatisms,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Myoclonic_Seizure,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Rarely_repeated_seizures_(oligo-epilepsy),1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Landau-Kleffner_syndrome,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Cerebral_Palsy,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Epilepsy_with_myoclonic-astatic_seizures,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Early_myoclonic_encephalopathy,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Early_onset_benign_childhood_occipital_epilepsy_(Panayiotopoulos_type),1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Ketogenic_Diet,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Other_visual_sensitive_epilepsies,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Benign_childhood_epilepsy_with_centrotemporal_spikes,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Single-photon_Emission_Computed_Tomography_,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Syncope,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Aura_Continua,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Immediate_and_early_post_traumatic_seizures,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Single_seizures_or_isolated_clusters_of_seizures,1,0.0069
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Seizures_Not_Necessarily_Requiring_a_Diagnosis_of_Epilepsy,9,0.0621
http://www.semanticweb.org/ontologies/2009/3/EpilepsyOntology.owl#Sharp_Wave,1,0.0069
