Class,Axioms,Coverage
http://purl.obolibrary.org/obo/NCBITaxon_5943,1,0.0002
http://purl.obolibrary.org/obo/ERO_0002184,1,0.0002
http://purl.obolibrary.org/obo/ERO_0002183,4,0.0008
http://purl.obolibrary.org/obo/ERO_0002182,1,0.0002
http://purl.obolibrary.org/obo/NCBITaxon_5940,1,0.0002
http://purl.obolibrary.org/obo/NCBITaxon_4615,1,0.0002
http://www.ebi.ac.uk/swo/data/SWO_3000085,1,0.0002
http://purl.obolibrary.org/obo/NCBITaxon_314295,1,0.0002
http://www.ebi.ac.uk/swo/data/SWO_3000084,1,0.0002
http://purl.obolibrary.org/obo/NCBITaxon_314293,1,0.0002
http://www.ebi.ac.uk/swo/data/SWO_3000082,1,0.0002
http://www.ebi.ac.uk/swo/data/SWO_3000081,1,0.0002
http://www.ebi.ac.uk/swo/data/SWO_3000080,1,0.0002
http://purl.obolibrary.org/obo/IAO_0000013,2,0.0004
http://purl.obolibrary.org/obo/ERO_0002188,2,0.0004
http://purl.obolibrary.org/obo/NCBITaxon_368926,1,0.0002
http://purl.obolibrary.org/obo/ERO_0002187,2,0.0004
http://purl.obolibrary.org/obo/ERO_0002186,1,0.0002
http://purl.obolibrary.org/obo/ERO_0002185,1,0.0002
http://purl.obolibrary.org/obo/ERO_0002190,9,0.0018
http://purl.obolibrary.org/obo/NCBITaxon_43868,2,0.0004
http://purl.obolibrary.org/obo/IAO_0000007,2,0.0004
http://purl.obolibrary.org/obo/NCBITaxon_5935,2,0.0004
http://purl.obolibrary.org/obo/NCBITaxon_62123,1,0.0002
http://purl.obolibrary.org/obo/IAO_0000009,2,0.0004
http://purl.obolibrary.org/obo/IAO_0000003,2,0.0004
http://purl.obolibrary.org/obo/IAO_0000005,6,0.0012
http://www.ebi.ac.uk/swo/data/SWO_3000079,1,0.0002
http://www.ebi.ac.uk/swo/data/SWO_3000078,1,0.0002
http://www.ebi.ac.uk/swo/data/SWO_3000077,1,0.0002
http://purl.obolibrary.org/obo/NCBITaxon_49188,3,0.0006
http://purl.obolibrary.org/obo/NCBITaxon_30511,1,0.0002
http://purl.obolibrary.org/obo/ERO_0002166,2,0.0004
