Class,Axioms,Coverage
http://purl.obolibrary.org/obo/CHEBI_16015,12,0.0028
http://purl.obolibrary.org/obo/CHEBI_33822,6,0.0014
http://purl.obolibrary.org/obo/CHEBI_29337,6,0.0014
http://purl.obolibrary.org/obo/CHEBI_39142,3,0.0007
http://purl.obolibrary.org/obo/CHEBI_39141,6,0.0014
http://purl.obolibrary.org/obo/CHEBI_39144,3,0.0007
http://purl.obolibrary.org/obo/CHEBI_16482,9,0.0021
http://purl.obolibrary.org/obo/CHEBI_33839,2,0.0005
http://purl.obolibrary.org/obo/CHEBI_85046,2,0.0005
http://purl.obolibrary.org/obo/CHEBI_33838,6,0.0014
http://purl.obolibrary.org/obo/CHEBI_32505,5,0.0012
http://purl.obolibrary.org/obo/CHEBI_33836,5,0.0012
http://purl.obolibrary.org/obo/CHEBI_32988,2,0.0005
http://purl.obolibrary.org/obo/CHEBI_32504,6,0.0014
http://purl.obolibrary.org/obo/CHEBI_33833,7,0.0017
http://purl.obolibrary.org/obo/CHEBI_33832,8,0.0019
http://purl.obolibrary.org/obo/CHEBI_33842,3,0.0007
http://purl.obolibrary.org/obo/CHEBI_29340,4,0.0009
http://purl.obolibrary.org/obo/CHEBI_29347,2,0.0005
http://purl.obolibrary.org/obo/CHEBI_32955,6,0.0014
http://purl.obolibrary.org/obo/GO_0008150,2,0.0005
http://purl.obolibrary.org/obo/CHEBI_27134,3,0.0007
http://purl.obolibrary.org/obo/FBcv_0000399,2,0.0005
http://purl.obolibrary.org/obo/FBcv_0000395,2,0.0005
http://purl.obolibrary.org/obo/FBcv_0000396,2,0.0005
http://purl.obolibrary.org/obo/FBcv_0000397,1,0.0002
http://purl.obolibrary.org/obo/FBcv_0000398,1,0.0002
http://purl.obolibrary.org/obo/FBcv_0000391,1,0.0002
http://purl.obolibrary.org/obo/FBcv_0000392,1,0.0002
http://purl.obolibrary.org/obo/CHEBI_36094,4,0.0009
http://purl.obolibrary.org/obo/FBcv_0000393,1,0.0002
http://purl.obolibrary.org/obo/FBcv_0000394,2,0.0005
http://purl.obolibrary.org/obo/FBcv_0000390,1,0.0002
http://purl.obolibrary.org/obo/CHEBI_17359,5,0.0012
http://purl.obolibrary.org/obo/FBcv_0000388,1,0.0002
http://purl.obolibrary.org/obo/FBcv_0000389,2,0.0005
http://purl.obolibrary.org/obo/FBcv_0000384,3,0.0007
