Class,Axioms,Coverage
http://purl.obolibrary.org/obo/NCBITaxon_291096,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_42528,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_42529,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_42526,1,0.0001
http://purl.obolibrary.org/obo/FOODON_03304916,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_43851,1,0.0001
http://purl.obolibrary.org/obo/ENVO_00000191,1,0.0001
http://purl.obolibrary.org/obo/FOODON_00002950,1,0.0001
http://purl.obolibrary.org/obo/FOODON_00002955,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_30532,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_43861,2,0.0002
http://purl.obolibrary.org/obo/FOODON_03304905,1,0.0001
http://purl.obolibrary.org/obo/FOODON_03304903,1,0.0001
http://purl.obolibrary.org/obo/FOODON_00002967,1,0.0001
http://purl.obolibrary.org/obo/FOODON_03307189,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_30521,1,0.0001
http://purl.obolibrary.org/obo/FOODON_00002965,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_30520,1,0.0001
http://purl.obolibrary.org/obo/FOODON_03307186,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_109273,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_41210,1,0.0001
http://purl.obolibrary.org/obo/FOODON_00002972,1,0.0001
http://purl.obolibrary.org/obo/FOODON_00001640,2,0.0002
http://purl.obolibrary.org/obo/FOODON_00001641,2,0.0002
http://purl.obolibrary.org/obo/FOODON_00002971,1,0.0001
http://purl.obolibrary.org/obo/FOODON_00002976,1,0.0001
http://purl.obolibrary.org/obo/FOODON_03307175,1,0.0001
http://purl.obolibrary.org/obo/FOODON_00002979,2,0.0002
http://purl.obolibrary.org/obo/NCBITaxon_173849,1,0.0001
http://purl.obolibrary.org/obo/FOODON_03307159,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_2889,1,0.0001
http://purl.obolibrary.org/obo/FOODON_00002980,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_30501,1,0.0001
http://purl.obolibrary.org/obo/FOODON_00002983,1,0.0001
http://purl.obolibrary.org/obo/FOODON_00002982,1,0.0001
http://purl.obolibrary.org/obo/FOODON_03307168,1,0.0001
http://purl.obolibrary.org/obo/FOODON_00002988,1,0.0001
http://purl.obolibrary.org/obo/FOODON_03307163,1,0.0001
