Class,Axioms,Coverage
http://purl.obolibrary.org/obo/GAZ_00003194,1,0.0004
http://purl.obolibrary.org/obo/GAZ_00004040,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001900,1,0.0004
http://purl.obolibrary.org/obo/GAZ_00003198,1,0.0004
http://purl.obolibrary.org/obo/GAZ_00003199,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001904,1,0.0004
http://purl.obolibrary.org/obo/ENVO_00000191,2,0.0007
http://purl.obolibrary.org/obo/CHEBI_87211,1,0.0004
http://purl.obolibrary.org/obo/GAZ_00003192,1,0.0004
http://purl.obolibrary.org/obo/PATO_0002390,1,0.0004
http://purl.obolibrary.org/obo/NCIT_C41275,4,0.0015
http://purl.obolibrary.org/obo/NCIT_C41277,3,0.0011
http://purl.obolibrary.org/obo/CHEBI_17334,1,0.0004
http://purl.obolibrary.org/obo/GAZ_00004031,1,0.0004
http://purl.obolibrary.org/obo/OBI_0000066,2,0.0007
http://purl.obolibrary.org/obo/IAO_0000005,1,0.0004
http://purl.obolibrary.org/obo/CHEBI_75246,1,0.0004
http://purl.obolibrary.org/obo/GAZ_00009715,1,0.0004
http://purl.obolibrary.org/obo/GAZ_00004026,1,0.0004
http://purl.obolibrary.org/obo/GAZ_00004028,1,0.0004
http://purl.obolibrary.org/obo/NCIT_C114551,1,0.0004
http://purl.obolibrary.org/obo/OBI_0000070,3,0.0011
http://purl.obolibrary.org/obo/OMIT_0012122,1,0.0004
http://purl.obolibrary.org/obo/OBI_0000079,3,0.0011
http://purl.obolibrary.org/obo/CHEBI_87230,1,0.0004
http://purl.obolibrary.org/obo/GO_0008150,3,0.0011
http://purl.obolibrary.org/obo/APOLLO_SV_00000281,1,0.0004
http://purl.obolibrary.org/obo/CHEBI_87228,1,0.0004
http://purl.obolibrary.org/obo/NCIT_C77683,1,0.0004
http://purl.obolibrary.org/obo/CHEBI_9997,1,0.0004
http://purl.obolibrary.org/obo/APOLLO_SV_00000280,1,0.0004
http://purl.obolibrary.org/obo/GAZ_00005382,1,0.0004
http://semanticscience.org/resource/SIO_000729,3,0.0011
http://purl.obolibrary.org/obo/CHEBI_487869,1,0.0004
http://purl.obolibrary.org/obo/SO_0001260,1,0.0004
http://purl.obolibrary.org/obo/APOLLO_SV_00000291,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001941,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001942,1,0.0004
http://purl.obolibrary.org/obo/GAZ_00004480,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001943,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001944,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001945,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001946,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001947,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001948,1,0.0004
http://purl.obolibrary.org/obo/APOLLO_SV_00000267,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001940,26,0.0095
http://purl.obolibrary.org/obo/GENEPIO_0001938,1,0.0004
http://purl.obolibrary.org/obo/GAZ_00004477,1,0.0004
http://purl.obolibrary.org/obo/GAZ_00008835,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001939,6,0.0022
http://purl.obolibrary.org/obo/GAZ_00007508,1,0.0004
http://purl.obolibrary.org/obo/GAZ_00007509,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001930,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001931,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001932,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001933,1,0.0004
http://purl.obolibrary.org/obo/GENEPIO_0001934,3,0.0011
http://purl.obolibrary.org/obo/GENEPIO_0001935,1,0.0004
