Class,Axioms,Coverage
http://purl.obolibrary.org/obo/GO_0019262,7,0.0000
http://purl.obolibrary.org/obo/GO_0019263,6,0.0000
http://purl.obolibrary.org/obo/GO_0044220,1,0.0000
http://purl.obolibrary.org/obo/GO_0019264,4,0.0000
http://purl.obolibrary.org/obo/GO_0019265,3,0.0000
http://purl.obolibrary.org/obo/GO_0044221,3,0.0000
http://purl.obolibrary.org/obo/GO_0019266,5,0.0000
http://purl.obolibrary.org/obo/GO_0044222,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0002437,7,0.0000
http://purl.obolibrary.org/obo/GO_0044223,4,0.0000
http://purl.obolibrary.org/obo/GO_0019267,4,0.0000
http://purl.obolibrary.org/obo/GO_0044224,5,0.0000
http://purl.obolibrary.org/obo/GO_0044225,2,0.0000
http://purl.obolibrary.org/obo/GO_0034898,1,0.0000
http://purl.obolibrary.org/obo/GO_0034899,1,0.0000
http://purl.obolibrary.org/obo/GO_0044216,3,0.0000
http://purl.obolibrary.org/obo/GO_0044217,4,0.0000
http://purl.obolibrary.org/obo/GO_0044218,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0002435,11,0.0000
http://purl.obolibrary.org/obo/GO_0044219,1,0.0000
http://purl.obolibrary.org/obo/GO_0019260,4,0.0000
http://purl.obolibrary.org/obo/GO_0019261,6,0.0000
http://purl.obolibrary.org/obo/GO_0019273,4,0.0000
http://purl.obolibrary.org/obo/GO_0044210,1,0.0000
http://purl.obolibrary.org/obo/GO_0019276,7,0.0000
http://purl.obolibrary.org/obo/GO_0044211,4,0.0000
http://purl.obolibrary.org/obo/GO_0019277,5,0.0000
http://purl.obolibrary.org/obo/GO_0019278,5,0.0000
http://purl.obolibrary.org/obo/UBERON_0002448,7,0.0000
http://purl.obolibrary.org/obo/GO_0044212,21,0.0001
http://purl.obolibrary.org/obo/GO_0044213,2,0.0000
http://purl.obolibrary.org/obo/GO_0019279,9,0.0000
http://purl.obolibrary.org/obo/GO_0044214,3,0.0000
http://purl.obolibrary.org/obo/GO_0034889,1,0.0000
http://purl.obolibrary.org/obo/GO_0034888,1,0.0000
http://purl.obolibrary.org/obo/GO_0034892,1,0.0000
http://purl.obolibrary.org/obo/GO_0034893,1,0.0000
http://purl.obolibrary.org/obo/GO_0034890,1,0.0000
http://purl.obolibrary.org/obo/GO_0034891,1,0.0000
http://purl.obolibrary.org/obo/GO_0034896,1,0.0000
http://purl.obolibrary.org/obo/GO_0034897,1,0.0000
http://purl.obolibrary.org/obo/GO_0034894,1,0.0000
http://purl.obolibrary.org/obo/GO_0034895,1,0.0000
http://purl.obolibrary.org/obo/GO_0044204,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0002443,4,0.0000
http://purl.obolibrary.org/obo/GO_0044205,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0002444,6,0.0000
