Class,Axioms,Coverage
http://purl.obolibrary.org/obo/HAO_0000808,3,0.0003
http://purl.obolibrary.org/obo/HAO_0000809,5,0.0005
http://purl.obolibrary.org/obo/HAO_0000800,10,0.0010
http://purl.obolibrary.org/obo/HAO_0000801,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000803,3,0.0003
http://purl.obolibrary.org/obo/HAO_0000804,25,0.0024
http://purl.obolibrary.org/obo/HAO_0000805,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000806,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000807,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000819,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000811,17,0.0016
http://purl.obolibrary.org/obo/HAO_0000812,1,0.0001
http://purl.obolibrary.org/obo/HAO_0000813,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000814,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000815,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000816,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000817,3,0.0003
http://purl.obolibrary.org/obo/HAO_0000818,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000810,5,0.0005
http://purl.obolibrary.org/obo/HAO_0000822,37,0.0036
http://purl.obolibrary.org/obo/HAO_0000823,4,0.0004
http://purl.obolibrary.org/obo/HAO_0000824,3,0.0003
http://purl.obolibrary.org/obo/HAO_0000825,22,0.0021
http://purl.obolibrary.org/obo/HAO_0000826,8,0.0008
http://purl.obolibrary.org/obo/HAO_0000827,6,0.0006
http://purl.obolibrary.org/obo/HAO_0000828,18,0.0017
http://purl.obolibrary.org/obo/HAO_0000829,45,0.0043
http://purl.obolibrary.org/obo/HAO_0000820,17,0.0016
http://purl.obolibrary.org/obo/HAO_0000821,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000833,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000834,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000836,4,0.0004
http://purl.obolibrary.org/obo/HAO_0000837,9,0.0009
http://purl.obolibrary.org/obo/HAO_0000838,4,0.0004
http://purl.obolibrary.org/obo/HAO_0000839,1,0.0001
http://purl.obolibrary.org/obo/HAO_0000830,3,0.0003
http://purl.obolibrary.org/obo/HAO_0000832,9,0.0009
http://purl.obolibrary.org/obo/HAO_0002190,5,0.0005
http://purl.obolibrary.org/obo/HAO_0002191,1,0.0001
http://purl.obolibrary.org/obo/HAO_0002189,3,0.0003
http://purl.obolibrary.org/obo/HAO_0002181,6,0.0006
http://purl.obolibrary.org/obo/HAO_0002182,1,0.0001
http://purl.obolibrary.org/obo/HAO_0002183,2,0.0002
http://purl.obolibrary.org/obo/HAO_0002184,2,0.0002
http://purl.obolibrary.org/obo/HAO_0002185,3,0.0003
http://purl.obolibrary.org/obo/HAO_0002187,3,0.0003
http://purl.obolibrary.org/obo/HAO_0002188,4,0.0004
http://purl.obolibrary.org/obo/HAO_0002192,2,0.0002
http://purl.obolibrary.org/obo/HAO_0002193,1,0.0001
http://purl.obolibrary.org/obo/HAO_0002194,3,0.0003
http://purl.obolibrary.org/obo/HAO_0002195,4,0.0004
http://purl.obolibrary.org/obo/HAO_0002196,3,0.0003
http://purl.obolibrary.org/obo/HAO_0002197,2,0.0002
http://purl.obolibrary.org/obo/HAO_0002198,3,0.0003
http://purl.obolibrary.org/obo/HAO_0002199,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000409,8,0.0008
http://purl.obolibrary.org/obo/HAO_0000408,3,0.0003
http://purl.obolibrary.org/obo/HAO_0000407,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000406,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000405,1,0.0001
http://purl.obolibrary.org/obo/HAO_0000404,2,0.0002
http://purl.obolibrary.org/obo/HAO_0001735,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000888,1,0.0001
http://purl.obolibrary.org/obo/HAO_0000889,6,0.0006
http://purl.obolibrary.org/obo/HAO_0001736,3,0.0003
http://purl.obolibrary.org/obo/HAO_0001737,3,0.0003
http://purl.obolibrary.org/obo/HAO_0001738,15,0.0014
http://purl.obolibrary.org/obo/HAO_0001739,4,0.0004
http://purl.obolibrary.org/obo/HAO_0000880,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000881,5,0.0005
http://purl.obolibrary.org/obo/HAO_0000882,5,0.0005
http://purl.obolibrary.org/obo/HAO_0001730,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000883,12,0.0012
http://purl.obolibrary.org/obo/HAO_0001731,2,0.0002
http://purl.obolibrary.org/obo/HAO_0001732,3,0.0003
http://purl.obolibrary.org/obo/HAO_0000885,1,0.0001
http://purl.obolibrary.org/obo/HAO_0000886,1,0.0001
http://purl.obolibrary.org/obo/HAO_0001733,3,0.0003
http://purl.obolibrary.org/obo/HAO_0001734,4,0.0004
http://purl.obolibrary.org/obo/HAO_0000887,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000403,3,0.0003
http://purl.obolibrary.org/obo/HAO_0000402,5,0.0005
http://purl.obolibrary.org/obo/HAO_0000400,4,0.0004
http://purl.obolibrary.org/obo/HAO_0000419,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000418,15,0.0014
http://purl.obolibrary.org/obo/HAO_0000417,23,0.0022
http://purl.obolibrary.org/obo/HAO_0000416,3,0.0003
http://purl.obolibrary.org/obo/HAO_0001746,22,0.0021
http://purl.obolibrary.org/obo/HAO_0000899,42,0.0041
http://purl.obolibrary.org/obo/HAO_0001747,3,0.0003
http://purl.obolibrary.org/obo/HAO_0001748,5,0.0005
http://purl.obolibrary.org/obo/HAO_0001749,3,0.0003
http://purl.obolibrary.org/obo/HAO_0000891,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000892,1,0.0001
http://purl.obolibrary.org/obo/HAO_0001740,1,0.0001
http://purl.obolibrary.org/obo/HAO_0000893,2,0.0002
http://purl.obolibrary.org/obo/HAO_0001741,4,0.0004
http://purl.obolibrary.org/obo/HAO_0000894,1,0.0001
http://purl.obolibrary.org/obo/HAO_0000895,3,0.0003
http://purl.obolibrary.org/obo/HAO_0001742,9,0.0009
http://purl.obolibrary.org/obo/HAO_0000896,3,0.0003
http://purl.obolibrary.org/obo/HAO_0001743,8,0.0008
http://purl.obolibrary.org/obo/HAO_0001744,6,0.0006
http://purl.obolibrary.org/obo/HAO_0000897,3,0.0003
http://purl.obolibrary.org/obo/HAO_0000898,2,0.0002
http://purl.obolibrary.org/obo/HAO_0001745,4,0.0004
http://purl.obolibrary.org/obo/HAO_0000414,3,0.0003
http://purl.obolibrary.org/obo/HAO_0000413,5,0.0005
http://purl.obolibrary.org/obo/HAO_0000412,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000411,6,0.0006
http://purl.obolibrary.org/obo/HAO_0000410,8,0.0008
http://purl.obolibrary.org/obo/HAO_0000890,1,0.0001
http://purl.obolibrary.org/obo/HAO_0000429,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000428,3,0.0003
http://purl.obolibrary.org/obo/HAO_0000427,7,0.0007
http://purl.obolibrary.org/obo/HAO_0000426,1,0.0001
http://purl.obolibrary.org/obo/HAO_0001757,6,0.0006
http://purl.obolibrary.org/obo/HAO_0001758,24,0.0023
http://purl.obolibrary.org/obo/HAO_0001759,2,0.0002
http://purl.obolibrary.org/obo/HAO_0001750,3,0.0003
http://purl.obolibrary.org/obo/HAO_0001751,19,0.0018
http://purl.obolibrary.org/obo/HAO_0001752,13,0.0013
http://purl.obolibrary.org/obo/HAO_0001753,3,0.0003
http://purl.obolibrary.org/obo/HAO_0001754,2,0.0002
http://purl.obolibrary.org/obo/HAO_0001755,2,0.0002
http://purl.obolibrary.org/obo/HAO_0001756,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000425,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000422,6,0.0006
http://purl.obolibrary.org/obo/HAO_0000421,28,0.0027
http://purl.obolibrary.org/obo/HAO_0000420,1,0.0001
http://purl.obolibrary.org/obo/HAO_0000439,2,0.0002
http://purl.obolibrary.org/obo/HAO_0000438,2,0.0002
