Class,Axioms,Coverage
http://purl.obolibrary.org/obo/HINO_0004890,5,0.0000
http://purl.obolibrary.org/obo/HINO_0014217,4,0.0000
http://purl.obolibrary.org/obo/HINO_0014216,3,0.0000
http://purl.obolibrary.org/obo/HINO_0014219,4,0.0000
http://purl.obolibrary.org/obo/HINO_0016878,4,0.0000
http://purl.obolibrary.org/obo/HINO_0014218,3,0.0000
http://purl.obolibrary.org/obo/HINO_0016879,4,0.0000
http://purl.obolibrary.org/obo/HINO_0014213,4,0.0000
http://purl.obolibrary.org/obo/HINO_0016876,4,0.0000
http://purl.obolibrary.org/obo/HINO_0014212,4,0.0000
http://purl.obolibrary.org/obo/HINO_0016877,4,0.0000
http://purl.obolibrary.org/obo/HINO_0016874,4,0.0000
http://purl.obolibrary.org/obo/HINO_0014215,4,0.0000
http://purl.obolibrary.org/obo/HINO_0016875,4,0.0000
http://purl.obolibrary.org/obo/HINO_0014214,3,0.0000
http://purl.obolibrary.org/obo/HINO_0016872,4,0.0000
http://purl.obolibrary.org/obo/HINO_0016873,4,0.0000
http://purl.obolibrary.org/obo/HINO_0014211,3,0.0000
http://purl.obolibrary.org/obo/HINO_0016870,4,0.0000
http://purl.obolibrary.org/obo/HINO_0016871,4,0.0000
http://purl.obolibrary.org/obo/HINO_0014210,4,0.0000
http://purl.obolibrary.org/obo/HINO_0002239,7,0.0001
http://purl.obolibrary.org/obo/HINO_0026206,6,0.0000
http://purl.obolibrary.org/obo/HINO_0026207,12,0.0001
http://purl.obolibrary.org/obo/UniProt_Q9BXW9,7,0.0001
http://purl.obolibrary.org/obo/HINO_0002237,6,0.0000
http://purl.obolibrary.org/obo/HINO_0026208,8,0.0001
http://purl.obolibrary.org/obo/HINO_0002238,6,0.0000
http://purl.obolibrary.org/obo/HINO_0004899,3,0.0000
http://purl.obolibrary.org/obo/HINO_0026209,8,0.0001
http://purl.obolibrary.org/obo/HINO_0002235,15,0.0001
http://purl.obolibrary.org/obo/HINO_0026202,7,0.0001
http://purl.obolibrary.org/obo/HINO_0004898,7,0.0001
http://purl.obolibrary.org/obo/HINO_0002236,6,0.0000
http://purl.obolibrary.org/obo/HINO_0026203,8,0.0001
http://purl.obolibrary.org/obo/HINO_0004897,7,0.0001
http://purl.obolibrary.org/obo/UniProt_Q9BXW6,2,0.0000
http://purl.obolibrary.org/obo/HINO_0026204,4,0.0000
