Class,Axioms,Coverage
http://purl.bioontology.org/ontology/HL7/C3245512,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3245511,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3245514,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3245513,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3245516,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3245515,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3714764,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3245517,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3714763,1,0.0000
http://purl.bioontology.org/ontology/HL7/C2960476,5,0.0001
http://purl.bioontology.org/ontology/HL7/C3245521,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3244201,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3244200,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0447416,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1707909,4,0.0001
http://purl.bioontology.org/ontology/HL7/C0447418,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1696729,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1696723,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1696722,1,0.0000
http://purl.bioontology.org/ontology/HL7/C2148557,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555101,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555100,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0587720,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555103,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555102,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0007294,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555105,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555104,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1608199,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555107,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555106,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3245501,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3245500,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3245503,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3245502,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3245505,4,0.0001
http://purl.bioontology.org/ontology/HL7/C3245504,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0587702,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3245506,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3245509,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3245508,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0814677,2,0.0000
http://purl.bioontology.org/ontology/HL7/C3245510,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555119,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521214,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521215,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521216,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3853788,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0002422,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555121,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555120,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555123,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555122,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555125,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555124,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555127,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555126,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555129,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555128,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555109,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555108,3,0.0000
http://purl.bioontology.org/ontology/HL7/C4521203,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521204,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521205,2,0.0000
http://purl.bioontology.org/ontology/HL7/C3853789,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521206,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521207,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521208,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521209,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3853793,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521210,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3853798,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1707981,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521211,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521212,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3853797,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555110,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521213,1,0.0000
http://purl.bioontology.org/ontology/HL7/C3853796,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555112,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555111,8,0.0001
http://purl.bioontology.org/ontology/HL7/C1555114,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555113,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555116,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555115,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555118,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555117,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0876920,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555141,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555140,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0310756,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555143,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555142,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555145,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555144,2,0.0000
http://purl.bioontology.org/ontology/HL7/C1555147,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555146,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555149,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555148,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0461725,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555130,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555132,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555131,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555134,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555133,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555136,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555135,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555138,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555137,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1555139,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1551598,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1551597,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1551596,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0332173,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0332174,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1551595,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1551594,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0231472,2,0.0000
http://purl.bioontology.org/ontology/HL7/C0062083,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1551593,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1551592,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1551591,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0332170,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1551590,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0332177,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1515945,3,0.0000
http://purl.bioontology.org/ontology/HL7/C0008569,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0008565,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0008562,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1551589,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1551588,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0022879,3,0.0000
http://purl.bioontology.org/ontology/HL7/C0022878,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0022877,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0008555,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0008556,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0008551,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0008550,1,0.0000
http://purl.bioontology.org/ontology/HL7/C1551599,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0205163,3,0.0000
http://purl.bioontology.org/ontology/HL7/C2347752,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0034870,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0034869,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0034866,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521200,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521201,1,0.0000
http://purl.bioontology.org/ontology/HL7/C4521202,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0205160,2,0.0000
http://purl.bioontology.org/ontology/HL7/C0205177,1,0.0000
http://purl.bioontology.org/ontology/HL7/C2697811,3,0.0000
http://purl.bioontology.org/ontology/HL7/C3241990,1,0.0000
http://purl.bioontology.org/ontology/HL7/C0229118,1,0.0000
