Class,Axioms,Coverage
http://www.limics.org/hrdo/rdfns#pat_id_14288,8,0.0001
http://www.limics.org/hrdo/rdfns#pat_id_14283,1,0.0000
http://www.limics.org/hrdo/rdfns#sgn_id_29360,6,0.0001
http://www.limics.org/hrdo/rdfns#pat_id_854,24,0.0003
http://www.limics.org/hrdo/rdfns#pat_id_853,36,0.0004
http://www.limics.org/hrdo/rdfns#pat_id_852,17,0.0002
http://www.limics.org/hrdo/rdfns#pat_id_851,5,0.0001
http://www.limics.org/hrdo/rdfns#pat_id_850,7,0.0001
http://www.limics.org/hrdo/rdfns#pat_id_849,4,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_848,5,0.0001
http://www.limics.org/hrdo/rdfns#pat_id_846,9,0.0001
http://www.limics.org/hrdo/rdfns#sgn_id_42330,41,0.0005
http://www.limics.org/hrdo/rdfns#sgn_id_41000,16,0.0002
http://www.limics.org/hrdo/rdfns#sgn_id_55660,1,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_14298,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_14295,1,0.0000
http://www.limics.org/hrdo/rdfns#sgn_id_53000,19,0.0002
http://www.limics.org/hrdo/rdfns#pat_id_14296,1,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_845,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_844,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_842,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_841,13,0.0002
http://www.limics.org/hrdo/rdfns#pat_id_840,3,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_839,43,0.0005
http://www.limics.org/hrdo/rdfns#pat_id_838,4,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_837,3,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_836,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_14291,7,0.0001
http://www.limics.org/hrdo/rdfns#sgn_id_16060,190,0.0022
http://www.limics.org/hrdo/rdfns#pat_id_14267,1,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_14261,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_834,6,0.0001
http://www.limics.org/hrdo/rdfns#sgn_id_42360,4,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_833,2,0.0000
http://www.limics.org/hrdo/rdfns#sgn_id_41030,33,0.0004
http://www.limics.org/hrdo/rdfns#pat_id_831,3,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_830,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_829,3,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_828,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_827,5,0.0001
http://www.limics.org/hrdo/rdfns#pat_id_825,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_824,84,0.0010
http://www.limics.org/hrdo/rdfns#pat_id_14277,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_14279,5,0.0001
http://www.limics.org/hrdo/rdfns#sgn_id_55640,1,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_14274,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_823,27,0.0003
http://www.limics.org/hrdo/rdfns#pat_id_822,4,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_820,24,0.0003
http://www.limics.org/hrdo/rdfns#pat_id_819,11,0.0001
http://www.limics.org/hrdo/rdfns#pat_id_818,9,0.0001
http://www.limics.org/hrdo/rdfns#pat_id_817,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_816,4,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_815,45,0.0005
http://www.limics.org/hrdo/rdfns#pat_id_813,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_14245,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_812,42,0.0005
http://www.limics.org/hrdo/rdfns#pat_id_810,4,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_809,4,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_808,13,0.0002
http://www.limics.org/hrdo/rdfns#pat_id_807,3,0.0000
http://www.limics.org/hrdo/rdfns#sgn_id_43620,90,0.0011
http://www.limics.org/hrdo/rdfns#pat_id_806,46,0.0005
http://www.limics.org/hrdo/rdfns#pat_id_805,14,0.0002
http://www.limics.org/hrdo/rdfns#pat_id_804,9,0.0001
http://www.limics.org/hrdo/rdfns#pat_id_803,3,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_802,8,0.0001
http://www.limics.org/hrdo/rdfns#sgn_id_28000,29,0.0003
http://www.limics.org/hrdo/rdfns#sgn_id_55620,8,0.0001
http://www.limics.org/hrdo/rdfns#sgn_id_43610,5,0.0001
http://www.limics.org/hrdo/rdfns#pat_id_14221,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_16884,3,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_14222,2,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_16883,48,0.0006
http://www.limics.org/hrdo/rdfns#pat_id_14223,1,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_16886,34,0.0004
http://www.limics.org/hrdo/rdfns#pat_id_14224,1,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_16885,3,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_16880,3,0.0000
http://www.limics.org/hrdo/rdfns#sgn_id_30330,3,0.0000
http://www.limics.org/hrdo/rdfns#pat_id_16882,8,0.0001
http://www.limics.org/hrdo/rdfns#pat_id_16881,3,0.0000
