Class,Axioms,Coverage
http://purl.obolibrary.org/obo/OGG_3000008029,1,0.0001
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000007920,4,0.0004
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000007921,4,0.0004
http://purl.obolibrary.org/obo/NCIT_C44782,1,0.0001
http://purl.obolibrary.org/obo/GO_0071840,2,0.0002
http://purl.obolibrary.org/obo/NCIT_C44783,1,0.0001
http://purl.obolibrary.org/obo/NCIT_C68751,1,0.0001
http://purl.obolibrary.org/obo/NCIT_C44780,1,0.0001
http://purl.obolibrary.org/obo/NCIT_C44781,1,0.0001
http://purl.obolibrary.org/obo/CL_0000723,5,0.0005
http://purl.obolibrary.org/obo/GO_0050900,9,0.0008
http://purl.obolibrary.org/obo/UBERON_0035368,2,0.0002
http://purl.obolibrary.org/obo/NCBITaxon_314295,2,0.0002
http://purl.obolibrary.org/obo/IAO_0000017,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_314293,4,0.0004
http://purl.obolibrary.org/obo/UBERON_0015757,2,0.0002
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000002225,4,0.0004
http://purl.obolibrary.org/obo/NCIT_C44786,1,0.0001
http://purl.obolibrary.org/obo/NCIT_C44787,1,0.0001
http://purl.obolibrary.org/obo/NCIT_C44784,1,0.0001
http://purl.obolibrary.org/obo/CHEBI_29337,6,0.0006
http://purl.obolibrary.org/obo/NCIT_C44785,1,0.0001
http://purl.obolibrary.org/obo/NCIT_C44788,1,0.0001
http://purl.obolibrary.org/obo/NCIT_C44789,1,0.0001
http://purl.obolibrary.org/obo/CHEBI_17334,1,0.0001
http://purl.obolibrary.org/obo/NCIT_C44771,1,0.0001
http://purl.obolibrary.org/obo/NCIT_C44772,1,0.0001
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000007912,3,0.0003
http://purl.obolibrary.org/obo/NCIT_C44770,1,0.0001
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000007914,3,0.0003
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000007915,2,0.0002
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000011175,2,0.0002
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000011174,3,0.0003
http://purl.obolibrary.org/obo/CL_0000731,4,0.0004
http://purl.obolibrary.org/obo/IAO_0000007,2,0.0002
http://purl.obolibrary.org/obo/CL_0000738,15,0.0014
http://purl.obolibrary.org/obo/CHEBI_32988,4,0.0004
http://purl.obolibrary.org/obo/IAO_0000009,2,0.0002
http://purl.obolibrary.org/obo/IAO_0000003,3,0.0003
http://purl.obolibrary.org/obo/IAO_0000005,12,0.0011
http://purl.obolibrary.org/obo/CHEBI_29340,4,0.0004
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000011180,2,0.0002
http://purl.obolibrary.org/obo/NCIT_C44775,1,0.0001
http://purl.obolibrary.org/obo/NCIT_C44776,1,0.0001
http://purl.obolibrary.org/obo/OGG_3000002735,1,0.0001
http://purl.obolibrary.org/obo/NCIT_C44773,1,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_infraclass,1,0.0001
http://purl.obolibrary.org/obo/NCIT_C44774,1,0.0001
http://purl.obolibrary.org/obo/NCIT_C44779,1,0.0001
http://purl.obolibrary.org/obo/OMRSE_00000103,1,0.0001
