Class,Axioms,Coverage
http://purl.obolibrary.org/obo/CHEBI_64571,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_64570,2,0.0003
http://purl.obolibrary.org/obo/CHEBI_84189,4,0.0006
http://purl.obolibrary.org/obo/CHEBI_51256,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_87211,4,0.0006
http://purl.obolibrary.org/obo/MCO_0000410,1,0.0001
http://purl.obolibrary.org/obo/MCO_0000411,1,0.0001
http://purl.obolibrary.org/obo/CHEBI_16016,6,0.0009
http://purl.obolibrary.org/obo/CHEBI_17348,3,0.0004
http://purl.obolibrary.org/obo/MCO_0000414,1,0.0001
http://purl.obolibrary.org/obo/MCO_0000415,1,0.0001
http://purl.obolibrary.org/obo/MCO_0000412,1,0.0001
http://purl.obolibrary.org/obo/MCO_0000413,1,0.0001
http://purl.obolibrary.org/obo/MCO_0000418,1,0.0001
http://purl.obolibrary.org/obo/MCO_0000419,2,0.0003
http://purl.obolibrary.org/obo/MCO_0000416,1,0.0001
http://purl.obolibrary.org/obo/MCO_0000417,1,0.0001
http://purl.obolibrary.org/obo/CHEBI_29337,6,0.0009
http://purl.obolibrary.org/obo/CHEBI_237958,5,0.0007
http://purl.obolibrary.org/obo/CHEBI_327995,6,0.0009
http://purl.obolibrary.org/obo/CHEBI_16002,6,0.0009
http://purl.obolibrary.org/obo/CHEBI_22702,4,0.0006
http://purl.obolibrary.org/obo/CHEBI_38295,4,0.0006
http://purl.obolibrary.org/obo/CHEBI_17334,8,0.0012
http://purl.obolibrary.org/obo/CHEBI_38297,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_51245,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_16004,6,0.0009
http://purl.obolibrary.org/obo/MCO_0000400,2,0.0003
http://purl.obolibrary.org/obo/CHEBI_32988,5,0.0007
http://purl.obolibrary.org/obo/MCO_0000403,1,0.0001
http://purl.obolibrary.org/obo/MCO_0000404,1,0.0001
http://purl.obolibrary.org/obo/MCO_0000401,2,0.0003
http://purl.obolibrary.org/obo/CHEBI_29340,4,0.0006
http://purl.obolibrary.org/obo/MCO_0000402,1,0.0001
http://purl.obolibrary.org/obo/MCO_0000407,1,0.0001
http://purl.obolibrary.org/obo/MCO_0000408,2,0.0003
http://purl.obolibrary.org/obo/MCO_0000405,1,0.0001
http://purl.obolibrary.org/obo/MCO_0000406,1,0.0001
http://purl.obolibrary.org/obo/CHEBI_64558,5,0.0007
http://purl.obolibrary.org/obo/MCO_0000409,2,0.0003
http://purl.obolibrary.org/obo/CHEBI_29347,5,0.0007
http://purl.obolibrary.org/obo/CHEBI_38290,7,0.0010
http://purl.obolibrary.org/obo/CHEBI_38261,2,0.0003
http://purl.obolibrary.org/obo/CHEBI_38260,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_38263,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_64554,5,0.0007
http://purl.obolibrary.org/obo/CHEBI_38264,3,0.0004
http://purl.obolibrary.org/obo/MCO_0000432,1,0.0001
http://purl.obolibrary.org/obo/CHEBI_17368,5,0.0007
http://purl.obolibrary.org/obo/CHEBI_32954,3,0.0004
