Class,Axioms,Coverage
http://purl.bioontology.org/ontology/MEDLINEPLUS/C3526553,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0752347,1,0.0000
http://purl.bioontology.org/ontology/STY/T071,2,0.0000
http://purl.bioontology.org/ontology/STY/T070,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0041004,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0282488,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0345904,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0020542,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0033860,1,0.0000
http://purl.bioontology.org/ontology/STY/T069,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0020538,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0028263,2,0.0000
http://purl.bioontology.org/ontology/STY/T062,2,0.0000
http://purl.bioontology.org/ontology/STY/T061,1,0.0000
http://purl.bioontology.org/ontology/STY/T064,1,0.0000
http://purl.bioontology.org/ontology/STY/T063,1,0.0000
http://purl.bioontology.org/ontology/STY/T066,1,0.0000
http://purl.bioontology.org/ontology/STY/T065,1,0.0000
http://purl.bioontology.org/ontology/STY/T068,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0034951,1,0.0000
http://purl.bioontology.org/ontology/STY/T067,4,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0032533,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0017382,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0020550,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0019562,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0023821,2,0.0000
http://purl.bioontology.org/ontology/STY/T080,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0023823,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0016053,1,0.0000
http://purl.bioontology.org/ontology/STY/T082,5,0.0000
http://purl.bioontology.org/ontology/STY/T081,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0023826,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0751003,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0376634,3,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0041234,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0022735,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0021400,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0201472,3,0.0000
http://purl.bioontology.org/ontology/STY/T073,4,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C2362528,2,0.0000
http://purl.bioontology.org/ontology/STY/T072,5,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C2362527,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0030106,1,0.0000
http://purl.bioontology.org/ontology/STY/T075,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0162800,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C2362526,2,0.0000
http://purl.bioontology.org/ontology/STY/T074,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0086143,22,0.0002
http://purl.bioontology.org/ontology/STY/T077,10,0.0001
http://purl.bioontology.org/ontology/STY/T079,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0598901,2,0.0000
http://purl.bioontology.org/ontology/STY/T078,6,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C2362322,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C2362326,6,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C2362324,3,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0018482,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0007789,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0011849,24,0.0002
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0011848,3,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0007787,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0007302,1,0.0000
http://purl.bioontology.org/ontology/STY/T048,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0004030,1,0.0000
http://purl.bioontology.org/ontology/STY/T047,3,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0011854,4,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0042109,3,0.0000
http://purl.bioontology.org/ontology/STY/T049,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0029132,1,0.0000
http://purl.bioontology.org/ontology/STY/T040,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0085284,3,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0036916,6,0.0000
http://purl.bioontology.org/ontology/STY/T042,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C2362317,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C1313983,2,0.0000
http://purl.bioontology.org/ontology/STY/T041,1,0.0000
http://purl.bioontology.org/ontology/STY/T044,2,0.0000
http://purl.bioontology.org/ontology/STY/T043,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C3849993,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0034734,2,0.0000
http://purl.bioontology.org/ontology/STY/T046,4,0.0000
http://purl.bioontology.org/ontology/STY/T045,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0019342,4,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0751265,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0017160,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0005119,2,0.0000
http://purl.bioontology.org/ontology/STY/T060,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0042345,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0003175,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0006444,1,0.0000
http://purl.bioontology.org/ontology/STY/T059,1,0.0000
http://purl.bioontology.org/ontology/STY/T058,4,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0032782,2,0.0000
http://purl.bioontology.org/ontology/STY/T051,2,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0085273,3,0.0000
http://purl.bioontology.org/ontology/STY/T050,1,0.0000
http://purl.bioontology.org/ontology/STY/T053,3,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0017168,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C2362548,1,0.0000
http://purl.bioontology.org/ontology/STY/T052,5,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0019345,2,0.0000
http://purl.bioontology.org/ontology/STY/T055,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0031212,1,0.0000
http://purl.bioontology.org/ontology/STY/T054,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0019104,1,0.0000
http://purl.bioontology.org/ontology/STY/T057,5,0.0000
http://purl.bioontology.org/ontology/STY/T056,1,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0019348,5,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0011860,3,0.0000
http://purl.bioontology.org/ontology/MEDLINEPLUS/C0237236,3,0.0000
