Class,Axioms,Coverage
http://purl.obolibrary.org/obo/MOP_0000709,1,0.0003
http://purl.obolibrary.org/obo/MOP_0000701,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000702,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000703,2,0.0005
http://purl.obolibrary.org/obo/MOP_0000704,2,0.0005
http://purl.obolibrary.org/obo/MOP_0000705,1,0.0003
http://purl.obolibrary.org/obo/MOP_0000706,1,0.0003
http://purl.obolibrary.org/obo/MOP_0000707,7,0.0018
http://purl.obolibrary.org/obo/MOP_0000708,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000700,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000712,2,0.0005
http://purl.obolibrary.org/obo/MOP_0000713,1,0.0003
http://purl.obolibrary.org/obo/MOP_0000710,1,0.0003
http://purl.obolibrary.org/obo/MOP_0000711,3,0.0008
http://purl.obolibrary.org/obo/MOP_0004294,1,0.0003
http://purl.obolibrary.org/obo/MOP_0004293,1,0.0003
http://purl.obolibrary.org/obo/MOP_0004296,1,0.0003
http://purl.obolibrary.org/obo/MOP_0004295,1,0.0003
http://purl.obolibrary.org/obo/MOP_0004298,1,0.0003
http://purl.obolibrary.org/obo/MOP_0004297,1,0.0003
http://purl.obolibrary.org/obo/MOP_0004299,1,0.0003
http://purl.obolibrary.org/obo/MOP_0004290,1,0.0003
http://purl.obolibrary.org/obo/CHEBI_32955,3,0.0008
http://purl.obolibrary.org/obo/MOP_0004292,1,0.0003
http://purl.obolibrary.org/obo/MOP_0004291,1,0.0003
http://purl.obolibrary.org/obo/MOP_0000745,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000746,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000747,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000748,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000749,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000740,4,0.0010
http://purl.obolibrary.org/obo/MOP_0000741,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000742,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000743,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000744,3,0.0008
http://purl.obolibrary.org/obo/CHEBI_40574,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000756,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000757,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000758,3,0.0008
http://purl.obolibrary.org/obo/MOP_0000759,3,0.0008
