Class,Axioms,Coverage
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#EME_Centre_and_School,4,0.0191
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#vijyanta,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Location,11,0.0526
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Military_Farms,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Ghatak_Force,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Central_Armed_police_Forces,5,0.0239
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Terrorist_Attack,4,0.0191
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Medium4By4_Truck,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Long_Range_Solid_State_Active_Phased_Array_RADAR,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#FieldArtillery,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Maritime_Patrol_Airborne_Radar_XV,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Branches,3,0.0144
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Corpus_Of_ElectronicsAndMechanical,5,0.0239
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Army_Service_Corps,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Marine_Commandos_(MARCOS),1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Infantry,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#TANK,6,0.0287
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Battle_Field_Surveillance_Radar,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Indian_Navy,6,0.0287
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#3D_Medium_Range_Surveillance_Radar_Rohini,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Design_and_Development_of_Weapon_Systems,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#MilitaryEngineeringServices,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Non-TechnicalBranches,5,0.0239
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Army_Pioneer_Corps,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Fast_attack_Vehicle,2,0.0096
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#CorpsOfSignal,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#InfantryWeapons,5,0.0239
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Regiments,4,0.0191
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Submarines,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#T-72,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#CorpsOfArmyAirDefence,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Mil_Res_Ontology,7,0.0335
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Modernisation,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Artillery_Regiments,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Network_Centric_War_Fare,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Army_Dental_Corps,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Ashok_Chakra,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Army_Medical_Corps,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#LightUtilityVehicles,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Indian_Doppler_Radar_(INDRA-I),1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Exercises,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Defence_Security_Corps,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Armoured_Regiments,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#CorpusOfArmy,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Equipments_Trials,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Services,17,0.0813
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#T-90,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Other_Rank_Courses,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Indian_Airforce,4,0.0191
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#RemountAndVetenary_Corps,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Defect_Reports_&_Modifications,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Flight_Level_Radar_for_Air_Force_(RAJENDRA),1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Army_Education_Corps,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#IED_explosion,2,0.0096
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Artillery,3,0.0144
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#ParaMilitary_Forces,4,0.0191
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Bombay_Sappers,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Windy-505,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Equipments,4,0.0191
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Madras_Sappers,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Workshops,12,0.0574
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#3D_Tactical_Control_Radar_(3D_TCR),1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Low_level_Light_Weight_3D_Radar_(ASLESHA),1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Heavy6By6_Truck,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Technical_Branches,5,0.0239
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Awards,4,0.0191
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Artillery_Tractor_Truck,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Radar,15,0.0718
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Ship,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#National_Disaster_Response_Force,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Military_Nursing_Service,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Kirti_Chakra,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Army_Ordinance_Corps,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#HeavyUtilityVehicles,5,0.0239
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Indra-II_PC_Radar,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Indigenisation_and_Manufacturing,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Intelligent_Corps,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Upgrades_for_Weapon_Locating_Radar_(WLR)_Swathi,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Indian_Coast_Guard,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Low_level_Light_Weight_2D_Radar_-(BHARANI),1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Operations,21,0.1005
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Development,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Special_Protection_Group,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#BorderRoadOrganization,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Explosive_RocketsAndMortar,2,0.0096
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Corpus_Of_MilitaryPolice,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Design,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Central_Industrial_Security_Force,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#National_Security_Guard,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Garud_Commando_Force,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Air_Craft,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#3D_Surveillance_Radar_System__(REVATHI),1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Sashastra_Seema_Bal,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Army_AviationCorps,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#CombatEngineer,4,0.0191
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Low_Level_Transportable_Radar_(Ashwini),1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Naval_satellite,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Other_Forces,5,0.0239
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Officers’_Courses.,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Naval_Air_Arm,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Indo-Tibetan_Border_Police,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Inspection,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Militant_Group,12,0.0574
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Bengal_Sappers,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Technical_Advice_to_Units_on_Systems,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Heavy8By8_10By10_Truck,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#CorpsOfEng,2,0.0096
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Development_of_Medium_Power_Radar_(MPR)_Arudhra,1,0.0048
http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Junior_Commissioned_Officers’_Courses,1,0.0048
