Class,Axioms,Coverage
http://purl.obolibrary.org/obo/GO_0050905,2,0.0002
http://purl.obolibrary.org/obo/GO_0050906,8,0.0008
http://purl.obolibrary.org/obo/GO_0050907,7,0.0007
http://purl.obolibrary.org/obo/GO_0050909,5,0.0005
http://purl.obolibrary.org/obo/CHEBI_29337,6,0.0006
http://purl.obolibrary.org/obo/GO_0050910,4,0.0004
http://purl.obolibrary.org/obo/CHEBI_38295,3,0.0003
http://purl.obolibrary.org/obo/CHEBI_90852,2,0.0002
http://purl.obolibrary.org/obo/GO_0050911,3,0.0003
http://purl.obolibrary.org/obo/CHEBI_32988,2,0.0002
http://purl.obolibrary.org/obo/GO_0050912,3,0.0003
http://purl.obolibrary.org/obo/CHEBI_29340,4,0.0004
http://purl.obolibrary.org/obo/UBERON_0002443,4,0.0004
http://purl.obolibrary.org/obo/CHEBI_38260,4,0.0004
http://purl.obolibrary.org/obo/UBERON_0002458,3,0.0003
http://purl.obolibrary.org/obo/UBERON_0010083,8,0.0008
http://purl.obolibrary.org/obo/GO_0044237,9,0.0010
http://purl.obolibrary.org/obo/UBERON_0010077,2,0.0002
http://purl.obolibrary.org/obo/UBERON_0002460,7,0.0007
http://purl.obolibrary.org/obo/UBERON_0001134,20,0.0021
http://purl.obolibrary.org/obo/UBERON_0002466,3,0.0003
http://purl.obolibrary.org/obo/UBERON_0001135,46,0.0049
http://purl.obolibrary.org/obo/UBERON_0001136,5,0.0005
http://purl.obolibrary.org/obo/UBERON_0001137,17,0.0018
http://purl.obolibrary.org/obo/CARO_0000007,2,0.0002
http://purl.obolibrary.org/obo/UBERON_0003729,13,0.0014
http://purl.obolibrary.org/obo/CARO_0000003,53,0.0056
http://purl.obolibrary.org/obo/CARO_0000006,6,0.0006
http://purl.obolibrary.org/obo/UBERON_0009030,3,0.0003
http://purl.obolibrary.org/obo/CHEBI_17303,16,0.0017
http://purl.obolibrary.org/obo/UBERON_0009027,5,0.0005
http://purl.obolibrary.org/obo/UBERON_0015716,4,0.0004
http://purl.obolibrary.org/obo/CHEBI_27594,5,0.0005
http://purl.obolibrary.org/obo/CARO_0000000,196,0.0208
http://purl.obolibrary.org/obo/GO_0050951,3,0.0003
http://purl.obolibrary.org/obo/GO_0050952,2,0.0002
http://purl.obolibrary.org/obo/GO_0050953,2,0.0002
http://purl.obolibrary.org/obo/GO_0050954,4,0.0004
http://purl.obolibrary.org/obo/GO_0050955,5,0.0005
