Class,Axioms,Coverage
http://purl.obolibrary.org/obo/OAE_0001129,2,0.0002
http://purl.obolibrary.org/obo/OAE_0001125,1,0.0001
http://purl.obolibrary.org/obo/OAE_0003788,2,0.0002
http://purl.obolibrary.org/obo/OAE_0002457,1,0.0001
http://purl.obolibrary.org/obo/OAE_0001126,1,0.0001
http://purl.obolibrary.org/obo/OAE_0003787,2,0.0002
http://purl.obolibrary.org/obo/OAE_0002456,1,0.0001
http://purl.obolibrary.org/obo/OAE_0001127,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002459,1,0.0001
http://purl.obolibrary.org/obo/OAE_0003789,2,0.0002
http://purl.obolibrary.org/obo/OAE_0001128,6,0.0005
http://purl.obolibrary.org/obo/OAE_0002458,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002453,3,0.0003
http://purl.obolibrary.org/obo/OAE_0001121,1,0.0001
http://purl.obolibrary.org/obo/OAE_0003784,2,0.0002
http://purl.obolibrary.org/obo/OAE_0002452,1,0.0001
http://purl.obolibrary.org/obo/OAE_0001122,1,0.0001
http://purl.obolibrary.org/obo/OAE_0003783,2,0.0002
http://purl.obolibrary.org/obo/OAE_0001123,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002455,1,0.0001
http://purl.obolibrary.org/obo/OAE_0003786,2,0.0002
http://purl.obolibrary.org/obo/OAE_0002454,1,0.0001
http://purl.obolibrary.org/obo/OAE_0003785,2,0.0002
http://purl.obolibrary.org/obo/OAE_0001124,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0010064,3,0.0003
http://purl.obolibrary.org/obo/OAE_0003780,2,0.0002
http://purl.obolibrary.org/obo/OAE_0002451,1,0.0001
http://purl.obolibrary.org/obo/OAE_0003782,2,0.0002
http://purl.obolibrary.org/obo/OAE_0003781,2,0.0002
http://purl.obolibrary.org/obo/OAE_0002450,1,0.0001
http://purl.obolibrary.org/obo/OAE_0001120,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0015757,2,0.0002
http://purl.obolibrary.org/obo/UBERON_0001103,11,0.0010
http://purl.obolibrary.org/obo/OAE_0001118,2,0.0002
http://purl.obolibrary.org/obo/OAE_0001119,8,0.0007
http://purl.obolibrary.org/obo/OAE_0002449,2,0.0002
http://purl.obolibrary.org/obo/OAE_0001114,1,0.0001
http://purl.obolibrary.org/obo/OAE_0003777,2,0.0002
http://purl.obolibrary.org/obo/OAE_0002446,2,0.0002
http://purl.obolibrary.org/obo/OAE_0002445,1,0.0001
http://purl.obolibrary.org/obo/OAE_0001115,2,0.0002
http://purl.obolibrary.org/obo/OAE_0003776,2,0.0002
http://purl.obolibrary.org/obo/OAE_0001116,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002448,1,0.0001
http://purl.obolibrary.org/obo/OAE_0003779,2,0.0002
http://purl.obolibrary.org/obo/OAE_0003778,2,0.0002
http://purl.obolibrary.org/obo/OAE_0002447,1,0.0001
http://purl.obolibrary.org/obo/OAE_0001117,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002442,1,0.0001
http://purl.obolibrary.org/obo/OAE_0001110,1,0.0001
http://purl.obolibrary.org/obo/OAE_0003773,2,0.0002
http://purl.obolibrary.org/obo/OAE_0003772,2,0.0002
http://purl.obolibrary.org/obo/OAE_0001111,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002441,1,0.0001
http://purl.obolibrary.org/obo/OAE_0003775,2,0.0002
http://purl.obolibrary.org/obo/OAE_0001112,1,0.0001
http://purl.obolibrary.org/obo/OAE_0002444,1,0.0001
http://purl.obolibrary.org/obo/OAE_0001113,1,0.0001
