Class,Axioms,Coverage
http://purl.obolibrary.org/obo/UBERON_0002436,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0001105,14,0.0003
http://purl.obolibrary.org/obo/GO_0071840,3,0.0001
http://purl.obolibrary.org/obo/GO_0046884,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0002437,9,0.0002
http://purl.obolibrary.org/obo/GO_0021587,2,0.0000
http://purl.obolibrary.org/obo/GO_0044224,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0002439,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0015751,2,0.0000
http://purl.obolibrary.org/obo/GO_0007281,5,0.0001
http://purl.obolibrary.org/obo/GO_0007283,8,0.0002
http://purl.obolibrary.org/obo/GO_0007286,6,0.0001
http://purl.obolibrary.org/obo/UBERON_0015757,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0002432,7,0.0001
http://purl.obolibrary.org/obo/UBERON_0001102,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0002434,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0001103,27,0.0005
http://purl.obolibrary.org/obo/UBERON_0002435,10,0.0002
http://purl.obolibrary.org/obo/GO_0046879,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0001100,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0002447,8,0.0002
http://purl.obolibrary.org/obo/UBERON_0002448,6,0.0001
http://purl.obolibrary.org/obo/UBERON_0001118,3,0.0001
http://purl.obolibrary.org/obo/GO_0033559,5,0.0001
http://purl.obolibrary.org/obo/GO_0007292,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0014411,6,0.0001
http://purl.obolibrary.org/obo/GO_0033561,6,0.0001
http://purl.obolibrary.org/obo/UBERON_0001112,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0002443,7,0.0001
http://purl.obolibrary.org/obo/UBERON_0002444,7,0.0001
http://purl.obolibrary.org/obo/GO_0021588,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0002446,19,0.0004
http://purl.obolibrary.org/obo/UBERON_0002441,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0001111,16,0.0003
http://purl.obolibrary.org/obo/GO_0044241,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0002458,2,0.0000
http://purl.obolibrary.org/obo/GO_0045576,2,0.0000
http://purl.obolibrary.org/obo/GO_0044247,4,0.0001
http://purl.obolibrary.org/obo/GO_0032259,1,0.0000
http://purl.obolibrary.org/obo/GO_0071822,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0014445,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0014444,7,0.0001
http://purl.obolibrary.org/obo/UBERON_0013118,5,0.0001
http://purl.obolibrary.org/obo/GO_0032268,3,0.0001
http://purl.obolibrary.org/obo/GO_0033598,4,0.0001
http://purl.obolibrary.org/obo/GO_0044237,22,0.0004
http://purl.obolibrary.org/obo/GO_0044238,7,0.0001
http://purl.obolibrary.org/obo/UBERON_0001125,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0002457,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0002450,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0002451,12,0.0002
http://purl.obolibrary.org/obo/UBERON_0002453,8,0.0002
http://purl.obolibrary.org/obo/UBERON_0002469,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0014430,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0015766,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0014439,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0014438,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0014437,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0002465,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0001134,41,0.0008
http://purl.obolibrary.org/obo/UBERON_0001135,37,0.0007
http://purl.obolibrary.org/obo/UBERON_0002467,6,0.0001
http://purl.obolibrary.org/obo/UBERON_0001136,6,0.0001
http://purl.obolibrary.org/obo/UBERON_0001137,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0002468,6,0.0001
http://purl.obolibrary.org/obo/UBERON_0002461,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0001130,16,0.0003
http://purl.obolibrary.org/obo/UBERON_0002462,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0002463,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0001132,17,0.0003
http://purl.obolibrary.org/obo/UBERON_0001133,8,0.0002
http://purl.obolibrary.org/obo/UBERON_0003728,4,0.0001
http://purl.obolibrary.org/obo/GO_0044262,5,0.0001
http://purl.obolibrary.org/obo/GO_0044264,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0003729,13,0.0002
http://purl.obolibrary.org/obo/CARO_0000003,2,0.0000
http://purl.obolibrary.org/obo/GO_0044267,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0003723,10,0.0002
http://purl.obolibrary.org/obo/GO_0071887,3,0.0001
http://purl.obolibrary.org/obo/CARO_0000006,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0003725,4,0.0001
http://purl.obolibrary.org/obo/GO_0071888,6,0.0001
http://purl.obolibrary.org/obo/GO_0044260,7,0.0001
http://purl.obolibrary.org/obo/GO_0032286,4,0.0001
http://purl.obolibrary.org/obo/GO_0032288,2,0.0000
http://purl.obolibrary.org/obo/GO_0032287,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0015716,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0003721,4,0.0001
http://purl.obolibrary.org/obo/GO_0032280,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0002407,17,0.0003
http://purl.obolibrary.org/obo/UBERON_0002408,4,0.0001
http://purl.obolibrary.org/obo/GO_0044255,7,0.0001
http://purl.obolibrary.org/obo/UBERON_0002405,11,0.0002
http://purl.obolibrary.org/obo/UBERON_0002406,2,0.0000
http://purl.obolibrary.org/obo/GO_0070547,6,0.0001
http://purl.obolibrary.org/obo/GO_0032275,4,0.0001
http://purl.obolibrary.org/obo/BFO_0000040,2,0.0000
http://purl.obolibrary.org/obo/GO_0032274,3,0.0001
http://purl.obolibrary.org/obo/GO_0032279,4,0.0001
http://purl.obolibrary.org/obo/GO_0044248,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0002400,5,0.0001
http://purl.obolibrary.org/obo/GO_0044249,9,0.0002
http://purl.obolibrary.org/obo/UBERON_0002401,6,0.0001
http://purl.obolibrary.org/obo/UBERON_0002402,6,0.0001
http://purl.obolibrary.org/obo/UBERON_0002418,16,0.0003
http://purl.obolibrary.org/obo/UBERON_0002419,7,0.0001
http://purl.obolibrary.org/obo/UBERON_0002414,29,0.0005
http://purl.obolibrary.org/obo/UBERON_0002415,18,0.0003
http://purl.obolibrary.org/obo/UBERON_0002416,7,0.0001
http://purl.obolibrary.org/obo/UBERON_0002417,2,0.0000
http://purl.obolibrary.org/obo/GO_0044281,11,0.0002
http://purl.obolibrary.org/obo/GO_0044282,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0014401,10,0.0002
http://purl.obolibrary.org/obo/GO_0044283,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0014400,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0002410,7,0.0001
http://purl.obolibrary.org/obo/UBERON_0002411,11,0.0002
http://purl.obolibrary.org/obo/UBERON_0002412,31,0.0006
http://purl.obolibrary.org/obo/UBERON_0002413,25,0.0005
http://purl.obolibrary.org/obo/UBERON_0002429,9,0.0002
http://purl.obolibrary.org/obo/GO_0044275,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0002425,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0002426,2,0.0000
http://purl.obolibrary.org/obo/CARO_0000014,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0002427,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0002428,7,0.0001
http://purl.obolibrary.org/obo/GO_0070527,4,0.0001
http://purl.obolibrary.org/obo/GO_0044271,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0002421,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0002422,9,0.0002
http://purl.obolibrary.org/obo/UBERON_0002423,7,0.0001
http://purl.obolibrary.org/obo/UBERON_0002424,4,0.0001
http://purl.obolibrary.org/obo/GO_0032291,2,0.0000
http://purl.obolibrary.org/obo/GO_0032290,4,0.0001
http://purl.obolibrary.org/obo/GO_0032292,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0002420,12,0.0002
http://purl.obolibrary.org/obo/OBA_VT0004300,9,0.0002
http://purl.obolibrary.org/obo/OBA_VT0004302,4,0.0001
http://purl.obolibrary.org/obo/OBA_0003279,8,0.0002
http://purl.obolibrary.org/obo/OBA_0003278,3,0.0001
http://purl.obolibrary.org/obo/OBA_VT0004303,3,0.0001
http://purl.obolibrary.org/obo/OBA_VT0004306,4,0.0001
http://purl.obolibrary.org/obo/OBA_VT0004305,6,0.0001
http://purl.obolibrary.org/obo/OBA_VT0004308,4,0.0001
http://purl.obolibrary.org/obo/NBO_0000403,4,0.0001
http://purl.obolibrary.org/obo/PATO_0000128,159,0.0030
http://purl.obolibrary.org/obo/PATO_0000125,243,0.0046
http://purl.obolibrary.org/obo/PATO_0001457,4,0.0001
http://purl.obolibrary.org/obo/PATO_0001463,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0001182,5,0.0001
http://purl.obolibrary.org/obo/PATO_0001464,9,0.0002
http://purl.obolibrary.org/obo/PATO_0000133,62,0.0012
http://purl.obolibrary.org/obo/OBA_0003280,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0001183,4,0.0001
http://purl.obolibrary.org/obo/PATO_0001461,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0001184,11,0.0002
http://purl.obolibrary.org/obo/PATO_0001462,7,0.0001
http://purl.obolibrary.org/obo/OBA_0003286,4,0.0001
http://purl.obolibrary.org/obo/OBA_0003285,5,0.0001
http://purl.obolibrary.org/obo/OBA_0003288,6,0.0001
http://purl.obolibrary.org/obo/OBA_0003287,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0001185,4,0.0001
http://purl.obolibrary.org/obo/OBA_0003282,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0001186,4,0.0001
http://purl.obolibrary.org/obo/OBA_0003281,3,0.0001
http://purl.obolibrary.org/obo/OBA_0003284,5,0.0001
http://purl.obolibrary.org/obo/OBA_0003283,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0014490,3,0.0001
http://purl.obolibrary.org/obo/OBA_0003268,4,0.0001
http://purl.obolibrary.org/obo/OBA_0003267,4,0.0001
http://purl.obolibrary.org/obo/OBA_0004598,4,0.0001
http://purl.obolibrary.org/obo/OBA_VT0005623,7,0.0001
http://purl.obolibrary.org/obo/UBERON_0014491,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0013160,1,0.0000
