Class,Axioms,Coverage
http://purl.obolibrary.org/obo/UBERON_0036214,1,0.0004
http://purl.obolibrary.org/obo/OBI_0002232,11,0.0041
http://purl.obolibrary.org/obo/NCIT_C41263,1,0.0004
http://purl.obolibrary.org/obo/DOID_2394,16,0.0059
http://purl.obolibrary.org/obo/UBERON_0001119,1,0.0004
http://purl.obolibrary.org/obo/GEO_000000396,3,0.0011
http://purl.obolibrary.org/obo/CHEBI_33839,3,0.0011
http://purl.obolibrary.org/obo/IAO_0000007,2,0.0007
http://purl.obolibrary.org/obo/IAO_0000009,2,0.0007
http://purl.obolibrary.org/obo/OBI_0000067,6,0.0022
http://purl.obolibrary.org/obo/OBI_0002243,13,0.0048
http://purl.obolibrary.org/obo/OBI_0000066,7,0.0026
http://purl.obolibrary.org/obo/IAO_0000003,9,0.0033
http://purl.obolibrary.org/obo/IAO_0000005,14,0.0052
http://purl.obolibrary.org/obo/IAO_0000001,1,0.0004
http://purl.obolibrary.org/obo/OMRSE_00000100,4,0.0015
http://purl.obolibrary.org/obo/UBERON_0001114,1,0.0004
http://www.geneontology.org/formats/oboInOwl#Synonym,1,0.0004
http://purl.obolibrary.org/obo/OMRSE_00000101,3,0.0011
http://purl.obolibrary.org/obo/OBI_0002256,14,0.0052
http://purl.obolibrary.org/obo/NCIT_C126536,1,0.0004
http://purl.obolibrary.org/obo/NCIT_C126538,1,0.0004
http://purl.obolibrary.org/obo/OBI_0000070,10,0.0037
http://purl.obolibrary.org/obo/NCIT_C126533,1,0.0004
http://purl.obolibrary.org/obo/NCIT_C126534,1,0.0004
http://purl.obolibrary.org/obo/NCIT_C126535,1,0.0004
http://purl.obolibrary.org/obo/OBI_0000079,3,0.0011
http://purl.obolibrary.org/obo/NCIT_C126530,1,0.0004
http://purl.obolibrary.org/obo/GO_0008150,4,0.0015
http://purl.obolibrary.org/obo/UBERON_0001120,1,0.0004
http://purl.obolibrary.org/obo/OBI_0000086,1,0.0004
http://purl.obolibrary.org/obo/UBERON_0002469,3,0.0011
http://purl.obolibrary.org/obo/UBERON_0004648,3,0.0011
http://purl.obolibrary.org/obo/DOID_6727,1,0.0004
http://purl.obolibrary.org/obo/UBERON_0001134,3,0.0011
http://purl.obolibrary.org/obo/CHEBI_6015,1,0.0004
http://purl.obolibrary.org/obo/OMRSE_00000127,1,0.0004
http://purl.obolibrary.org/obo/OMRSE_00000128,1,0.0004
http://purl.obolibrary.org/obo/OBI_0000018,2,0.0007
http://purl.obolibrary.org/obo/OBI_0000017,2,0.0007
http://purl.obolibrary.org/obo/OBI_0000014,2,0.0007
http://purl.obolibrary.org/obo/CHEBI_17303,1,0.0004
http://purl.obolibrary.org/obo/OBI_0000011,73,0.0270
http://purl.obolibrary.org/obo/CHEBI_9939,1,0.0004
http://purl.obolibrary.org/obo/OMRSE_00000132,8,0.0030
http://purl.obolibrary.org/obo/OMRSE_00000133,5,0.0019
http://purl.obolibrary.org/obo/CHEBI_44915,1,0.0004
http://purl.obolibrary.org/obo/OMRSE_00000134,9,0.0033
http://purl.obolibrary.org/obo/OMRSE_00000135,3,0.0011
http://purl.obolibrary.org/obo/NCIT_C126529,1,0.0004
http://purl.obolibrary.org/obo/OBI_0002200,4,0.0015
http://purl.obolibrary.org/obo/OBI_0002201,1,0.0004
http://purl.obolibrary.org/obo/UBERON_0002409,2,0.0007
http://purl.obolibrary.org/obo/OMRSE_00000138,1,0.0004
http://purl.obolibrary.org/obo/OBI_0002202,1,0.0004
http://purl.obolibrary.org/obo/OBI_0002203,1,0.0004
http://purl.obolibrary.org/obo/OBI_0002204,1,0.0004
http://purl.obolibrary.org/obo/OAE_0001159,9,0.0033
http://purl.obolibrary.org/obo/OBI_0002205,5,0.0019
http://purl.obolibrary.org/obo/NCIT_C126528,1,0.0004
http://purl.obolibrary.org/obo/BFO_0000038,15,0.0056
http://purl.obolibrary.org/obo/BFO_0000040,69,0.0255
http://purl.obolibrary.org/obo/OMRSE_00000141,1,0.0004
http://purl.obolibrary.org/obo/OBI_0002215,3,0.0011
http://purl.obolibrary.org/obo/UBERON_0001567,2,0.0007
http://purl.obolibrary.org/obo/OBI_0002216,3,0.0011
http://purl.obolibrary.org/obo/OBI_0002210,5,0.0019
http://purl.obolibrary.org/obo/DOID_5828,2,0.0007
http://purl.obolibrary.org/obo/IAO_0000032,22,0.0081
http://purl.obolibrary.org/obo/IAO_0000033,7,0.0026
http://purl.obolibrary.org/obo/CHEBI_7773,1,0.0004
http://purl.obolibrary.org/obo/OBI_0002219,5,0.0019
http://purl.obolibrary.org/obo/IAO_0000030,110,0.0407
http://purl.obolibrary.org/obo/OBI_0002224,8,0.0030
http://purl.obolibrary.org/obo/IAO_0000029,2,0.0007
http://purl.obolibrary.org/obo/OBI_0000047,25,0.0093
http://purl.obolibrary.org/obo/IAO_0000027,108,0.0400
http://purl.obolibrary.org/obo/IAO_0000028,5,0.0019
http://purl.obolibrary.org/obo/CHEBI_6456,1,0.0004
http://purl.obolibrary.org/obo/DRON_00017834,1,0.0004
http://purl.obolibrary.org/obo/OBI_0000458,2,0.0007
http://purl.obolibrary.org/obo/OBI_0000457,5,0.0019
http://purl.obolibrary.org/obo/OBI_0000456,8,0.0030
http://purl.obolibrary.org/obo/PATO_0000128,1,0.0004
http://purl.obolibrary.org/obo/PATO_0000125,2,0.0007
http://purl.obolibrary.org/obo/IAO_0000414,6,0.0022
http://purl.obolibrary.org/obo/OBI_0000453,5,0.0019
http://purl.obolibrary.org/obo/IAO_0000416,34,0.0126
http://purl.obolibrary.org/obo/IAO_0020021,4,0.0015
http://purl.obolibrary.org/obo/IAO_0020022,7,0.0026
http://purl.obolibrary.org/obo/IAO_0020023,3,0.0011
http://purl.obolibrary.org/obo/CHEBI_52993,1,0.0004
http://purl.obolibrary.org/obo/IAO_0020024,4,0.0015
http://purl.obolibrary.org/obo/NCIT_C43851,3,0.0011
http://purl.obolibrary.org/obo/UBERON_0002037,2,0.0007
http://purl.obolibrary.org/obo/UBERON_0002032,2,0.0007
http://purl.obolibrary.org/obo/DOID_234,1,0.0004
http://purl.obolibrary.org/obo/IAO_0000408,6,0.0022
http://purl.obolibrary.org/obo/IAO_0000409,5,0.0019
http://www.ebi.ac.uk/efo/EFO_0003919,2,0.0007
http://purl.obolibrary.org/obo/PATO_0000140,3,0.0011
http://purl.obolibrary.org/obo/UBERON_0002048,4,0.0015
http://purl.obolibrary.org/obo/UBERON_0002046,2,0.0007
http://purl.obolibrary.org/obo/OBIB_0000397,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000396,1,0.0004
http://purl.obolibrary.org/obo/OBI_0000471,20,0.0074
http://purl.obolibrary.org/obo/OBIB_0000395,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000394,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000393,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000392,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000391,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000390,1,0.0004
http://www.geneontology.org/formats/oboInOwl#Definition,1,0.0004
http://purl.obolibrary.org/obo/DOID_3604,1,0.0004
http://purl.obolibrary.org/obo/PATO_0001442,3,0.0011
http://purl.obolibrary.org/obo/OBIB_0000389,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000388,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000387,1,0.0004
http://purl.obolibrary.org/obo/PATO_0000119,1,0.0004
http://purl.obolibrary.org/obo/PATO_0000117,3,0.0011
http://purl.obolibrary.org/obo/PATO_0000122,2,0.0007
http://purl.obolibrary.org/obo/OBIB_0000399,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000398,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000375,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000374,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000373,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000372,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000371,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000370,1,0.0004
http://www.ebi.ac.uk/efo/EFO_0003961,5,0.0019
http://purl.obolibrary.org/obo/PATO_0001018,6,0.0022
http://purl.obolibrary.org/obo/PATO_0000169,3,0.0011
http://purl.obolibrary.org/obo/NCIT_C106501,6,0.0022
http://purl.obolibrary.org/obo/OBIB_0000369,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000368,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000367,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000366,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000365,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000386,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000385,1,0.0004
http://purl.obolibrary.org/obo/OBIB_0000384,1,0.0004
