Class,Axioms,Coverage
http://purl.obolibrary.org/obo/IAO_0000018,1,0.0001
http://purl.obolibrary.org/obo/IAO_0000019,1,0.0001
http://purl.obolibrary.org/obo/CHEBI_31643,1,0.0001
http://purl.obolibrary.org/obo/OBI_0002232,11,0.0016
http://purl.obolibrary.org/obo/IAO_0000015,2,0.0003
http://purl.obolibrary.org/obo/IAO_0000017,1,0.0001
http://purl.obolibrary.org/obo/IAO_0000010,7,0.0010
http://purl.obolibrary.org/obo/IAO_0000012,1,0.0001
http://purl.obolibrary.org/obo/IAO_0000013,2,0.0003
http://purl.obolibrary.org/obo/IAO_0000007,2,0.0003
http://purl.obolibrary.org/obo/IAO_0000008,1,0.0001
http://purl.obolibrary.org/obo/IAO_0000009,3,0.0004
http://purl.obolibrary.org/obo/OBI_0002243,13,0.0019
http://purl.obolibrary.org/obo/IAO_0000003,14,0.0020
http://purl.obolibrary.org/obo/IAO_0000005,19,0.0027
http://purl.obolibrary.org/obo/IAO_0000006,1,0.0001
http://purl.obolibrary.org/obo/IAO_0000001,4,0.0006
http://purl.obolibrary.org/obo/OBI_0002256,14,0.0020
http://purl.obolibrary.org/obo/CHEBI_31624,2,0.0003
http://purl.obolibrary.org/obo/UBERON_0002469,2,0.0003
http://purl.obolibrary.org/obo/UO_0000105,2,0.0003
http://purl.obolibrary.org/obo/CHEBI_31642,1,0.0001
http://purl.obolibrary.org/obo/UO_0000109,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0001134,3,0.0004
http://purl.obolibrary.org/obo/OBI_0000494,3,0.0004
http://purl.obolibrary.org/obo/OBI_0300310,1,0.0001
http://purl.obolibrary.org/obo/OBI_0000493,2,0.0003
http://purl.obolibrary.org/obo/OBI_0000492,1,0.0001
http://purl.obolibrary.org/obo/OBI_0000491,1,0.0001
http://purl.obolibrary.org/obo/OBI_0000490,1,0.0001
http://purl.obolibrary.org/obo/CL_0000767,1,0.0001
http://purl.obolibrary.org/obo/OBI_0000499,2,0.0003
http://purl.obolibrary.org/obo/OBI_0000498,2,0.0003
http://purl.obolibrary.org/obo/OBI_0000497,1,0.0001
http://purl.obolibrary.org/obo/OBI_0000496,1,0.0001
http://purl.obolibrary.org/obo/OBI_0300311,1,0.0001
http://purl.obolibrary.org/obo/OBI_0000495,1,0.0001
http://purl.obolibrary.org/obo/IAO_0000059,1,0.0001
http://purl.obolibrary.org/obo/IAO_0000055,3,0.0004
http://purl.obolibrary.org/obo/IAO_0000057,1,0.0001
http://purl.obolibrary.org/obo/OBI_0002200,4,0.0006
http://purl.obolibrary.org/obo/OBI_0002201,1,0.0001
http://purl.obolibrary.org/obo/OBI_0002202,1,0.0001
http://purl.obolibrary.org/obo/UBERON_0002409,2,0.0003
http://purl.obolibrary.org/obo/OBI_0002203,1,0.0001
http://purl.obolibrary.org/obo/OBI_0002204,1,0.0001
http://purl.obolibrary.org/obo/OBI_0002205,5,0.0007
http://purl.obolibrary.org/obo/BFO_0000038,2,0.0003
http://purl.obolibrary.org/obo/IAO_0000047,1,0.0001
http://purl.obolibrary.org/obo/PR_000001004,3,0.0004
http://purl.obolibrary.org/obo/BFO_0000040,141,0.0203
http://purl.obolibrary.org/obo/GO_0001913,4,0.0006
http://purl.obolibrary.org/obo/OBI_0002215,3,0.0004
http://purl.obolibrary.org/obo/OBI_0002216,3,0.0004
http://purl.obolibrary.org/obo/CL_0000789,4,0.0006
http://purl.obolibrary.org/obo/CL_0000786,1,0.0001
http://purl.obolibrary.org/obo/OBI_0002210,5,0.0007
http://purl.obolibrary.org/obo/IAO_0000037,2,0.0003
http://purl.obolibrary.org/obo/IAO_0000038,13,0.0019
http://purl.obolibrary.org/obo/IAO_0000032,21,0.0030
http://purl.obolibrary.org/obo/IAO_0000033,16,0.0023
http://purl.obolibrary.org/obo/IAO_0000034,1,0.0001
http://purl.obolibrary.org/obo/GO_0001906,5,0.0007
http://purl.obolibrary.org/obo/CL_0000794,1,0.0001
http://purl.obolibrary.org/obo/IAO_0000035,1,0.0001
http://purl.obolibrary.org/obo/OBI_0002219,5,0.0007
http://purl.obolibrary.org/obo/IAO_0000030,141,0.0203
http://purl.obolibrary.org/obo/IAO_0000031,1,0.0001
http://purl.obolibrary.org/obo/PR_000001018,3,0.0004
http://purl.obolibrary.org/obo/OBI_0002224,8,0.0012
http://purl.obolibrary.org/obo/IAO_0000029,2,0.0003
http://purl.obolibrary.org/obo/IAO_0000025,1,0.0001
http://purl.obolibrary.org/obo/IAO_0000027,48,0.0069
http://purl.obolibrary.org/obo/IAO_0000028,7,0.0010
http://purl.obolibrary.org/obo/IAO_0000024,1,0.0001
http://purl.obolibrary.org/obo/OBI_0000450,2,0.0003
http://purl.obolibrary.org/obo/OBI_0001782,2,0.0003
http://purl.obolibrary.org/obo/OBI_0200109,2,0.0003
http://purl.obolibrary.org/obo/OBI_0001783,2,0.0003
http://purl.obolibrary.org/obo/OBI_0001784,2,0.0003
http://purl.obolibrary.org/obo/OBI_0001785,2,0.0003
http://purl.obolibrary.org/obo/OBI_0001786,2,0.0003
http://purl.obolibrary.org/obo/OBI_0001787,2,0.0003
http://purl.obolibrary.org/obo/OBI_0001788,4,0.0006
http://purl.obolibrary.org/obo/OBI_0001789,2,0.0003
http://purl.obolibrary.org/obo/OBI_0000458,2,0.0003
http://purl.obolibrary.org/obo/OBI_0000457,7,0.0010
http://purl.obolibrary.org/obo/OBI_0000456,46,0.0066
http://purl.obolibrary.org/obo/OBI_0000455,3,0.0004
http://purl.obolibrary.org/obo/PATO_0000125,3,0.0004
http://purl.obolibrary.org/obo/OBI_0000454,8,0.0012
http://purl.obolibrary.org/obo/OBI_0000453,70,0.0101
http://purl.obolibrary.org/obo/OBI_0001780,2,0.0003
http://purl.obolibrary.org/obo/OBI_0001781,2,0.0003
http://purl.obolibrary.org/obo/OBI_0000451,6,0.0009
http://purl.obolibrary.org/obo/OBI_0200100,3,0.0004
http://purl.obolibrary.org/obo/OBI_0200102,4,0.0006
http://purl.obolibrary.org/obo/OBI_0200101,5,0.0007
http://purl.obolibrary.org/obo/OBI_0200104,3,0.0004
http://purl.obolibrary.org/obo/OBI_0200103,1,0.0001
http://purl.obolibrary.org/obo/OBI_0200106,5,0.0007
http://purl.obolibrary.org/obo/OBI_0200105,1,0.0001
