Class,Axioms,Coverage
http://purl.obolibrary.org/obo/OGMS_0000040,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000045,4,0.0412
http://purl.obolibrary.org/obo/OGMS_0000046,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000047,3,0.0309
http://purl.obolibrary.org/obo/OGMS_0000050,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000051,1,0.0103
http://purl.obolibrary.org/obo/BFO_0000001,3,0.0309
http://purl.obolibrary.org/obo/OGMS_0000055,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000056,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000057,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000059,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000060,3,0.0309
http://purl.obolibrary.org/obo/OGMS_0000061,4,0.0412
http://purl.obolibrary.org/obo/OGMS_0000063,5,0.0515
http://purl.obolibrary.org/obo/OGMS_0000064,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000065,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000107,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000108,4,0.0412
http://purl.obolibrary.org/obo/BFO_0000031,2,0.0206
http://purl.obolibrary.org/obo/OGMS_0000109,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000066,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000100,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000067,4,0.0412
http://purl.obolibrary.org/obo/OGMS_0000101,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000102,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000069,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000103,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000104,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000105,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000106,3,0.0309
http://purl.obolibrary.org/obo/OGMS_0000070,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000071,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000073,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000074,1,0.0103
http://purl.obolibrary.org/obo/BFO_0000016,3,0.0309
http://purl.obolibrary.org/obo/BFO_0000015,7,0.0722
http://purl.obolibrary.org/obo/BFO_0000019,5,0.0515
http://purl.obolibrary.org/obo/OGMS_0000118,2,0.0206
http://purl.obolibrary.org/obo/OGMS_0000119,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000110,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000077,1,0.0103
http://purl.obolibrary.org/obo/OGMS_0000078,1,0.0103
