Class,Axioms,Coverage
http://purl.obolibrary.org/obo/OGG_2000010298,5,0.0001
http://purl.obolibrary.org/obo/OGG_2000010299,3,0.0001
http://purl.obolibrary.org/obo/OGG_3001197151,1,0.0000
http://purl.obolibrary.org/obo/OGG_3005182260,3,0.0001
http://purl.obolibrary.org/obo/OGG_3000931707,5,0.0001
http://purl.obolibrary.org/obo/OGG_3003795635,3,0.0001
http://purl.obolibrary.org/obo/OGG_3000905412,1,0.0000
http://purl.obolibrary.org/obo/OGG_3000905411,5,0.0001
http://purl.obolibrary.org/obo/OGG_3000985561,5,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_314293,3,0.0001
http://purl.obolibrary.org/obo/OGG_3000986892,5,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_28216,6,0.0002
http://purl.obolibrary.org/obo/OGG_1000257309,4,0.0001
http://purl.obolibrary.org/obo/OGG_1000272947,4,0.0001
http://purl.obolibrary.org/obo/OGG_3001197154,1,0.0000
http://purl.obolibrary.org/obo/OGG_2000010292,5,0.0001
http://purl.obolibrary.org/obo/OGG_1000563041,4,0.0001
http://purl.obolibrary.org/obo/OGG_3001197159,1,0.0000
http://purl.obolibrary.org/obo/OGG_2000010293,7,0.0002
http://purl.obolibrary.org/obo/OGG_2000010294,5,0.0001
http://purl.obolibrary.org/obo/OGG_3000931716,5,0.0001
http://purl.obolibrary.org/obo/OGG_3000905409,5,0.0001
http://purl.obolibrary.org/obo/OGG_3001198473,1,0.0000
http://purl.obolibrary.org/obo/OGG_3003644665,4,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_627440,4,0.0001
http://purl.obolibrary.org/obo/OGG_3002891693,4,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_28211,7,0.0002
http://purl.obolibrary.org/obo/OGG_3005851954,3,0.0001
http://purl.obolibrary.org/obo/OGG_3008485562,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0002443,4,0.0001
http://purl.obolibrary.org/obo/OGG_3003645995,4,0.0001
http://purl.obolibrary.org/obo/OGG_2060681288,3,0.0001
http://purl.obolibrary.org/obo/OGG_3008485564,3,0.0001
http://purl.obolibrary.org/obo/OGG_3008485567,5,0.0001
http://purl.obolibrary.org/obo/OGG_2000552467,3,0.0001
http://purl.obolibrary.org/obo/OGG_3005851945,3,0.0001
http://purl.obolibrary.org/obo/OGG_2000552466,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0002458,3,0.0001
http://purl.obolibrary.org/obo/OGG_3008474873,5,0.0001
http://purl.obolibrary.org/obo/OGG_3008474872,5,0.0001
http://purl.obolibrary.org/obo/OGG_3008474874,3,0.0001
http://purl.obolibrary.org/obo/OGG_2000186538,3,0.0001
http://purl.obolibrary.org/obo/OGG_3008485572,3,0.0001
http://purl.obolibrary.org/obo/GO_0044237,9,0.0002
http://purl.obolibrary.org/obo/OGG_3001197179,1,0.0000
http://purl.obolibrary.org/obo/OGG_2000010270,5,0.0001
http://purl.obolibrary.org/obo/OGG_2000010271,4,0.0001
http://purl.obolibrary.org/obo/OGG_3001030619,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0002451,7,0.0002
http://purl.obolibrary.org/obo/OGG_2000010273,4,0.0001
http://purl.obolibrary.org/obo/OGG_1000257310,4,0.0001
http://purl.obolibrary.org/obo/OGG_3007780750,5,0.0001
http://purl.obolibrary.org/obo/OGG_3000930406,5,0.0001
http://purl.obolibrary.org/obo/OGG_2000208435,4,0.0001
http://purl.obolibrary.org/obo/OGG_3001197161,1,0.0000
http://purl.obolibrary.org/obo/OGG_3005182279,7,0.0002
http://purl.obolibrary.org/obo/UBERON_0002460,6,0.0002
http://purl.obolibrary.org/obo/OGG_2060488222,8,0.0002
http://purl.obolibrary.org/obo/OGG_2060488221,9,0.0002
http://purl.obolibrary.org/obo/UBERON_0001134,21,0.0006
http://purl.obolibrary.org/obo/UBERON_0002466,3,0.0001
http://purl.obolibrary.org/obo/OGG_2060488223,8,0.0002
http://purl.obolibrary.org/obo/UBERON_0001135,53,0.0014
http://purl.obolibrary.org/obo/UBERON_0001136,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0001137,15,0.0004
http://purl.obolibrary.org/obo/OGG_1000257313,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0001133,15,0.0004
http://purl.obolibrary.org/obo/OGG_3003670925,3,0.0001
http://purl.obolibrary.org/obo/OGG_3000930416,5,0.0001
http://purl.obolibrary.org/obo/CARO_0000007,2,0.0001
http://purl.obolibrary.org/obo/OGG_3000930417,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0003729,12,0.0003
http://purl.obolibrary.org/obo/CARO_0000003,56,0.0015
http://purl.obolibrary.org/obo/CARO_0000006,6,0.0002
http://purl.obolibrary.org/obo/OGG_2060511145,16,0.0004
http://purl.obolibrary.org/obo/OGG_3001256011,5,0.0001
http://purl.obolibrary.org/obo/OGG_3006395887,3,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_80840,6,0.0002
http://purl.obolibrary.org/obo/OGG_3001035499,5,0.0001
http://purl.obolibrary.org/obo/OGG_3002873843,4,0.0001
http://purl.obolibrary.org/obo/OGG_1000169963,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0015716,4,0.0001
http://purl.obolibrary.org/obo/OGG_3001198442,1,0.0000
