Class,Axioms,Coverage
http://purl.bioontology.org/ontology/OMIM/MTHU006420,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006422,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006428,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006429,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006423,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006424,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006425,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006426,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006430,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006431,2,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006439,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006434,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006435,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006436,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006437,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006405,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006406,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006407,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006408,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006401,2,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006402,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006403,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006404,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006416,2,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006417,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006412,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006413,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006414,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006415,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU031420,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU031421,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU031422,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU031427,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU031428,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU031429,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU031423,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU031424,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU031425,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU031426,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006468,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006469,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006474,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006476,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU031410,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU031411,1,0.0000
http://purl.bioontology.org/ontology/OMIM/MTHU006477,2,0.0000
