Class,Axioms,Coverage
http://doe-generated-ontology.com/OntoAD#C0870252,1,0.0001
http://doe-generated-ontology.com/OntoAD#C1821973,1,0.0001
http://doe-generated-ontology.com/OntoAD#C0010377,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0008059,5,0.0003
http://doe-generated-ontology.com/OntoAD#C2080783,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0242422,3,0.0002
http://doe-generated-ontology.com/OntoAD#C0021027,7,0.0004
http://doe-generated-ontology.com/OntoAD#C0023689,3,0.0002
http://doe-generated-ontology.com/OntoAD#C0332461,3,0.0002
http://doe-generated-ontology.com/OntoAD#C0318154,2,0.0001
http://doe-generated-ontology.com/OntoAD#C1335391,2,0.0001
http://doe-generated-ontology.com/OntoAD#C1511876,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0001418,4,0.0002
http://doe-generated-ontology.com/OntoAD#C0023693,1,0.0001
http://doe-generated-ontology.com/OntoAD#C1334064,3,0.0002
http://doe-generated-ontology.com/OntoAD#C0242417,3,0.0002
http://doe-generated-ontology.com/OntoAD#C1947974,1,0.0001
http://doe-generated-ontology.com/OntoAD#Food,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0424216,1,0.0001
http://doe-generated-ontology.com/OntoAD#C1704312,6,0.0003
http://doe-generated-ontology.com/OntoAD#C0034330,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0451819,2,0.0001
http://doe-generated-ontology.com/OntoAD#C1523867,2,0.0001
http://doe-generated-ontology.com/OntoAD#C2698687,1,0.0001
http://doe-generated-ontology.com/OntoAD#C1327754,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0002763,8,0.0004
http://doe-generated-ontology.com/OntoAD#C0344441,1,0.0001
http://doe-generated-ontology.com/OntoAD#C1706969,3,0.0002
http://doe-generated-ontology.com/OntoAD#C2700612,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0021024,2,0.0001
http://doe-generated-ontology.com/OntoAD#C1511888,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0812385,2,0.0001
http://doe-generated-ontology.com/OntoAD#C1511883,1,0.0001
http://doe-generated-ontology.com/OntoAD#C1511884,1,0.0001
http://doe-generated-ontology.com/OntoAD#C2936245,1,0.0001
http://doe-generated-ontology.com/OntoAD#C1337104,2,0.0001
http://doe-generated-ontology.com/OntoAD#C1337105,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0009392,5,0.0003
http://doe-generated-ontology.com/OntoAD#C0056593,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0056595,1,0.0001
http://doe-generated-ontology.com/OntoAD#C0598783,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0850624,1,0.0001
http://doe-generated-ontology.com/OntoAD#C0013421,3,0.0002
http://doe-generated-ontology.com/OntoAD#C1657458,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0332447,13,0.0007
http://doe-generated-ontology.com/OntoAD#C0175996,1,0.0001
http://doe-generated-ontology.com/OntoAD#C0357746,3,0.0002
http://doe-generated-ontology.com/OntoAD#C0002771,9,0.0005
http://doe-generated-ontology.com/OntoAD#C0035691,2,0.0001
http://doe-generated-ontology.com/OntoAD#C1514917,1,0.0001
http://doe-generated-ontology.com/OntoAD#C0001443,3,0.0002
http://doe-generated-ontology.com/OntoAD#C0242444,1,0.0001
http://doe-generated-ontology.com/OntoAD#C0541854,1,0.0001
http://doe-generated-ontology.com/OntoAD#C0021053,5,0.0003
http://doe-generated-ontology.com/OntoAD#C0021054,9,0.0005
http://doe-generated-ontology.com/OntoAD#C1335375,5,0.0003
http://doe-generated-ontology.com/OntoAD#C2330374,2,0.0001
http://doe-generated-ontology.com/OntoAD#C1523869,3,0.0002
http://doe-generated-ontology.com/OntoAD#C0021051,5,0.0003
http://doe-generated-ontology.com/OntoAD#C0008073,4,0.0002
http://doe-generated-ontology.com/OntoAD#C2317398,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0345760,2,0.0001
http://doe-generated-ontology.com/OntoAD#C1999167,3,0.0002
http://doe-generated-ontology.com/OntoAD#C0846595,4,0.0002
http://doe-generated-ontology.com/OntoAD#C0080274,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0332453,1,0.0001
http://doe-generated-ontology.com/OntoAD#C0080276,4,0.0002
http://doe-generated-ontology.com/OntoAD#C0598798,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0002780,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0002783,1,0.0001
http://doe-generated-ontology.com/OntoAD#C1531495,3,0.0002
http://doe-generated-ontology.com/OntoAD#C0237088,8,0.0004
http://doe-generated-ontology.com/OntoAD#C1706946,12,0.0006
http://doe-generated-ontology.com/OntoAD#C0242428,1,0.0001
http://doe-generated-ontology.com/OntoAD#C1705612,1,0.0001
http://doe-generated-ontology.com/OntoAD#C0085973,1,0.0001
http://doe-generated-ontology.com/OntoAD#C0085971,1,0.0001
http://doe-generated-ontology.com/OntoAD#C0206765,3,0.0002
http://doe-generated-ontology.com/OntoAD#C0085978,1,0.0001
http://doe-generated-ontology.com/OntoAD#C0085979,1,0.0001
http://doe-generated-ontology.com/OntoAD#C0061928,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0265101,3,0.0002
http://doe-generated-ontology.com/OntoAD#C1522560,3,0.0002
http://doe-generated-ontology.com/OntoAD#C0393420,3,0.0002
http://doe-generated-ontology.com/OntoAD#C0520966,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0582386,2,0.0001
http://doe-generated-ontology.com/OntoAD#C0149654,4,0.0002
http://doe-generated-ontology.com/OntoAD#C0233513,2,0.0001
