Class,Axioms,Coverage
http://www.limics.fr/ontologies/ontolurgences#FermetureDeTracheotomie,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#Endocervicite,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#BrulureDuDosDeLaMain,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#SutureDuPlexusLombosacralEtDeNerfDuMembreInferieur,7,0.0006
http://www.limics.fr/ontologies/ontolurgences#NephroAngiosclerose,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#ExereseDeTumeurDuPancreas,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#BrulureDesOrganesGenitauxMasculins,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#UreteroPyeloCaliscopie,3,0.0002
http://www.limics.fr/ontologies/ontolurgences#SutureDePlaieDuPharynxParCervicotomie,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#OcclusionDeLaVeineCaveInferieure,3,0.0002
http://www.limics.fr/ontologies/ontolurgences#EchographieDeLaPeauEtDesTissusMous,2,0.0002
http://www.limics.fr/ontologies/ontolurgences#EvacuationDUnHemothorax,2,0.0002
http://www.limics.fr/ontologies/ontolurgences#Hyposplenisme,3,0.0002
http://www.limics.fr/ontologies/ontolurgences#ExplorationElectrophysiologiqueCardiaqueParSondeIntracavitaireDroiteParVoieVeineuseTranscutanee,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#FievreDuNouveauNe,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#HypothermieDueAuFroid,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#SyndromePostPonctionLombaire,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#Petechies,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#InfectionIntestinaleATaeniaSolium,2,0.0002
http://www.limics.fr/ontologies/ontolurgences#SeanceDeReeducationDeLaVoixDeLaParoleEtOuDuLangage,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#AbcesDeLaPeau,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#RemplacementDeLAorteThoracique,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#Coccyx,2,0.0002
http://www.limics.fr/ontologies/ontolurgences#ExereseDeLesionDuColDeLUterusParColposcopie,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#RecanalisationDeLaVeineIliaqueExterneEtOuDeLaVeineIliaqueCommuneAvecPoseDEndoprotheseParVoieVeineuseTranscutanee,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#SeptumParadoxal,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#DegenerescenceDeLaRetine,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#EtatInterne,3,0.0002
http://www.limics.fr/ontologies/ontolurgences#EpreuveDEeffortMyocardique,2,0.0002
http://www.limics.fr/ontologies/ontolurgences#PolynevriteSP,3,0.0002
http://www.limics.fr/ontologies/ontolurgences#luxationDeLArticulationTarsoMetatarsienne,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#CancerEpidermoideDeLOesophage,2,0.0002
http://www.limics.fr/ontologies/ontolurgences#RadiotherapieCorporelleTotale,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#InfestationAPhtiriusPubis,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#LuxationDuPied,4,0.0003
http://www.limics.fr/ontologies/ontolurgences#Hypocholesterolemie,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#MigraineSP,5,0.0004
http://www.limics.fr/ontologies/ontolurgences#PoseDUnCatheterVeineuxCentralNonTunnellisePourCirculationExtracorporelleParVoieTranscutanee,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#SigneCliniqueORL,5,0.0004
http://www.limics.fr/ontologies/ontolurgences#VictimeDeTraumatisme,6,0.0005
http://www.limics.fr/ontologies/ontolurgences#MedecinAnesthesiste,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#DesobstructionDeLaVeineCaveSuperieure,6,0.0005
http://www.limics.fr/ontologies/ontolurgences#SigneFonctionnelNeurologique,25,0.0020
http://www.limics.fr/ontologies/ontolurgences#EchographieDeLAppareilCirculatoire,10,0.0008
http://www.limics.fr/ontologies/ontolurgences#EmbolisationDUneFistuleArterioveineuseRenaleParVoieVasculaireTranscutanee,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#Hemosiderose,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#AbrasionDeLaLangue,2,0.0002
http://www.limics.fr/ontologies/ontolurgences#BiopsieMusculaire,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#Gangrene,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#PendaisonMotif,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#SyndromeDeLyse,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#VitSeul,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#TroublesDelirants,10,0.0008
http://www.limics.fr/ontologies/ontolurgences#ClostridiumTetani,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#OesophagiteChimique,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#ValvuleBicuspideDuCoeur,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#SyndromeDIntoxicationFoetaleALaWarfarine,2,0.0002
http://www.limics.fr/ontologies/ontolurgences#HemostaseSecondaireAUneElectrocoagulationIntrabuccale,1,0.0001
http://www.limics.fr/ontologies/ontolurgences#CarcinomeEndometrial,2,0.0002
http://www.limics.fr/ontologies/ontolurgences#Aiguille,1,0.0001
