Class,Axioms,Coverage
http://www.limics.fr/ontologies/ontoparoncoord#FaireAlerteCoordination,1,0.0003
http://www.limics.fr/ontologies/ontoparonsoc#AideImportante,1,0.0003
http://www.limics.fr/ontologies/ontoparoncoord#AppelCadreDeSante,1,0.0003
http://www.limics.fr/ontologies/ontoparonmed#PrestataireAideTechnique,1,0.0003
http://www.limics.fr/OntoPsychia_VieSociale#Etat_Civil_Veuf,1,0.0003
http://www.limics.fr/ontologies/ontoparoncoord#AppelA_Kine,1,0.0003
http://www.limics.fr/ontologies/ontoparonmed#FibrillationAuriculaire,1,0.0003
http://www.limics.fr/ontologies/ontoparoncoord#PlaquetteDuReseau,3,0.0010
http://www.limics.fr/ontologies/ontoparonsoc#SituationDeHandicap,4,0.0014
http://www.limics.fr/ontologies/ontoparonsoc#AggravationHandicap,1,0.0003
http://www.limics.fr/ontologies/ontoparonsoc#DifficulteDansTransfert,1,0.0003
http://www.limics.fr/ontologies/ontoparoncoord#DiscussionOrientation,2,0.0007
http://www.limics.fr/ontologies/ontoparonmed#DemandeDeConsultation,3,0.0010
http://www.limics.fr/ontologies/ontoparonsoc#PointageOcculaire,1,0.0003
http://www.limics.fr/OntoPsychia_VieSociale#Service_Sante,6,0.0020
http://www.limics.fr/ontologies/ontoparonmed#ApportProteique,1,0.0003
http://www.limics.fr/ontologies/ontoparonmed#DouleurScapulaire,1,0.0003
http://www.limics.fr/ontologies/ontoparonnoy#Resultat,7,0.0024
http://www.limics.fr/ontologies/ontoparoncoord#MailEnfant,1,0.0003
http://www.limics.fr/ontologies/ontoparonmed#Hydratation,1,0.0003
http://www.limics.fr/ontologies/ontoparonsoc#BesoinAppuiTete,1,0.0003
http://www.limics.fr/ontologies/ontoparonnoy#ImportantProbleme,4,0.0014
http://www.limics.fr/ontologies/ontoparonnoy#Service,4,0.0014
http://www.limics.fr/ontologies/ontoparonsoc#PortageDesRepas,2,0.0007
http://www.limics.fr/ontologies/ontoparonsoc#EquipementAccesEtage,5,0.0017
http://www.limics.fr/ontologies/ontoparoncoord#AppelerEnfant,3,0.0010
http://www.limics.fr/ontologies/ontoparonmed#Nez,1,0.0003
http://www.limics.fr/ontologies/ontoparonsoc#Incurie,1,0.0003
http://www.limics.fr/ontologies/ontoparonmed#ConsultationMedecinTraitant,1,0.0003
http://www.limics.fr/ontologies/ontoparonsoc#CoussinAssise,2,0.0007
http://www.limics.fr/ontologies/ontoparonmed#SuppleanceVentilatoire,3,0.0010
http://www.limics.fr/ontologies/ontoparonmed#Accord_VNI,1,0.0003
http://www.limics.fr/ontologies/ontoparonsoc#ProfessionnelLibéralNonMedical,2,0.0007
http://www.limics.fr/ontologies/ontoparonmed#AccordSuppleanceSpecifiee,6,0.0020
http://www.limics.fr/ontologies/ontoparonsoc#FauteuilRoulantPropulsionParMoteurElectrique,1,0.0003
