Class,Axioms,Coverage
http://www.orpha.net/ORDO/Orphanet_119761,3,0.0000
http://www.orpha.net/ORDO/Orphanet_120750,4,0.0001
http://www.orpha.net/ORDO/Orphanet_119763,5,0.0001
http://www.orpha.net/ORDO/Orphanet_120754,4,0.0001
http://www.orpha.net/ORDO/Orphanet_309178,3,0.0000
http://www.orpha.net/ORDO/Orphanet_397709,11,0.0001
http://www.orpha.net/ORDO/Orphanet_564486,3,0.0000
http://www.orpha.net/ORDO/Orphanet_564481,3,0.0000
http://www.orpha.net/ORDO/Orphanet_118437,13,0.0002
http://www.orpha.net/ORDO/Orphanet_120748,4,0.0001
http://www.orpha.net/ORDO/Orphanet_119750,6,0.0001
http://www.orpha.net/ORDO/Orphanet_309185,3,0.0000
http://www.orpha.net/ORDO/Orphanet_120743,4,0.0001
http://www.orpha.net/ORDO/Orphanet_119754,4,0.0001
http://www.orpha.net/ORDO/Orphanet_119757,4,0.0001
http://www.orpha.net/ORDO/Orphanet_397715,9,0.0001
http://www.orpha.net/ORDO/Orphanet_323471,3,0.0000
http://www.orpha.net/ORDO/Orphanet_118429,4,0.0001
http://www.orpha.net/ORDO/Orphanet_120736,5,0.0001
http://www.orpha.net/ORDO/Orphanet_120734,5,0.0001
http://www.orpha.net/ORDO/Orphanet_118423,7,0.0001
http://www.orpha.net/ORDO/Orphanet_120738,13,0.0002
http://www.orpha.net/ORDO/Orphanet_95409,9,0.0001
http://www.orpha.net/ORDO/Orphanet_309152,10,0.0001
http://www.orpha.net/ORDO/Orphanet_120732,4,0.0001
http://www.orpha.net/ORDO/Orphanet_119743,4,0.0001
http://www.orpha.net/ORDO/Orphanet_156728,8,0.0001
http://www.orpha.net/ORDO/Orphanet_120730,3,0.0000
http://www.orpha.net/ORDO/Orphanet_309155,3,0.0000
http://www.orpha.net/ORDO/Orphanet_323464,3,0.0000
http://www.orpha.net/ORDO/Orphanet_118419,3,0.0000
http://www.orpha.net/ORDO/Orphanet_118415,3,0.0000
http://www.orpha.net/ORDO/Orphanet_120726,4,0.0001
http://www.orpha.net/ORDO/Orphanet_118411,3,0.0000
http://www.orpha.net/ORDO/Orphanet_156731,4,0.0001
http://www.orpha.net/ORDO/Orphanet_120728,3,0.0000
http://www.orpha.net/ORDO/Orphanet_119731,3,0.0000
http://www.orpha.net/ORDO/Orphanet_309162,3,0.0000
http://www.orpha.net/ORDO/Orphanet_309169,3,0.0000
http://www.orpha.net/ORDO/Orphanet_120722,4,0.0001
http://www.orpha.net/ORDO/Orphanet_120720,4,0.0001
http://www.orpha.net/ORDO/Orphanet_119735,8,0.0001
http://www.orpha.net/ORDO/Orphanet_118405,5,0.0001
http://www.orpha.net/ORDO/Orphanet_322120,3,0.0000
http://www.orpha.net/ORDO/Orphanet_118403,3,0.0000
http://www.orpha.net/ORDO/Orphanet_156723,1,0.0000
http://www.orpha.net/ORDO/Orphanet_120713,6,0.0001
http://www.orpha.net/ORDO/Orphanet_118400,3,0.0000
http://www.orpha.net/ORDO/Orphanet_120718,5,0.0001
http://www.orpha.net/ORDO/Orphanet_322126,4,0.0001
http://www.orpha.net/ORDO/Orphanet_120716,9,0.0001
http://www.orpha.net/ORDO/Orphanet_120795,6,0.0001
http://www.orpha.net/ORDO/Orphanet_309130,6,0.0001
http://www.orpha.net/ORDO/Orphanet_311452,4,0.0001
http://www.orpha.net/ORDO/Orphanet_309136,12,0.0002
http://www.orpha.net/ORDO/Orphanet_309133,4,0.0001
http://www.orpha.net/ORDO/Orphanet_120790,3,0.0000
http://www.orpha.net/ORDO/Orphanet_311455,4,0.0001
http://www.orpha.net/ORDO/Orphanet_397750,11,0.0001
http://www.orpha.net/ORDO/Orphanet_397755,8,0.0001
http://www.orpha.net/ORDO/Orphanet_309139,1,0.0000
http://www.orpha.net/ORDO/Orphanet_118476,4,0.0001
http://www.orpha.net/ORDO/Orphanet_120783,3,0.0000
http://www.orpha.net/ORDO/Orphanet_118460,4,0.0001
http://www.orpha.net/ORDO/Orphanet_119797,3,0.0000
http://www.orpha.net/ORDO/Orphanet_309147,6,0.0001
http://www.orpha.net/ORDO/Orphanet_120788,3,0.0000
http://www.orpha.net/ORDO/Orphanet_309144,5,0.0001
http://www.orpha.net/ORDO/Orphanet_397758,7,0.0001
http://www.orpha.net/ORDO/Orphanet_120780,4,0.0001
http://www.orpha.net/ORDO/Orphanet_324761,15,0.0002
http://www.orpha.net/ORDO/Orphanet_324764,5,0.0001
http://www.orpha.net/ORDO/Orphanet_395106,3,0.0000
http://www.orpha.net/ORDO/Orphanet_120778,3,0.0000
http://www.orpha.net/ORDO/Orphanet_118468,3,0.0000
http://www.orpha.net/ORDO/Orphanet_119790,5,0.0001
http://www.orpha.net/ORDO/Orphanet_565782,3,0.0000
http://www.orpha.net/ORDO/Orphanet_118465,3,0.0000
http://www.orpha.net/ORDO/Orphanet_322104,3,0.0000
http://www.orpha.net/ORDO/Orphanet_323437,3,0.0000
http://www.orpha.net/ORDO/Orphanet_119792,8,0.0001
http://www.orpha.net/ORDO/Orphanet_324767,4,0.0001
http://www.orpha.net/ORDO/Orphanet_118451,3,0.0000
http://www.orpha.net/ORDO/Orphanet_120770,5,0.0001
http://www.orpha.net/ORDO/Orphanet_119786,6,0.0001
http://www.orpha.net/ORDO/Orphanet_120776,4,0.0001
http://www.orpha.net/ORDO/Orphanet_119788,3,0.0000
http://www.orpha.net/ORDO/Orphanet_360484,3,0.0000
http://www.orpha.net/ORDO/Orphanet_120774,3,0.0000
http://www.orpha.net/ORDO/Orphanet_309111,5,0.0001
http://www.orpha.net/ORDO/Orphanet_83420,8,0.0001
http://www.orpha.net/ORDO/Orphanet_397725,7,0.0001
http://www.orpha.net/ORDO/Orphanet_360481,3,0.0000
http://www.orpha.net/ORDO/Orphanet_310103,3,0.0000
http://www.orpha.net/ORDO/Orphanet_83419,9,0.0001
http://www.orpha.net/ORDO/Orphanet_46485,8,0.0001
http://www.orpha.net/ORDO/Orphanet_46486,13,0.0002
http://www.orpha.net/ORDO/Orphanet_397735,7,0.0001
http://www.orpha.net/ORDO/Orphanet_46484,10,0.0001
http://www.orpha.net/ORDO/Orphanet_46489,1,0.0000
http://www.orpha.net/ORDO/Orphanet_323427,4,0.0001
http://www.orpha.net/ORDO/Orphanet_46487,15,0.0002
http://www.orpha.net/ORDO/Orphanet_309115,7,0.0001
http://www.orpha.net/ORDO/Orphanet_46488,6,0.0001
