Class,Axioms,Coverage
http://purl.obolibrary.org/obo/VO_0000609,21,0.0045
http://purl.obolibrary.org/obo/NCBITaxon_314293,2,0.0004
http://purl.obolibrary.org/obo/NCBITaxon_28216,3,0.0006
http://purl.obolibrary.org/obo/UBERON_0005944,8,0.0017
http://purl.obolibrary.org/obo/VO_0000605,3,0.0006
http://purl.obolibrary.org/obo/UBERON_0014892,10,0.0021
http://purl.obolibrary.org/obo/IAO_0000005,3,0.0006
http://purl.obolibrary.org/obo/VO_0000617,4,0.0009
http://purl.obolibrary.org/obo/VO_0000615,3,0.0006
http://purl.obolibrary.org/obo/OAE_0001147,2,0.0004
http://purl.obolibrary.org/obo/UBERON_0010083,8,0.0017
http://purl.obolibrary.org/obo/NCBITaxon_10912,2,0.0004
http://purl.obolibrary.org/obo/OVAE_0000409,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000408,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000407,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000406,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000405,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000404,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000403,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000402,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000401,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000400,3,0.0006
http://purl.obolibrary.org/obo/OAE_0001139,29,0.0062
http://purl.obolibrary.org/obo/OGG_2000000002,4,0.0009
http://www.ebi.ac.uk/efo/EFO_0000828,2,0.0004
http://purl.obolibrary.org/obo/UBERON_0001134,7,0.0015
http://purl.obolibrary.org/obo/UBERON_0001136,6,0.0013
http://purl.obolibrary.org/obo/UBERON_0001137,4,0.0009
http://purl.obolibrary.org/obo/OVAE_0000431,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000430,3,0.0006
http://purl.obolibrary.org/obo/UBERON_0005906,5,0.0011
http://purl.obolibrary.org/obo/VO_0000642,15,0.0032
http://purl.obolibrary.org/obo/VO_0000640,3,0.0006
http://purl.obolibrary.org/obo/NCBITaxon_80840,2,0.0004
http://purl.obolibrary.org/obo/OBI_0000011,5,0.0011
http://purl.obolibrary.org/obo/OVAE_0000429,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000428,3,0.0006
http://purl.obolibrary.org/obo/VO_0000646,6,0.0013
http://purl.obolibrary.org/obo/OVAE_0000427,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000426,3,0.0006
http://purl.obolibrary.org/obo/VO_0000644,6,0.0013
http://purl.obolibrary.org/obo/OVAE_0000425,3,0.0006
http://purl.obolibrary.org/obo/NCBITaxon_560210,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000423,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000422,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000421,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000420,3,0.0006
http://purl.obolibrary.org/obo/UBERON_0001557,3,0.0006
http://purl.obolibrary.org/obo/UBERON_0001558,3,0.0006
http://purl.obolibrary.org/obo/VO_0000651,4,0.0009
http://purl.obolibrary.org/obo/UBERON_0002405,4,0.0009
http://purl.obolibrary.org/obo/VO_0000650,5,0.0011
http://purl.obolibrary.org/obo/UBERON_0013522,12,0.0026
http://purl.obolibrary.org/obo/BFO_0000040,20,0.0043
http://purl.obolibrary.org/obo/OVAE_0000419,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000418,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000417,3,0.0006
http://purl.obolibrary.org/obo/UBERON_0005911,6,0.0013
http://purl.obolibrary.org/obo/OVAE_0000416,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000415,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000414,3,0.0006
http://purl.obolibrary.org/obo/VO_0000654,4,0.0009
http://purl.obolibrary.org/obo/UBERON_0001555,14,0.0030
http://purl.obolibrary.org/obo/OVAE_0000413,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000412,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000411,3,0.0006
http://purl.obolibrary.org/obo/VO_0000658,5,0.0011
http://purl.obolibrary.org/obo/OVAE_0000410,3,0.0006
http://purl.obolibrary.org/obo/UBERON_0002418,13,0.0028
http://purl.obolibrary.org/obo/OVAE_0000453,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000452,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000451,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000450,3,0.0006
http://purl.obolibrary.org/obo/UBERON_0002416,14,0.0030
http://purl.obolibrary.org/obo/UBERON_0002417,3,0.0006
http://purl.obolibrary.org/obo/OGG_1000001224,4,0.0009
http://purl.obolibrary.org/obo/IAO_0000033,2,0.0004
http://purl.obolibrary.org/obo/OVAE_0000449,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000448,3,0.0006
http://purl.obolibrary.org/obo/IAO_0000030,2,0.0004
http://purl.obolibrary.org/obo/OVAE_0000447,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000446,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000445,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000444,3,0.0006
http://purl.obolibrary.org/obo/VO_0000625,2,0.0004
http://purl.obolibrary.org/obo/OVAE_0000443,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000442,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000441,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000440,3,0.0006
http://purl.obolibrary.org/obo/VO_0000630,4,0.0009
http://purl.obolibrary.org/obo/UBERON_0002428,10,0.0021
http://purl.obolibrary.org/obo/OBI_0000047,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000439,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000438,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000437,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000435,3,0.0006
http://purl.obolibrary.org/obo/VO_0000639,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000434,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000432,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000475,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000474,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000473,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000472,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000471,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000470,3,0.0006
http://purl.obolibrary.org/obo/UBERON_0002036,2,0.0004
http://purl.obolibrary.org/obo/UBERON_0002037,8,0.0017
http://purl.obolibrary.org/obo/OVAE_0000469,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000467,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000466,3,0.0006
http://purl.obolibrary.org/obo/VO_0000207,2,0.0004
http://purl.obolibrary.org/obo/OVAE_0000464,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000462,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000461,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000460,3,0.0006
http://purl.obolibrary.org/obo/VO_0000213,2,0.0004
http://purl.obolibrary.org/obo/VO_0000211,14,0.0030
http://purl.obolibrary.org/obo/UBERON_0002048,14,0.0030
http://purl.obolibrary.org/obo/OVAE_0000459,3,0.0006
http://purl.obolibrary.org/obo/UBERON_0002049,10,0.0021
http://purl.obolibrary.org/obo/OVAE_0000458,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000457,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000456,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000455,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000454,3,0.0006
http://purl.obolibrary.org/obo/VO_0000218,2,0.0004
http://purl.obolibrary.org/obo/OVAE_0000497,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000013,8,0.0017
http://purl.obolibrary.org/obo/OVAE_0000012,8,0.0017
http://purl.obolibrary.org/obo/OVAE_0000496,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000495,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000011,13,0.0028
http://purl.obolibrary.org/obo/OVAE_0000494,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000010,13,0.0028
http://purl.obolibrary.org/obo/VO_0000664,4,0.0009
http://purl.obolibrary.org/obo/OVAE_0000493,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000492,3,0.0006
http://purl.obolibrary.org/obo/VO_0000662,5,0.0011
http://purl.obolibrary.org/obo/OVAE_0000491,3,0.0006
http://purl.obolibrary.org/obo/VO_0000661,2,0.0004
http://purl.obolibrary.org/obo/OVAE_0000490,3,0.0006
http://purl.obolibrary.org/obo/UBERON_0002050,17,0.0036
http://purl.obolibrary.org/obo/VO_0000667,4,0.0009
http://purl.obolibrary.org/obo/OVAE_0000009,7,0.0015
http://purl.obolibrary.org/obo/OVAE_0000008,4,0.0009
http://purl.obolibrary.org/obo/VO_0000665,5,0.0011
http://purl.obolibrary.org/obo/OVAE_0000007,15,0.0032
http://purl.obolibrary.org/obo/OVAE_0000006,1,0.0002
http://purl.obolibrary.org/obo/OVAE_0000005,1,0.0002
http://purl.obolibrary.org/obo/OVAE_0000489,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000004,1,0.0002
http://purl.obolibrary.org/obo/OVAE_0000488,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000003,1,0.0002
http://purl.obolibrary.org/obo/OVAE_0000487,3,0.0006
http://purl.obolibrary.org/obo/VO_0000669,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000486,3,0.0006
http://purl.obolibrary.org/obo/VO_0000671,4,0.0009
http://purl.obolibrary.org/obo/OVAE_0000002,17,0.0036
http://purl.obolibrary.org/obo/OVAE_0000485,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000001,15,0.0032
http://purl.obolibrary.org/obo/OVAE_0000484,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000483,3,0.0006
http://purl.obolibrary.org/obo/VO_0000675,4,0.0009
http://purl.obolibrary.org/obo/OVAE_0000482,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000481,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000480,3,0.0006
http://purl.obolibrary.org/obo/NCBITaxon_10508,2,0.0004
http://purl.obolibrary.org/obo/UBERON_0010912,25,0.0053
http://purl.obolibrary.org/obo/OVAE_0000479,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000478,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000477,3,0.0006
http://purl.obolibrary.org/obo/UBERON_0002067,17,0.0036
http://purl.obolibrary.org/obo/OVAE_0000476,3,0.0006
http://purl.obolibrary.org/obo/OVAE_0000035,17,0.0036
http://purl.obolibrary.org/obo/OVAE_0000034,9,0.0019
http://purl.obolibrary.org/obo/OVAE_0000033,12,0.0026
http://purl.obolibrary.org/obo/OVAE_0000032,11,0.0023
http://purl.obolibrary.org/obo/OVAE_0000031,14,0.0030
http://purl.obolibrary.org/obo/OVAE_0000030,9,0.0019
http://purl.obolibrary.org/obo/PATO_0001018,2,0.0004
http://purl.obolibrary.org/obo/PATO_0000169,2,0.0004
http://purl.obolibrary.org/obo/UBERON_0002470,21,0.0045
http://purl.obolibrary.org/obo/UBERON_0002471,12,0.0026
http://purl.obolibrary.org/obo/OVAE_0000029,20,0.0043
http://purl.obolibrary.org/obo/OVAE_0000028,9,0.0019
http://purl.obolibrary.org/obo/UBERON_0002472,9,0.0019
http://purl.obolibrary.org/obo/OVAE_0000027,15,0.0032
http://purl.obolibrary.org/obo/OVAE_0000026,6,0.0013
