Class,Axioms,Coverage
http://purl.jp/bio/11/pdo/PDO_000018,2,0.0047
http://purl.jp/bio/11/pdo/PDO_000139,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000019,3,0.0071
http://purl.jp/bio/11/pdo/PDO_000258,2,0.0047
http://purl.jp/bio/11/pdo/PDO_000016,2,0.0047
http://purl.jp/bio/11/pdo/PDO_000137,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000379,2,0.0047
http://purl.jp/bio/11/pdo/PDO_000259,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000138,2,0.0047
http://purl.jp/bio/11/pdo/PDO_000017,3,0.0071
http://purl.jp/bio/11/pdo/PDO_000256,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000377,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000014,2,0.0047
http://purl.jp/bio/11/pdo/PDO_000135,3,0.0071
http://purl.jp/bio/11/pdo/PDO_000136,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000257,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000378,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000015,3,0.0071
http://purl.jp/bio/11/pdo/PDO_000375,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000133,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000254,3,0.0071
http://purl.jp/bio/11/pdo/PDO_000012,6,0.0141
http://purl.jp/bio/11/pdo/PDO_000376,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000255,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000134,2,0.0047
http://purl.jp/bio/11/pdo/PDO_000013,27,0.0635
http://purl.jp/bio/11/pdo/PDO_000131,2,0.0047
http://purl.jp/bio/11/pdo/PDO_000252,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000373,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000010,9,0.0212
http://purl.jp/bio/11/pdo/PDO_000374,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000253,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000011,24,0.0565
http://purl.jp/bio/11/pdo/PDO_000132,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000371,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000250,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000251,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000372,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000130,2,0.0047
http://purl.jp/bio/11/pdo/PDO_000370,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000029,2,0.0047
http://purl.jp/bio/11/pdo/PDO_000269,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000027,3,0.0071
http://purl.jp/bio/11/pdo/PDO_000148,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000149,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000028,2,0.0047
http://purl.jp/bio/11/pdo/PDO_000146,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000025,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000388,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000267,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000268,1,0.0024
http://purl.jp/bio/11/pdo/PDO_000147,2,0.0047
http://purl.jp/bio/11/pdo/PDO_000026,9,0.0212
