Class,Axioms,Coverage
http://purl.bioontology.org/ontology/PDQ/CDR0000682755,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000042939,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000682756,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000682757,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000041606,5,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000635523,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000042936,4,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000682753,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000648847,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000648845,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000648846,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000562064,2,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000542453,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000042941,90,0.0008
http://purl.bioontology.org/ontology/PDQ/CDR0000542452,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000542451,4,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000562066,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000041619,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000042948,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000042949,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000041618,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000682740,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000682741,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000042947,6,0.0001
http://purl.bioontology.org/ontology/PDQ/CDR0000682742,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000042945,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000762523,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000749527,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000632483,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000682739,4,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000042917,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000757140,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000039306,3,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000586050,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000042911,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000586051,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000039305,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000039304,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000279893,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000039302,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000531782,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000472001,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000670795,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000670794,2,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000472006,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000472002,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000472003,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000472004,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000472005,5,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000574018,3,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000042922,2,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000576676,2,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000041646,6,0.0001
http://purl.bioontology.org/ontology/PDQ/CDR0000504136,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000639924,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000729962,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000041654,4,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000753605,1,0.0000
http://purl.bioontology.org/ontology/PDQ/CDR0000753604,3,0.0000
