Class,Axioms,Coverage
http://www.pepathway.org/peo/1.2#primary_purpose_design,1,0.0007
http://scai.fraunhofer.de/NDDUO#Proportion,3,0.0020
http://www.pepathway.org/peo/1.2#control_subject,2,0.0013
http://www.pepathway.org/peo/1.2#Entire_testis,1,0.0007
http://www.pepathway.org/peo/1.2#Red_blood_cell_disorder,4,0.0027
http://www.pepathway.org/peo/1.2#treatment_at_delivery,1,0.0007
http://www.pepathway.org/peo/1.2#Dura_Mater,2,0.0013
http://www.pepathway.org/peo/1.2#thing_related_to_early_onset,1,0.0007
http://www.pepathway.org/peo/1.2#Bilirubin_total_measurement,1,0.0007
http://www.pepathway.org/peo/1.2#Placental_damage,1,0.0007
http://scai.fraunhofer.de/NDDUO#Rat,1,0.0007
http://www.pepathway.org/peo/1.1#EGF_family,1,0.0007
http://www.pepathway.org/peo/1.2#Upper_middle_class_economic_status,1,0.0007
http://www.pepathway.org/peo/1.2#perfluorooctanoic_acid,1,0.0007
http://www.pepathway.org/peo/1.2#Estimated_fetal_gestational_age_at_delivery,1,0.0007
http://www.pepathway.org/peo/1.1#HSP90B1,1,0.0007
http://www.pepathway.org/peo/1.2#Recurrent_miscarriage,1,0.0007
http://scai.fraunhofer.de/NDDUO#Exposure,1,0.0007
http://www.pepathway.org/peo/1.2#Estrogen_level,1,0.0007
http://scai.fraunhofer.de/NDDUO#study_design_context,2,0.0013
http://www.pepathway.org/peo/1.2#Periconceptional,1,0.0007
http://www.pepathway.org/peo/1.2#Cerebral_hyperperfusion_syndrome,1,0.0007
http://www.pepathway.org/peo/1.2#Insulin_resistance,1,0.0007
http://www.pepathway.org/peo/1.2#Cardiomegaly,1,0.0007
http://scai.fraunhofer.de/NDDUO#Etiology,2,0.0013
http://www.ifomis.org/bfo/1.1/snap#Role,10,0.0066
http://www.pepathway.org/peo/1.2#Iron_supplement,1,0.0007
http://scai.fraunhofer.de/NDDUO#Gender,5,0.0033
http://scai.fraunhofer.de/NDDUO#antidepressant,1,0.0007
http://www.pepathway.org/peo/1.2#thing_related_to_economic_status,1,0.0007
http://scai.fraunhofer.de/NDDUO#Thing_that_can_act_as_a_protective_factor,1,0.0007
http://www.pepathway.org/peo/1.2#Pro-inflammatory_responses,1,0.0007
http://www.pepathway.org/peo/1.2#Antiproliferative_effects,1,0.0007
http://www.pepathway.org/peo/1.2#Sporadic_miscarriage,1,0.0007
