Class,Axioms,Coverage
http://www.co-ode.org/ontologies/ont.owl#NeighborJoiningDistanceBasedProgram,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#Invertebrate,2,0.0097
http://www.co-ode.org/ontologies/ont.owl#RNASequence,3,0.0146
http://www.co-ode.org/ontologies/ont.owl#LookingForHybridizationOrRecombinationEventsProgram,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#HeuristicSearchForBestTreeProgram,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#TreeSimulationProgram,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#DNAModel,9,0.0437
http://www.co-ode.org/ontologies/ont.owl#Database,17,0.0825
http://www.co-ode.org/ontologies/ont.owl#ClocksDatingStratigraphyProgram,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#OtherDistancesBasedprogram,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#DistanceMatrix,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#DNASequence,3,0.0146
http://www.co-ode.org/ontologies/ont.owl#LocalMSAProgram,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#GenomeDatabase,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#Metadatabase,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#Boots_Inf_50,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#GTR,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#NucleicAcidSequence,3,0.0146
http://www.co-ode.org/ontologies/ont.owl#Phage,2,0.0097
http://www.co-ode.org/ontologies/ont.owl#GlobalMSAProgram,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#TreeAnalysisStep,2,0.0097
http://www.co-ode.org/ontologies/ont.owl#PDBDatabase,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#GeneDuplicationAndGenomicAnalysisProgram,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#ProteinSequenceDatabase,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#TreeAnalysisProgram,11,0.0534
http://www.co-ode.org/ontologies/ont.owl#SequenceManagementProgram,1,0.0049
http://www.co-ode.org/ontologies/ont.owl#CharacterBasedMethod,1,0.0049
http://purl.obolibrary.org/obo/GO_0008150,2,0.0097
http://www.co-ode.org/ontologies/ont.owl#Viruse,2,0.0097
http://www.co-ode.org/ontologies/ont.owl#Boots_10000_1000000,1,0.0049
