Class,Axioms,Coverage
http://purl.obolibrary.org/obo/CHEBI_64571,2,0.0002
http://purl.obolibrary.org/obo/GO_0071840,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_84186,4,0.0005
http://purl.obolibrary.org/obo/CHEBI_51256,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_87211,8,0.0010
http://purl.obolibrary.org/obo/PHIPO_0000690,3,0.0004
http://purl.obolibrary.org/obo/PHIPO_0000682,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_87209,10,0.0012
http://purl.obolibrary.org/obo/CHEBI_87208,2,0.0002
http://purl.obolibrary.org/obo/PHIPO_0000681,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_87207,4,0.0005
http://purl.obolibrary.org/obo/PHIPO_0000686,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_87205,3,0.0004
http://purl.obolibrary.org/obo/PHIPO_0000684,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_87204,4,0.0005
http://purl.obolibrary.org/obo/PHIPO_0000685,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_28001,10,0.0012
http://purl.obolibrary.org/obo/GO_0044217,1,0.0001
http://purl.obolibrary.org/obo/PHIPO_0000688,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_29337,6,0.0007
http://purl.obolibrary.org/obo/PHIPO_0000689,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_22702,2,0.0002
http://purl.obolibrary.org/obo/CHEBI_38295,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_17334,13,0.0016
http://purl.obolibrary.org/obo/CHEBI_38298,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_76567,4,0.0005
http://purl.obolibrary.org/obo/CHEBI_135928,5,0.0006
http://purl.obolibrary.org/obo/CHEBI_32988,6,0.0007
http://purl.obolibrary.org/obo/PHIPO_0000671,3,0.0004
http://purl.obolibrary.org/obo/PHIPO_0000672,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_29340,4,0.0005
http://purl.obolibrary.org/obo/PHIPO_0000670,3,0.0004
http://purl.obolibrary.org/obo/PHIPO_0000675,3,0.0004
http://purl.obolibrary.org/obo/PHIPO_0000676,3,0.0004
http://purl.obolibrary.org/obo/PHIPO_0000673,3,0.0004
http://purl.obolibrary.org/obo/PHIPO_0000674,3,0.0004
http://purl.obolibrary.org/obo/PHIPO_0000679,3,0.0004
http://purl.obolibrary.org/obo/PHIPO_0000677,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_29347,11,0.0014
http://purl.obolibrary.org/obo/PHIPO_0000678,3,0.0004
http://purl.obolibrary.org/obo/CHEBI_81917,13,0.0016
http://purl.obolibrary.org/obo/CHEBI_6472,10,0.0012
http://purl.obolibrary.org/obo/CHEBI_81913,11,0.0014
http://purl.obolibrary.org/obo/CHEBI_38261,2,0.0002
http://purl.obolibrary.org/obo/CHEBI_38260,4,0.0005
http://purl.obolibrary.org/obo/CHEBI_32955,7,0.0009
http://purl.obolibrary.org/obo/CHEBI_32952,4,0.0005
http://purl.obolibrary.org/obo/CHEBI_87230,7,0.0009
http://purl.obolibrary.org/obo/CHEBI_87228,5,0.0006
http://purl.obolibrary.org/obo/GO_0032268,6,0.0007
http://purl.obolibrary.org/obo/GO_0044237,13,0.0016
http://purl.obolibrary.org/obo/GO_0044238,4,0.0005
http://purl.obolibrary.org/obo/CHEBI_81923,11,0.0014
