Class,Axioms,Coverage
http://purl.bioontology.org/ontology/PMR.owl#Lymphatic_drainage_edema,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Cardiomyopathy,3,0.0007
http://purl.bioontology.org/ontology/PMR.owl#Generalized,9,0.0020
http://purl.bioontology.org/ontology/PMR.owl#Personal_status,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Patient_care_in_state_of_minimal_response,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Functional_recovery,5,0.0011
http://purl.bioontology.org/ontology/PMR.owl#Neurological_finding,3,0.0007
http://purl.bioontology.org/ontology/PMR.owl#Muscle_training_with_high_frequency_mechanical_vibration,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Sleep_functions,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Chronic_rheumatic_heart_disease,3,0.0007
http://purl.bioontology.org/ontology/PMR.owl#Communicating_receiving,3,0.0007
http://purl.bioontology.org/ontology/PMR.owl#Postural_control,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Postural_hygiene,3,0.0007
http://purl.bioontology.org/ontology/PMR.owl#Finding_of_wrist_region,4,0.0009
http://purl.bioontology.org/ontology/PMR.owl#Physiotherapy_of_chest,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Stroke,_not_specified_as_haemorrhage_or_infarction,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Before_exercise,5,0.0011
http://purl.bioontology.org/ontology/PMR.owl#Special_concept,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Ability_to_perform_travelling_activities,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Entire_inguinal_region,4,0.0009
http://purl.bioontology.org/ontology/PMR.owl#Spinal_cord_injury,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Functions_of_the_cardiovascular,_haematological,_immunological_and_respiratory_systems,5,0.0011
http://purl.bioontology.org/ontology/PMR.owl#Difficulty_directing_attention,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Walking_and_moving,_other_specified_and_unspecified,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Unapproved_attribute,3,0.0007
http://purl.bioontology.org/ontology/PMR.owl#Interpersonal_interactions_and_relationships,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Protective_functions_of_the_skin,1,0.0002
http://purl.bioontology.org/ontology/PMR.owl#In_inestable_plane,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Total,3,0.0007
http://purl.bioontology.org/ontology/PMR.owl#Administrative_statuses,3,0.0007
http://purl.bioontology.org/ontology/PMR.owl#DCA_psychoeducational_group,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Administration_of_substance,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Finding_related_physiologic_patient_state,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Provider-specific_procedure,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Orthotic_devices,3,0.0007
http://purl.bioontology.org/ontology/PMR.owl#Finding_of_trunk_structure,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Finding_related_to_ability_to_control_position,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Body_mass_index,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Forced_vital_capacity,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Doing_housework,4,0.0009
http://purl.bioontology.org/ontology/PMR.owl#Proposal,4,0.0009
http://purl.bioontology.org/ontology/PMR.owl#Automobilization,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Introduction,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Communication_finding,3,0.0007
http://purl.bioontology.org/ontology/PMR.owl#Alarm,4,0.0009
http://purl.bioontology.org/ontology/PMR.owl#Document_section,7,0.0016
http://purl.bioontology.org/ontology/PMR.owl#ELTGOL,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Mobility_of_a_single_joint,8,0.0018
http://purl.bioontology.org/ontology/PMR.owl#Record_organizer,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Fasting,4,0.0009
http://purl.bioontology.org/ontology/PMR.owl#Cognitive_flexibility,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Tracheostomy_cure,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Temperature,4,0.0009
http://purl.bioontology.org/ontology/PMR.owl#Magnetotherapy,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Constraint_Induced_Therapy,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Experience_of_self_and_time_functions,3,0.0007
http://purl.bioontology.org/ontology/PMR.owl#Within_therapeutic_range,4,0.0009
http://purl.bioontology.org/ontology/PMR.owl#Acapella,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Swimming_pool,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Somatoform_disorders,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Autoassisted,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Other_forms_of_heart_disease,5,0.0011
http://purl.bioontology.org/ontology/PMR.owl#Heart_transplant_status,2,0.0005
http://purl.bioontology.org/ontology/PMR.owl#Differential_diagnosis,1,0.0002
