Class,Axioms,Coverage
http://radlex.org/RID/RID17410,8,0.0000
http://radlex.org/RID/RID17411,6,0.0000
http://radlex.org/RID/RID17412,6,0.0000
http://radlex.org/RID/RID17413,8,0.0000
http://radlex.org/RID/RID17414,6,0.0000
http://radlex.org/RID/RID17415,6,0.0000
http://radlex.org/RID/RID17416,24,0.0001
http://radlex.org/RID/RID17417,26,0.0001
http://radlex.org/RID/RID17418,26,0.0001
http://radlex.org/RID/RID17419,6,0.0000
http://radlex.org/RID/RID17400,6,0.0000
http://radlex.org/RID/RID17401,8,0.0000
http://radlex.org/RID/RID17402,6,0.0000
http://radlex.org/RID/RID17403,6,0.0000
http://radlex.org/RID/RID17404,8,0.0000
http://radlex.org/RID/RID17405,6,0.0000
http://radlex.org/RID/RID17406,6,0.0000
http://radlex.org/RID/RID17407,8,0.0000
http://radlex.org/RID/RID17408,6,0.0000
http://radlex.org/RID/RID17409,6,0.0000
http://radlex.org/RID/RID29410,4,0.0000
http://radlex.org/RID/RID30401,3,0.0000
http://radlex.org/RID/RID30400,1,0.0000
http://radlex.org/RID/RID30403,1,0.0000
http://radlex.org/RID/RID30402,1,0.0000
http://radlex.org/RID/RID30405,4,0.0000
http://radlex.org/RID/RID30404,5,0.0000
http://radlex.org/RID/RID9606,22,0.0001
http://radlex.org/RID/RID9607,4,0.0000
http://radlex.org/RID/RID17430,6,0.0000
http://radlex.org/RID/RID9608,4,0.0000
http://radlex.org/RID/RID17431,6,0.0000
http://radlex.org/RID/RID9609,4,0.0000
http://radlex.org/RID/RID9613,4,0.0000
http://radlex.org/RID/RID17432,8,0.0000
http://radlex.org/RID/RID17433,6,0.0000
http://radlex.org/RID/RID9614,4,0.0000
http://radlex.org/RID/RID9615,4,0.0000
http://radlex.org/RID/RID17434,6,0.0000
http://radlex.org/RID/RID17435,24,0.0001
http://radlex.org/RID/RID9616,10,0.0000
http://radlex.org/RID/RID17436,26,0.0001
http://radlex.org/RID/RID9610,4,0.0000
http://radlex.org/RID/RID17437,26,0.0001
