Class,Axioms,Coverage
http://purl.bioontology.org/ontology/STY/T071,3,0.0017
http://purl.bioontology.org/ontology/STY/T070,2,0.0011
http://purl.bioontology.org/ontology/STY/T069,1,0.0006
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12218,2,0.0011
http://purl.org/sig/ont/fma/fma50888,2,0.0011
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15725,3,0.0017
http://www.cancerdata.org/roo/C100601,5,0.0029
http://www.cancerdata.org/roo/C100600,4,0.0023
http://www.cancerdata.org/roo/C100603,1,0.0006
http://www.cancerdata.org/roo/C100602,2,0.0011
http://purl.org/sig/ont/fma/fma50889,2,0.0011
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48881,1,0.0006
http://purl.bioontology.org/ontology/ICD9CM/32.4,1,0.0006
http://purl.org/sig/ont/fma/fma8531,2,0.0011
http://purl.org/sig/ont/fma/fma7200,2,0.0011
http://purl.bioontology.org/ontology/STY/T062,3,0.0017
http://purl.bioontology.org/ontology/ICD9CM/32.3,1,0.0006
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48883,4,0.0023
http://purl.bioontology.org/ontology/STY/T061,9,0.0052
http://purl.bioontology.org/ontology/STY/T064,1,0.0006
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48884,6,0.0034
http://purl.bioontology.org/ontology/STY/T063,1,0.0006
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48885,10,0.0057
http://purl.org/sig/ont/fma/fma7204,2,0.0011
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81239,3,0.0017
http://purl.bioontology.org/ontology/STY/T066,1,0.0006
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48886,1,0.0006
http://purl.bioontology.org/ontology/STY/T065,1,0.0006
http://purl.org/sig/ont/fma/fma7203,4,0.0023
http://purl.org/sig/ont/fma/fma8534,2,0.0011
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48887,1,0.0006
http://purl.org/sig/ont/fma/fma8533,2,0.0011
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48888,1,0.0006
http://purl.bioontology.org/ontology/STY/T068,2,0.0011
http://purl.org/sig/ont/fma/fma7201,2,0.0011
http://purl.bioontology.org/ontology/STY/T067,4,0.0023
http://purl.org/sig/ont/fma/fma8532,2,0.0011
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48879,4,0.0023
http://purl.org/sig/ont/fma/fma7206,2,0.0011
http://purl.org/sig/ont/fma/fma7205,2,0.0011
http://purl.bioontology.org/ontology/STY/T080,4,0.0023
http://purl.org/sig/ont/fma/fma9869,2,0.0011
http://purl.bioontology.org/ontology/STY/T082,13,0.0075
http://purl.bioontology.org/ontology/STY/T081,3,0.0017
http://purl.org/sig/ont/fma/fma7209,4,0.0023
http://www.cancerdata.org/roo/C100605,2,0.0011
http://www.cancerdata.org/roo/C100604,2,0.0011
http://www.cancerdata.org/roo/C100607,6,0.0034
http://www.cancerdata.org/roo/C100606,2,0.0011
http://www.cancerdata.org/roo/C100609,2,0.0011
http://purl.org/sig/ont/fma/fma60203,2,0.0011
http://www.cancerdata.org/roo/C100608,1,0.0006
http://purl.org/sig/ont/fma/fma60202,2,0.0011
http://purl.org/sig/ont/fma/fma60201,4,0.0023
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37987,2,0.0011
http://www.cancerdata.org/roo/C100610,1,0.0006
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62727,1,0.0006
http://www.cancerdata.org/roo/C100612,1,0.0006
http://www.cancerdata.org/roo/C100611,1,0.0006
http://www.cancerdata.org/roo/C100614,2,0.0011
http://www.cancerdata.org/roo/C100613,1,0.0006
http://purl.org/sig/ont/fma/fma7211,2,0.0011
http://purl.bioontology.org/ontology/STY/T073,4,0.0023
http://purl.org/sig/ont/fma/fma7210,4,0.0023
http://purl.bioontology.org/ontology/STY/T072,5,0.0029
http://purl.bioontology.org/ontology/STY/T075,1,0.0006
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123603,1,0.0006
http://purl.bioontology.org/ontology/STY/T074,2,0.0011
http://purl.org/sig/ont/fma/fma50891,2,0.0011
http://purl.bioontology.org/ontology/STY/T077,14,0.0080
http://purl.org/sig/ont/fma/fma7456,1,0.0006
http://purl.org/sig/ont/fma/fma50890,2,0.0011
http://purl.org/sig/ont/fma/fma7214,2,0.0011
http://purl.bioontology.org/ontology/STY/T079,5,0.0029
http://purl.org/sig/ont/fma/fma7213,2,0.0011
http://purl.org/sig/ont/fma/fma5034,19,0.0109
http://purl.org/sig/ont/fma/fma7212,2,0.0011
http://purl.bioontology.org/ontology/STY/T078,7,0.0040
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27968,1,0.0006
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67148,2,0.0011
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67147,1,0.0006
http://purl.bioontology.org/ontology/STY/T048,1,0.0006
http://purl.bioontology.org/ontology/STY/T047,6,0.0034
http://purl.bioontology.org/ontology/STY/T049,2,0.0011
http://purl.org/sig/ont/fma/fma14544,2,0.0011
http://purl.bioontology.org/ontology/STY/T040,3,0.0017
http://purl.org/sig/ont/fma/fma8310,2,0.0011
http://purl.bioontology.org/ontology/STY/T042,1,0.0006
http://purl.bioontology.org/ontology/RCD/X20XN,4,0.0023
http://purl.bioontology.org/ontology/STY/T041,1,0.0006
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26871,2,0.0011
http://purl.org/sig/ont/fma/fma14543,2,0.0011
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27967,1,0.0006
http://purl.bioontology.org/ontology/STY/T044,2,0.0011
http://purl.bioontology.org/ontology/STY/T043,1,0.0006
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27966,3,0.0017
http://purl.bioontology.org/ontology/STY/T046,5,0.0029
http://purl.bioontology.org/ontology/RCD/X20Y4,3,0.0017
http://purl.bioontology.org/ontology/STY/T045,1,0.0006
http://purl.org/sig/ont/fma/fma7465,2,0.0011
http://purl.bioontology.org/ontology/RCD/5144,2,0.0011
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27979,1,0.0006
http://purl.bioontology.org/ontology/RCD/5146,1,0.0006
http://purl.bioontology.org/ontology/STY/T060,3,0.0017
